Samples	SBS96A
TCGA-2F-A9KO-01A-11D-A38G-08	103
TCGA-2F-A9KP-01A-11D-A38G-08	28
TCGA-2F-A9KQ-01A-11D-A38G-08	12
TCGA-2F-A9KR-01A-11D-A38G-08	56
TCGA-2F-A9KT-01A-11D-A38G-08	60
TCGA-2F-A9KW-01A-11D-A38G-08	24
TCGA-4Z-AA7M-01A-11D-A391-08	90
TCGA-4Z-AA7N-01A-11D-A391-08	2
TCGA-4Z-AA7O-01A-31D-A391-08	26
TCGA-4Z-AA7Q-01A-11D-A391-08	30
TCGA-4Z-AA7R-01A-11D-A391-08	63
TCGA-4Z-AA7S-01A-11D-A391-08	11
TCGA-4Z-AA7W-01A-11D-A391-08	101
TCGA-4Z-AA7Y-01A-11D-A391-08	46
TCGA-4Z-AA80-01A-11D-A391-08	68
TCGA-4Z-AA81-01A-11D-A391-08	33
TCGA-4Z-AA82-01A-11D-A391-08	13
TCGA-4Z-AA83-01A-11D-A391-08	19
TCGA-4Z-AA84-01A-11D-A391-08	83
TCGA-4Z-AA86-01A-11D-A391-08	32
TCGA-4Z-AA87-01A-11D-A391-08	42
TCGA-4Z-AA89-01A-11D-A391-08	26
TCGA-5N-A9KI-01A-31D-A42E-08	23
TCGA-5N-A9KM-01A-11D-A42E-08	39
TCGA-BL-A0C8-01A-11D-A271-08	27
TCGA-BL-A13I-01A-11D-A271-08	15
TCGA-BL-A13J-01A-11D-A271-08	22
TCGA-BL-A3JM-01A-12D-A21A-08	38
TCGA-BL-A5ZZ-01A-31D-A30E-08	36
TCGA-BT-A0S7-01A-11D-A10S-08	4
TCGA-BT-A0YX-01A-11D-A10S-08	104
TCGA-BT-A20J-01A-11D-A14W-08	80
TCGA-BT-A20N-01A-11D-A14W-08	43
TCGA-BT-A20O-01A-21D-A14W-08	27
TCGA-BT-A20P-01A-11D-A14W-08	23
TCGA-BT-A20Q-01A-11D-A14W-08	13
TCGA-BT-A20R-01A-12D-A16O-08	54
TCGA-BT-A20T-01A-11D-A14W-08	55
TCGA-BT-A20U-01A-11D-A14W-08	11
TCGA-BT-A20V-01A-11D-A14W-08	24
TCGA-BT-A20W-01A-21D-A14W-08	5
TCGA-BT-A20X-01A-11D-A16O-08	10
TCGA-BT-A2LA-01A-11D-A18F-08	35
TCGA-BT-A2LB-01A-11D-A18F-08	108
TCGA-BT-A2LD-01A-12D-A20D-08	16
TCGA-BT-A3PH-01A-11D-A21Z-08	73
TCGA-BT-A3PJ-01A-21D-A21Z-08	76
TCGA-BT-A3PK-01A-21D-A21Z-08	53
TCGA-BT-A42B-01A-32D-A23M-08	9
TCGA-BT-A42C-01A-11D-A23M-08	67
TCGA-BT-A42E-01A-11D-A23U-08	28
TCGA-BT-A42F-01A-11D-A23U-08	23
TCGA-C4-A0EZ-01A-21D-A10S-08	34
TCGA-C4-A0F0-01A-12D-A10S-08	13
TCGA-C4-A0F1-01A-11D-A10S-08	33
TCGA-C4-A0F6-01A-11D-A10S-08	38
TCGA-C4-A0F7-01A-11D-A10S-08	14
TCGA-CF-A1HR-01A-11D-A13W-08	39
TCGA-CF-A1HS-01A-11D-A13W-08	49
TCGA-CF-A27C-01A-11D-A16O-08	20
TCGA-CF-A3MF-01A-12D-A21A-08	5
TCGA-CF-A3MG-01A-11D-A20D-08	26
TCGA-CF-A3MH-01A-11D-A20D-08	13
TCGA-CF-A3MI-01A-11D-A20D-08	9
TCGA-CF-A47S-01A-11D-A23U-08	3
TCGA-CF-A47T-01A-11D-A23U-08	9
TCGA-CF-A47V-01A-11D-A23U-08	20
TCGA-CF-A47W-01A-11D-A23U-08	6
TCGA-CF-A47X-01A-31D-A23U-08	57
TCGA-CF-A47Y-01A-11D-A23U-08	10
TCGA-CF-A5U8-01A-11D-A289-08	9
TCGA-CF-A5UA-01A-11D-A289-08	13
TCGA-CF-A7I0-01A-22D-A34U-08	13
TCGA-CF-A8HX-01A-11D-A364-08	10
TCGA-CF-A8HY-01A-11D-A364-08	14
TCGA-CF-A9FF-01A-11D-A38G-08	13
TCGA-CF-A9FH-01A-11D-A38G-08	2
TCGA-CF-A9FL-01A-11D-A38G-08	7
TCGA-CF-A9FM-01A-11D-A38G-08	5
TCGA-CU-A0YN-01A-21D-A10S-08	23
TCGA-CU-A0YO-01A-11D-A10S-08	20
TCGA-CU-A0YR-01A-12D-A10S-08	27
TCGA-CU-A3KJ-01A-11D-A21A-08	39
TCGA-CU-A3QU-01A-11D-A22Z-08	15
TCGA-CU-A3YL-01A-11D-A22Z-08	43
TCGA-CU-A5W6-01A-11D-A289-08	41
TCGA-CU-A72E-01A-12D-A339-08	21
TCGA-DK-A1A3-01A-11D-A13W-08	84
TCGA-DK-A1A5-01A-11D-A13W-08	42
TCGA-DK-A1A6-01A-11D-A13W-08	38
TCGA-DK-A1A7-01A-11D-A13W-08	31
TCGA-DK-A1AA-01A-11D-A13W-08	15
TCGA-DK-A1AB-01A-11D-A13W-08	35
