Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-3C-AAAU-01A-11D-A41F-09	1	2	14	10	3
TCGA-3C-AALI-01A-11D-A41F-09	419	56	27	1	44
TCGA-3C-AALJ-01A-31D-A41F-09	4	15	11	9	3
TCGA-3C-AALK-01A-11D-A41F-09	8	7	17	18	4
TCGA-4H-AAAK-01A-12D-A41F-09	0	0	16	5	6
TCGA-5L-AAT0-01A-12D-A41F-09	124	0	0	65	0
TCGA-5L-AAT1-01A-12D-A41F-09	1074	0	0	216	87
TCGA-5T-A9QA-01A-11D-A41F-09	0	15	11	20	0
TCGA-A1-A0SD-01A-11D-A10Y-09	1	5	13	12	2
TCGA-A1-A0SE-01A-11D-A099-09	0	9	0	17	3
TCGA-A1-A0SF-01A-11D-A142-09	22	0	0	26	0
TCGA-A1-A0SG-01A-11D-A142-09	0	0	0	17	5
TCGA-A1-A0SH-01A-11D-A099-09	64	19	0	22	0
TCGA-A1-A0SI-01A-11D-A142-09	190	0	0	0	14
TCGA-A1-A0SJ-01A-11D-A099-09	0	0	7	13	0
TCGA-A1-A0SK-01A-12D-A099-09	0	35	11	16	5
TCGA-A1-A0SM-01A-11D-A099-09	0	0	10	10	9
TCGA-A1-A0SN-01A-11D-A142-09	16	22	20	8	3
TCGA-A1-A0SO-01A-22D-A099-09	18	213	19	39	14
TCGA-A1-A0SP-01A-11D-A099-09	0	15	10	21	0
TCGA-A1-A0SQ-01A-21D-A142-09	3	1	8	14	3
TCGA-A2-A04N-01A-11D-A10Y-09	0	14	0	23	7
TCGA-A2-A04P-01A-31D-A128-09	15	87	34	0	0
TCGA-A2-A04Q-01A-21W-A050-09	5	28	5	17	1
TCGA-A2-A04R-01A-41D-A117-09	10	51	16	0	6
TCGA-A2-A04T-01A-21W-A050-09	10	54	11	12	2
TCGA-A2-A04U-01A-11D-A10Y-09	0	22	11	14	4
TCGA-A2-A04V-01A-21W-A050-09	2	15	1	16	4
TCGA-A2-A04W-01A-31D-A10Y-09	93	11	20	17	14
TCGA-A2-A04X-01A-21W-A050-09	15	0	0	20	0
TCGA-A2-A04Y-01A-21W-A050-09	8	30	0	10	7
TCGA-A2-A0CK-01A-11D-A228-09	0	0	10	16	0
