Samples	SBS96A	SBS96B
TCGA-3C-AAAU-01A-11D-A41F-09	5.02E-02	5.02E-02
TCGA-3C-AALI-01A-11D-A41F-09	2.96E-01	2.96E-01
TCGA-3C-AALK-01A-11D-A41F-09	8.39E-02	8.39E-02
TCGA-5L-AAT0-01A-12D-A41F-09	1.21E-01	1.21E-01
TCGA-5L-AAT1-01A-12D-A41F-09	8.78E-01	8.78E-01
TCGA-5T-A9QA-01A-11D-A41F-09	9.45E-02	9.45E-02
TCGA-A1-A0SD-01A-11D-A10Y-09	9.13E-02	9.13E-02
TCGA-A1-A0SE-01A-11D-A099-09	3.86E-02	3.86E-02
TCGA-A1-A0SH-01A-11D-A099-09	1.33E-01	1.33E-01
TCGA-A1-A0SI-01A-11D-A142-09	1.73E-01	1.73E-01
TCGA-A1-A0SJ-01A-11D-A099-09	4.96E-02	4.96E-02
TCGA-A1-A0SK-01A-12D-A099-09	3.27E-02	3.27E-02
TCGA-A1-A0SO-01A-22D-A099-09	1.54E-01	1.54E-01
TCGA-A1-A0SP-01A-11D-A099-09	8.95E-02	8.95E-02
TCGA-A1-A0SQ-01A-21D-A142-09	7.72E-02	7.72E-02
TCGA-A2-A04N-01A-11D-A10Y-09	4.73E-02	4.73E-02
TCGA-A2-A04Q-01A-21W-A050-09	8.99E-02	8.99E-02
TCGA-A2-A04T-01A-21W-A050-09	1.28E-01	1.28E-01
TCGA-A2-A04U-01A-11D-A10Y-09	3.49E-02	3.49E-02
TCGA-A2-A04V-01A-21W-A050-09	1.14E-01	1.14E-01
TCGA-A2-A04W-01A-31D-A10Y-09	4.73E-02	4.73E-02
TCGA-A2-A04X-01A-21W-A050-09	3.86E-02	3.86E-02
TCGA-A2-A0CL-01A-11D-A10Y-09	7.51E-02	7.51E-02
TCGA-A2-A0CM-01A-31W-A050-09	5.02E-02	5.02E-02
TCGA-A2-A0CP-01A-11W-A050-09	1.44E-01	1.44E-01
TCGA-A2-A0CR-01A-11D-A228-09	5.91E-02	5.91E-02
TCGA-A2-A0CT-01A-31W-A071-09	2.31E-01	2.31E-01
TCGA-A2-A0CU-01A-12W-A050-09	4.09E-02	4.09E-02
TCGA-A2-A0CX-01A-21W-A019-09	2.05E-01	2.05E-01
TCGA-A2-A0D0-01A-11W-A019-09	7.69E-02	7.69E-02
TCGA-A2-A0D1-01A-11W-A050-09	7.57E-02	7.57E-02
TCGA-A2-A0D2-01A-21W-A050-09	1.50E-01	1.50E-01
TCGA-A2-A0EN-01A-13D-A099-09	5.02E-02	5.02E-02
TCGA-A2-A0EO-01A-11W-A050-09	4.73E-02	4.73E-02
TCGA-A2-A0EQ-01A-11W-A050-09	1.49E-01	1.49E-01
TCGA-A2-A0EV-01A-11W-A050-09	1.82E-01	1.82E-01
TCGA-A2-A0EY-01A-11W-A050-09	2.43E-01	2.43E-01
TCGA-A2-A0SY-01A-31D-A099-09	1.71E-01	1.71E-01
TCGA-A2-A0T0-01A-22D-A099-09	1.40E-01	1.40E-01
TCGA-A2-A0T1-01A-21D-A099-09	4.96E-02	4.96E-02
TCGA-A2-A0T4-01A-31D-A099-09	4.96E-02	4.96E-02
TCGA-A2-A0T6-01A-11D-A099-09	1.12E-01	1.12E-01
TCGA-A2-A0T7-01A-21D-A099-09	4.73E-02	4.73E-02
TCGA-A2-A0YD-01A-11D-A10G-09	8.12E-02	8.12E-02
TCGA-A2-A0YE-01A-11D-A10G-09	4.96E-02	4.96E-02
TCGA-A2-A0YH-01A-11D-A10G-09	6.62E-02	6.62E-02
TCGA-A2-A0YI-01A-31D-A10M-09	4.99E-02	4.99E-02
TCGA-A2-A0YJ-01A-11D-A10G-09	1.21E-01	1.21E-01
TCGA-A2-A0YK-01A-22D-A117-09	1.07E-01	1.07E-01
TCGA-A2-A0YL-01A-21D-A10G-09	9.36E-02	9.36E-02
TCGA-A2-A0YM-01A-11D-A10G-09	8.16E-02	8.16E-02
TCGA-A2-A0YT-01A-11D-A10G-09	4.73E-02	4.73E-02
TCGA-A2-A1FW-01A-11D-A13L-09	8.47E-02	8.47E-02
TCGA-A2-A1G4-01A-11D-A13L-09	1.97E-02	1.97E-02
TCGA-A2-A25A-01A-12D-A16D-09	1.72E-01	1.72E-01
TCGA-A2-A25B-01A-11D-A167-09	9.00E-02	9.00E-02
TCGA-A2-A25E-01A-11D-A167-09	4.73E-02	4.73E-02
TCGA-A2-A3XT-01A-11D-A22X-09	1.46E-01	1.46E-01
TCGA-A2-A3XU-01A-12D-A22X-09	5.00E-02	5.00E-02
TCGA-A2-A3XX-01A-21D-A23C-09	4.85E-02	4.85E-02
TCGA-A2-A3Y0-01A-11D-A23C-09	1.84E-01	1.85E-01
TCGA-A2-A4S1-01A-21D-A25Q-09	4.51E-02	4.51E-02
TCGA-A2-A4S2-01A-12D-A25Q-09	4.90E-02	4.90E-02
TCGA-A2-A4S3-01A-21D-A25Q-09	8.70E-02	8.70E-02
TCGA-A7-A0CE-01A-11W-A019-09	9.13E-02	9.13E-02
TCGA-A7-A0CG-01A-11W-A019-09	3.02E-02	3.02E-02
TCGA-A7-A0CJ-01A-21W-A019-09	4.82E-02	4.82E-02
TCGA-A7-A0DA-01A-31D-A10Y-09	1.75E-01	1.75E-01
TCGA-A7-A0DB-01A-11D-A272-09	8.01E-02	8.01E-02
TCGA-A7-A13D-01A-13D-A272-09	1.34E-01	1.34E-01
TCGA-A7-A13F-01A-11D-A12Q-09	4.96E-02	4.96E-02
TCGA-A7-A26E-01A-11D-A272-09	9.34E-02	9.34E-02
TCGA-A7-A26H-01A-11D-A167-09	8.37E-02	8.37E-02
TCGA-A7-A26I-01A-11D-A167-09	4.35E-02	4.35E-02
TCGA-A7-A26J-01A-11D-A272-09	1.12E-01	1.12E-01
TCGA-A7-A425-01A-11D-A243-09	4.96E-02	4.96E-02
TCGA-A7-A4SC-01A-12D-A25Q-09	4.02E-02	4.02E-02
TCGA-A7-A4SD-01A-11D-A25Q-09	8.65E-02	8.65E-02
TCGA-A7-A4SE-01A-11D-A25Q-09	1.11E-01	1.11E-01
TCGA-A7-A56D-01A-11D-A27P-09	2.62E-01	2.62E-01
TCGA-A7-A5ZW-01A-12D-A29N-09	4.02E-02	4.02E-02
TCGA-A7-A5ZX-01A-12D-A29N-09	4.88E-02	4.88E-02
TCGA-A7-A6VV-01A-22D-A33E-09	9.29E-02	9.29E-02
TCGA-A7-A6VW-01A-21D-A33E-09	9.07E-02	9.07E-02
TCGA-A7-A6VX-01A-12D-A33E-09	1.63E-01	1.63E-01
TCGA-A7-A6VY-01A-12D-A33E-09	1.48E-01	1.48E-01
TCGA-A8-A06P-01A-11W-A019-09	1.13E-01	1.13E-01
TCGA-A8-A06Q-01A-11W-A050-09	1.21E-01	1.21E-01
TCGA-A8-A06U-01A-11W-A019-09	5.01E-02	5.01E-02
TCGA-A8-A06X-01A-21W-A019-09	1.65E-01	1.65E-01
TCGA-A8-A06Z-01A-11W-A019-09	4.98E-02	4.98E-02
TCGA-A8-A075-01A-11D-A099-09	4.76E-02	4.76E-02
TCGA-A8-A076-01A-21W-A019-09	8.61E-02	8.61E-02
TCGA-A8-A079-01A-21W-A019-09	8.17E-02	8.17E-02
TCGA-A8-A07B-01A-11W-A019-09	4.90E-02	4.90E-02
TCGA-A8-A07F-01A-11W-A019-09	4.82E-02	4.82E-02
TCGA-A8-A07G-01A-11W-A050-09	4.79E-02	4.79E-02
TCGA-A8-A07J-01A-11W-A019-09	4.76E-02	4.76E-02
TCGA-A8-A07L-01A-11W-A019-09	1.74E-01	1.74E-01
TCGA-A8-A07O-01A-11W-A019-09	8.80E-02	8.80E-02
TCGA-A8-A07U-01A-11W-A050-09	7.09E-02	7.09E-02
TCGA-A8-A07W-01A-11W-A019-09	4.65E-02	4.65E-02
TCGA-A8-A081-01A-11W-A019-09	4.90E-02	4.90E-02
TCGA-A8-A083-01A-21W-A019-09	8.17E-02	8.17E-02
TCGA-A8-A085-01A-11W-A019-09	8.44E-02	8.44E-02
TCGA-A8-A08B-01A-11W-A019-09	4.73E-02	4.73E-02
TCGA-A8-A08F-01A-11W-A019-09	4.09E-02	4.09E-02
TCGA-A8-A08H-01A-21W-A019-09	1.54E-01	1.54E-01
TCGA-A8-A08J-01A-11W-A019-09	9.11E-02	9.11E-02
TCGA-A8-A08L-01A-11W-A019-09	1.60E-01	1.60E-01
TCGA-A8-A08P-01A-11W-A019-09	8.98E-02	8.98E-02
TCGA-A8-A08R-01A-11W-A050-09	2.75E-01	2.75E-01
TCGA-A8-A08X-01A-21W-A019-09	4.85E-02	4.85E-02
TCGA-A8-A090-01A-11W-A019-09	7.58E-02	7.58E-02
TCGA-A8-A091-01A-11W-A019-09	7.45E-02	7.45E-02
TCGA-A8-A092-01A-11W-A019-09	1.97E-02	1.97E-02
TCGA-A8-A093-01A-11W-A019-09	4.96E-02	4.96E-02
TCGA-A8-A094-01A-11W-A019-09	2.15E-01	2.15E-01
TCGA-A8-A095-01A-11W-A019-09	1.31E-01	1.31E-01
TCGA-A8-A096-01A-11W-A019-09	4.79E-02	4.79E-02
TCGA-A8-A097-01A-11W-A050-09	7.70E-02	7.70E-02
TCGA-A8-A099-01A-11W-A019-09	3.27E-02	3.27E-02
TCGA-A8-A09A-01A-11W-A019-09	1.73E-01	1.73E-01
TCGA-A8-A09C-01A-11W-A019-09	4.98E-02	4.98E-02
TCGA-A8-A09D-01A-11W-A019-09	1.42E-01	1.42E-01
TCGA-A8-A09E-01A-11W-A019-09	2.07E-01	2.07E-01
TCGA-A8-A09G-01A-21W-A019-09	9.13E-02	9.13E-02
TCGA-A8-A09I-01A-22W-A050-09	4.96E-02	4.96E-02
TCGA-A8-A09M-01A-11W-A019-09	4.79E-02	4.79E-02
TCGA-A8-A09N-01A-11W-A019-09	1.33E-01	1.33E-01
TCGA-A8-A09Q-01A-11W-A019-09	1.55E-01	1.55E-01
TCGA-A8-A09V-01A-11D-A045-09	9.08E-02	9.08E-02
TCGA-A8-A09W-01A-11W-A019-09	8.55E-02	8.55E-02
TCGA-A8-A09Z-01A-11W-A019-09	5.31E-01	5.31E-01
TCGA-A8-A0A1-01A-11W-A019-09	5.02E-02	5.02E-02
TCGA-A8-A0A2-01A-11W-A050-09	8.56E-02	8.56E-02
TCGA-A8-A0A4-01A-11W-A019-09	9.31E-02	9.31E-02
TCGA-A8-A0A6-01A-12W-A071-09	8.72E-02	8.72E-02
TCGA-A8-A0A7-01A-11W-A019-09	1.07E-01	1.07E-01
TCGA-A8-A0A9-01A-11W-A019-09	1.25E-01	1.25E-01
TCGA-A8-A0AB-01A-11W-A050-09	4.35E-02	4.35E-02
TCGA-A8-A0AD-01A-11W-A071-09	4.76E-02	4.76E-02
TCGA-AC-A23C-01A-12D-A167-09	1.06E-01	1.06E-01
TCGA-AC-A23E-01A-11D-A159-09	3.86E-02	3.86E-02
TCGA-AC-A23H-01A-11D-A159-09	1.84E+00	1.84E+00
TCGA-AC-A2B8-01A-11D-A17D-09	9.03E-02	9.03E-02
TCGA-AC-A2FG-01A-11D-A17D-09	4.73E-02	4.73E-02
TCGA-AC-A2QH-01A-11D-A18P-09	1.21E-01	1.21E-01
TCGA-AC-A3HN-01A-11D-A20S-09	7.68E-02	7.68E-02
TCGA-AC-A3OD-01A-11D-A21Q-09	4.73E-02	4.73E-02
TCGA-AC-A3QQ-01A-11D-A228-09	4.35E-02	4.35E-02
TCGA-AC-A3W5-01A-11D-A228-09	1.62E-01	1.62E-01
TCGA-AC-A3YJ-01A-11D-A22X-09	4.76E-02	4.76E-02
TCGA-AC-A5EH-01A-11D-A28B-09	8.82E-02	8.82E-02
TCGA-AC-A5EI-01A-11D-A27P-09	1.97E-02	1.97E-02
TCGA-AC-A5XS-01A-11D-A29N-09	3.22E-01	3.23E-01
TCGA-AC-A62V-01A-11D-A31U-09	8.61E-02	8.61E-02
TCGA-AC-A62X-01A-11D-A29N-09	1.21E-01	1.21E-01
TCGA-AC-A62Y-01A-11D-A29N-09	3.14E-02	3.14E-02
TCGA-AC-A6IW-01A-12D-A33E-09	1.90E-01	1.90E-01
TCGA-AC-A6IX-01A-12D-A32I-09	7.05E-02	7.05E-02
TCGA-AC-A6NO-01A-12D-A33E-09	1.10E-01	1.10E-01
TCGA-AC-A7VB-01A-11D-A351-09	4.02E-02	4.02E-02
TCGA-AC-A8OP-01A-11D-A36J-09	2.51E-01	2.51E-01
TCGA-AC-A8OQ-01A-11D-A41F-09	8.09E-02	8.09E-02
TCGA-AC-A8OS-01A-12D-A41F-09	1.02E-01	1.02E-01
TCGA-AN-A03X-01A-21W-A019-09	8.13E-02	8.13E-02
TCGA-AN-A03Y-01A-21W-A019-09	4.94E-02	4.94E-02
TCGA-AN-A041-01A-11W-A050-09	8.22E-02	8.22E-02
TCGA-AN-A046-01A-21W-A050-09	2.10E+00	2.10E+00
TCGA-AN-A04A-01A-21W-A050-09	9.31E-02	9.31E-02
TCGA-AN-A04C-01A-21W-A050-09	4.94E-02	4.94E-02
TCGA-AN-A04D-01A-21W-A050-09	8.37E-02	8.37E-02
TCGA-AN-A0AJ-01A-11W-A019-09	8.29E-02	8.29E-02
TCGA-AN-A0AK-01A-21W-A019-09	6.08E-01	6.08E-01
TCGA-AN-A0AL-01A-11W-A019-09	8.57E-02	8.57E-02
TCGA-AN-A0AM-01A-11W-A050-09	3.86E-02	3.86E-02
TCGA-AN-A0AR-01A-11W-A019-09	1.10E-01	1.10E-01
TCGA-AN-A0AS-01A-11W-A019-09	4.98E-02	4.98E-02
TCGA-AN-A0AT-01A-11D-A045-09	4.79E-02	4.79E-02
TCGA-AN-A0FD-01A-11W-A050-09	7.97E-02	7.97E-02
TCGA-AN-A0FJ-01A-11W-A019-09	1.25E-01	1.25E-01
TCGA-AN-A0FK-01A-11W-A050-09	8.88E-02	8.88E-02
TCGA-AN-A0FL-01A-11W-A050-09	1.59E-01	1.59E-01
TCGA-AN-A0FS-01A-11W-A050-09	1.97E-02	1.97E-02
TCGA-AN-A0FT-01A-11W-A050-09	9.40E-02	9.40E-02
TCGA-AN-A0FV-01A-11W-A019-09	9.08E-02	9.08E-02
TCGA-AN-A0FW-01A-11W-A050-09	5.02E-02	5.02E-02
TCGA-AN-A0FX-01A-11W-A050-09	1.15E-01	1.15E-01
TCGA-AN-A0FY-01A-11W-A050-09	4.79E-02	4.79E-02
TCGA-AN-A0XN-01A-21D-A10G-09	1.53E-01	1.53E-01
TCGA-AN-A0XP-01A-11D-A117-09	7.09E-02	7.09E-02
TCGA-AN-A0XV-01A-11D-A10G-09	4.96E-02	4.96E-02
TCGA-AN-A0XW-01A-11D-A10G-09	1.20E-01	1.20E-01
TCGA-AO-A03L-01A-41W-A071-09	5.03E-02	5.03E-02
TCGA-AO-A03O-01A-11W-A019-09	8.75E-02	8.75E-02
TCGA-AO-A03P-01A-11W-A019-09	5.01E-02	5.01E-02
TCGA-AO-A03T-01A-21W-A050-09	1.27E-01	1.27E-01
TCGA-AO-A03V-01A-11D-A10Y-09	4.73E-02	4.73E-02
TCGA-AO-A0J2-01A-11W-A050-09	4.90E-02	4.90E-02
TCGA-AO-A0J3-01A-11W-A050-09	4.02E-02	4.02E-02
TCGA-AO-A0J4-01A-11W-A050-09	1.02E-01	1.02E-01
