Samples	SBS96A
TCGA-3C-AAAU-01A-11D-A41F-09	26
TCGA-3C-AALI-01A-11D-A41F-09	493
TCGA-3C-AALJ-01A-31D-A41F-09	35
TCGA-3C-AALK-01A-11D-A41F-09	47
TCGA-4H-AAAK-01A-12D-A41F-09	24
TCGA-5L-AAT0-01A-12D-A41F-09	176
TCGA-5L-AAT1-01A-12D-A41F-09	1239
TCGA-5T-A9QA-01A-11D-A41F-09	39
TCGA-A1-A0SD-01A-11D-A10Y-09	29
TCGA-A1-A0SE-01A-11D-A099-09	27
TCGA-A1-A0SF-01A-11D-A142-09	41
TCGA-A1-A0SG-01A-11D-A142-09	21
TCGA-A1-A0SH-01A-11D-A099-09	96
TCGA-A1-A0SI-01A-11D-A142-09	189
TCGA-A1-A0SJ-01A-11D-A099-09	17
TCGA-A1-A0SK-01A-12D-A099-09	59
TCGA-A1-A0SM-01A-11D-A099-09	28
TCGA-A1-A0SN-01A-11D-A142-09	60
TCGA-A1-A0SO-01A-22D-A099-09	278
TCGA-A1-A0SP-01A-11D-A099-09	43
TCGA-A1-A0SQ-01A-21D-A142-09	23
TCGA-A2-A04N-01A-11D-A10Y-09	35
TCGA-A2-A04P-01A-31D-A128-09	121
TCGA-A2-A04Q-01A-21W-A050-09	49
TCGA-A2-A04R-01A-41D-A117-09	69
TCGA-A2-A04T-01A-21W-A050-09	77
TCGA-A2-A04U-01A-11D-A10Y-09	45
TCGA-A2-A04V-01A-21W-A050-09	32
TCGA-A2-A04W-01A-31D-A10Y-09	136
TCGA-A2-A04X-01A-21W-A050-09	32
TCGA-A2-A04Y-01A-21W-A050-09	49
TCGA-A2-A0CK-01A-11D-A228-09	23
TCGA-A2-A0CL-01A-11D-A10Y-09	131
TCGA-A2-A0CM-01A-31W-A050-09	59
TCGA-A2-A0CP-01A-11W-A050-09	109
TCGA-A2-A0CQ-01A-21W-A050-09	46
TCGA-A2-A0CR-01A-11D-A228-09	135
TCGA-A2-A0CS-01A-11D-A10Y-09	33
TCGA-A2-A0CT-01A-31W-A071-09	99
TCGA-A2-A0CU-01A-12W-A050-09	40
TCGA-A2-A0CV-01A-31D-A10Y-09	19
TCGA-A2-A0CW-01A-21D-A10Y-09	48
TCGA-A2-A0CX-01A-21W-A019-09	277
TCGA-A2-A0D0-01A-11W-A019-09	70
TCGA-A2-A0D1-01A-11W-A050-09	81
TCGA-A2-A0D2-01A-21W-A050-09	76
TCGA-A2-A0D3-01A-11D-A10Y-09	21
TCGA-A2-A0D4-01A-11W-A019-09	33
TCGA-A2-A0EM-01A-11W-A050-09	36
TCGA-A2-A0EN-01A-13D-A099-09	27
TCGA-A2-A0EO-01A-11W-A050-09	39
TCGA-A2-A0EP-01A-52D-A22X-09	12
TCGA-A2-A0EQ-01A-11W-A050-09	222
TCGA-A2-A0ER-01A-21W-A050-09	35
TCGA-A2-A0ES-01A-11D-A10Y-09	12
TCGA-A2-A0ET-01A-31D-A045-09	45
TCGA-A2-A0EU-01A-22W-A071-09	34
TCGA-A2-A0EV-01A-11W-A050-09	63
TCGA-A2-A0EW-01A-21D-A10Y-09	17
TCGA-A2-A0EX-01A-21W-A050-09	26
TCGA-A2-A0EY-01A-11W-A050-09	231
TCGA-A2-A0ST-01A-12D-A099-09	18
TCGA-A2-A0SU-01A-11D-A099-09	24
TCGA-A2-A0SV-01A-11D-A099-09	34
TCGA-A2-A0SW-01A-11D-A099-09	50
TCGA-A2-A0SX-01A-12D-A099-09	35
TCGA-A2-A0SY-01A-31D-A099-09	118
TCGA-A2-A0T0-01A-22D-A099-09	149
TCGA-A2-A0T1-01A-21D-A099-09	23
TCGA-A2-A0T2-01A-11W-A097-09	23
TCGA-A2-A0T3-01A-21D-A10Y-09	31
TCGA-A2-A0T4-01A-31D-A099-09	26
TCGA-A2-A0T5-01A-21D-A099-09	8
TCGA-A2-A0T6-01A-11D-A099-09	20
TCGA-A2-A0T7-01A-21D-A099-09	20
TCGA-A2-A0YC-01A-11D-A117-09	22
TCGA-A2-A0YD-01A-11D-A10G-09	59
TCGA-A2-A0YE-01A-11D-A10G-09	27
TCGA-A2-A0YF-01A-21D-A10G-09	23
TCGA-A2-A0YG-01A-21D-A10G-09	62
TCGA-A2-A0YH-01A-11D-A10G-09	86
TCGA-A2-A0YI-01A-31D-A10M-09	13
TCGA-A2-A0YJ-01A-11D-A10G-09	69
TCGA-A2-A0YK-01A-22D-A117-09	355
TCGA-A2-A0YL-01A-21D-A10G-09	30
TCGA-A2-A0YM-01A-11D-A10G-09	60
TCGA-A2-A0YT-01A-11D-A10G-09	54
TCGA-A2-A1FV-01A-11D-A13L-09	32
TCGA-A2-A1FW-01A-11D-A13L-09	65
TCGA-A2-A1FX-01A-11D-A13L-09	24
TCGA-A2-A1FZ-01A-51D-A17G-09	23
TCGA-A2-A1G0-01A-11D-A13L-09	18
TCGA-A2-A1G1-01A-21D-A13L-09	31
TCGA-A2-A1G4-01A-11D-A13L-09	25
TCGA-A2-A1G6-01A-11D-A13L-09	8
TCGA-A2-A259-01A-11D-A16D-09	20
TCGA-A2-A25A-01A-12D-A16D-09	380
TCGA-A2-A25B-01A-11D-A167-09	98
TCGA-A2-A25C-01A-11D-A167-09	35
TCGA-A2-A25D-01A-12D-A16D-09	43
TCGA-A2-A25E-01A-11D-A167-09	54
TCGA-A2-A25F-01A-11D-A167-09	5
TCGA-A2-A3KD-01A-12D-A20S-09	11
TCGA-A2-A3XT-01A-11D-A22X-09	77
TCGA-A2-A3XU-01A-12D-A22X-09	18
TCGA-A2-A3XV-01A-21D-A23C-09	32
TCGA-A2-A3XW-01A-11D-A23C-09	9
TCGA-A2-A3XX-01A-21D-A23C-09	39
TCGA-A2-A3XZ-01A-42D-A23C-09	39
TCGA-A2-A3Y0-01A-11D-A23C-09	160
TCGA-A2-A4S1-01A-21D-A25Q-09	59
TCGA-A2-A4S2-01A-12D-A25Q-09	29
TCGA-A2-A4S3-01A-21D-A25Q-09	68
TCGA-A7-A0CD-01A-11W-A019-09	32
TCGA-A7-A0CE-01A-11W-A019-09	121
TCGA-A7-A0CG-01A-11W-A019-09	56
TCGA-A7-A0CJ-01A-21W-A019-09	65
TCGA-A7-A0D9-01A-31W-A071-09	19
TCGA-A7-A0DA-01A-31D-A10Y-09	121
TCGA-A7-A0DB-01A-11D-A272-09	37
TCGA-A7-A13D-01A-13D-A272-09	88
TCGA-A7-A13E-01A-11D-A272-09	30
TCGA-A7-A13F-01A-11D-A12Q-09	29
TCGA-A7-A13G-01A-11D-A13L-09	20
TCGA-A7-A26E-01A-11D-A272-09	42
TCGA-A7-A26F-01A-21D-A167-09	38
TCGA-A7-A26G-01A-21D-A167-09	52
TCGA-A7-A26H-01A-11D-A167-09	102
TCGA-A7-A26I-01A-11D-A167-09	34
TCGA-A7-A26J-01A-11D-A272-09	29
TCGA-A7-A2KD-01A-31D-A21Q-09	41
TCGA-A7-A3RF-01A-11D-A228-09	30
TCGA-A7-A425-01A-11D-A243-09	30
TCGA-A7-A4SC-01A-12D-A25Q-09	25
TCGA-A7-A4SD-01A-11D-A25Q-09	42
TCGA-A7-A4SE-01A-11D-A25Q-09	90
TCGA-A7-A56D-01A-11D-A27P-09	118
TCGA-A7-A5ZW-01A-12D-A29N-09	26
TCGA-A7-A5ZX-01A-12D-A29N-09	24
TCGA-A7-A6VV-01A-22D-A33E-09	46
TCGA-A7-A6VW-01A-21D-A33E-09	54
TCGA-A7-A6VX-01A-12D-A33E-09	132
TCGA-A7-A6VY-01A-12D-A33E-09	93
TCGA-A8-A06O-01A-11W-A019-09	70
TCGA-A8-A06P-01A-11W-A019-09	56
TCGA-A8-A06Q-01A-11W-A050-09	219
TCGA-A8-A06R-01A-11D-A015-09	52
TCGA-A8-A06T-01A-11W-A019-09	30
TCGA-A8-A06U-01A-11W-A019-09	69
TCGA-A8-A06X-01A-21W-A019-09	231
TCGA-A8-A06Y-01A-21W-A019-09	28
TCGA-A8-A06Z-01A-11W-A019-09	70
TCGA-A8-A075-01A-11D-A099-09	65
TCGA-A8-A076-01A-21W-A019-09	75
TCGA-A8-A079-01A-21W-A019-09	82
TCGA-A8-A07B-01A-11W-A019-09	60
TCGA-A8-A07F-01A-11W-A019-09	23
TCGA-A8-A07G-01A-11W-A050-09	58
TCGA-A8-A07I-01A-11W-A019-09	45
TCGA-A8-A07J-01A-11W-A019-09	68
TCGA-A8-A07L-01A-11W-A019-09	94
TCGA-A8-A07O-01A-11W-A019-09	43
TCGA-A8-A07P-01A-11W-A019-09	53
TCGA-A8-A07U-01A-11W-A050-09	88
TCGA-A8-A07W-01A-11W-A019-09	125
TCGA-A8-A07Z-01A-11W-A019-09	22
TCGA-A8-A081-01A-11W-A019-09	100
TCGA-A8-A082-01A-11W-A019-09	23
TCGA-A8-A083-01A-21W-A019-09	25
TCGA-A8-A085-01A-11W-A019-09	73
TCGA-A8-A08B-01A-11W-A019-09	45
TCGA-A8-A08C-01A-11W-A019-09	7
TCGA-A8-A08F-01A-11W-A019-09	121
TCGA-A8-A08G-01A-11W-A019-09	44
TCGA-A8-A08H-01A-21W-A019-09	180
TCGA-A8-A08J-01A-11W-A019-09	36
TCGA-A8-A08L-01A-11W-A019-09	204
TCGA-A8-A08O-01A-21W-A071-09	22
TCGA-A8-A08P-01A-11W-A019-09	64
TCGA-A8-A08R-01A-11W-A050-09	213
TCGA-A8-A08S-01A-11W-A050-09	53
TCGA-A8-A08T-01A-21W-A019-09	57
TCGA-A8-A08X-01A-21W-A019-09	40
TCGA-A8-A08Z-01A-21W-A019-09	33
TCGA-A8-A090-01A-11W-A019-09	35
TCGA-A8-A091-01A-11W-A019-09	23
TCGA-A8-A092-01A-11W-A019-09	80
TCGA-A8-A093-01A-11W-A019-09	108
TCGA-A8-A094-01A-11W-A019-09	170
TCGA-A8-A095-01A-11W-A019-09	153
TCGA-A8-A096-01A-11W-A019-09	38
TCGA-A8-A097-01A-11W-A050-09	95
TCGA-A8-A099-01A-11W-A019-09	30
TCGA-A8-A09A-01A-11W-A019-09	205
TCGA-A8-A09B-01A-11W-A019-09	34
TCGA-A8-A09C-01A-11W-A019-09	47
TCGA-A8-A09D-01A-11W-A019-09	47
TCGA-A8-A09E-01A-11W-A019-09	67
TCGA-A8-A09G-01A-21W-A019-09	237
TCGA-A8-A09I-01A-22W-A050-09	126
TCGA-A8-A09K-01A-11W-A019-09	39
TCGA-A8-A09M-01A-11W-A019-09	140
TCGA-A8-A09N-01A-11W-A019-09	114
TCGA-A8-A09Q-01A-11W-A019-09	147
TCGA-A8-A09T-01A-11W-A019-09	20
TCGA-A8-A09V-01A-11D-A045-09	25
