Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	467	168	40	9
TCGA-2F-A9KP-01A-11D-A38G-08	39	34	72	15
TCGA-2F-A9KQ-01A-11D-A38G-08	8	10	51	7
TCGA-2F-A9KR-01A-11D-A38G-08	102	101	47	32
TCGA-2F-A9KT-01A-11D-A38G-08	232	113	52	17
TCGA-2F-A9KW-01A-11D-A38G-08	18	28	78	14
TCGA-4Z-AA7M-01A-11D-A391-08	333	165	128	4
TCGA-4Z-AA7N-01A-11D-A391-08	7	8	9	0
TCGA-4Z-AA7O-01A-31D-A391-08	75	48	101	20
TCGA-4Z-AA7Q-01A-11D-A391-08	185	26	74	9
TCGA-4Z-AA7R-01A-11D-A391-08	225	127	61	22
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	54	12
TCGA-4Z-AA7W-01A-11D-A391-08	500	140	26	0
TCGA-4Z-AA7Y-01A-11D-A391-08	178	125	44	2
TCGA-4Z-AA80-01A-11D-A391-08	209	117	111	62
TCGA-4Z-AA81-01A-11D-A391-08	109	90	44	14
TCGA-4Z-AA82-01A-11D-A391-08	24	25	80	0
TCGA-4Z-AA83-01A-11D-A391-08	22	21	57	6
TCGA-4Z-AA84-01A-11D-A391-08	17	418	215	11
TCGA-4Z-AA86-01A-11D-A391-08	163	66	27	11
TCGA-4Z-AA87-01A-11D-A391-08	116	57	98	17
TCGA-4Z-AA89-01A-11D-A391-08	85	37	36	0
TCGA-5N-A9KI-01A-31D-A42E-08	41	67	88	17
TCGA-5N-A9KM-01A-11D-A42E-08	10	36	224	0
TCGA-BL-A0C8-01A-11D-A271-08	46	15	94	20
TCGA-BL-A13I-01A-11D-A271-08	54	13	75	6
TCGA-BL-A13J-01A-11D-A271-08	50	15	66	0
TCGA-BL-A3JM-01A-12D-A21A-08	70	55	120	7
TCGA-BL-A5ZZ-01A-31D-A30E-08	32	47	120	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	38	7
TCGA-BT-A0YX-01A-11D-A10S-08	528	246	7	0
TCGA-BT-A20J-01A-11D-A14W-08	283	189	55	38
TCGA-BT-A20N-01A-11D-A14W-08	104	27	173	11
TCGA-BT-A20O-01A-21D-A14W-08	64	45	104	0
TCGA-BT-A20P-01A-11D-A14W-08	59	0	31	12
TCGA-BT-A20Q-01A-11D-A14W-08	43	25	20	21
TCGA-BT-A20R-01A-12D-A16O-08	163	85	31	40
TCGA-BT-A20T-01A-11D-A14W-08	149	138	38	6
TCGA-BT-A20U-01A-11D-A14W-08	60	25	14	7
TCGA-BT-A20V-01A-11D-A14W-08	21	12	71	23
TCGA-BT-A20W-01A-21D-A14W-08	23	3	48	9
TCGA-BT-A20X-01A-11D-A16O-08	15	3	54	12
TCGA-BT-A2LA-01A-11D-A18F-08	34	31	135	12
TCGA-BT-A2LB-01A-11D-A18F-08	68	407	278	32
TCGA-BT-A2LD-01A-12D-A20D-08	7	15	89	11
TCGA-BT-A3PH-01A-11D-A21Z-08	415	104	43	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	187	269	154	29
TCGA-BT-A3PK-01A-21D-A21Z-08	123	58	255	0
TCGA-BT-A42B-01A-32D-A23M-08	3	8	64	4
