Samples	SBS96A	SBS96B	SBS96C
TCGA-2F-A9KO-01A-11D-A38G-08	554	26	54
TCGA-2F-A9KP-01A-11D-A38G-08	50	65	24
TCGA-2F-A9KQ-01A-11D-A38G-08	10	56	6
TCGA-2F-A9KR-01A-11D-A38G-08	146	27	84
TCGA-2F-A9KT-01A-11D-A38G-08	295	33	66
TCGA-2F-A9KW-01A-11D-A38G-08	26	77	23
TCGA-4Z-AA7M-01A-11D-A391-08	418	106	64
TCGA-4Z-AA7N-01A-11D-A391-08	13	8	2
TCGA-4Z-AA7O-01A-31D-A391-08	92	103	31
TCGA-4Z-AA7Q-01A-11D-A391-08	201	74	0
TCGA-4Z-AA7R-01A-11D-A391-08	280	37	88
TCGA-4Z-AA7S-01A-11D-A391-08	0	54	5
TCGA-4Z-AA7W-01A-11D-A391-08	604	23	0
TCGA-4Z-AA7Y-01A-11D-A391-08	233	9	81
TCGA-4Z-AA80-01A-11D-A391-08	245	112	101
TCGA-4Z-AA81-01A-11D-A391-08	140	27	71
TCGA-4Z-AA82-01A-11D-A391-08	39	74	8
TCGA-4Z-AA83-01A-11D-A391-08	31	60	10
TCGA-4Z-AA84-01A-11D-A391-08	178	97	342
TCGA-4Z-AA86-01A-11D-A391-08	196	20	36
TCGA-4Z-AA87-01A-11D-A391-08	146	91	28
TCGA-4Z-AA89-01A-11D-A391-08	107	32	10
TCGA-5N-A9KI-01A-31D-A42E-08	69	69	52
TCGA-5N-A9KM-01A-11D-A42E-08	30	213	0
TCGA-BL-A0C8-01A-11D-A271-08	57	93	10
TCGA-BL-A13I-01A-11D-A271-08	60	71	0
TCGA-BL-A13J-01A-11D-A271-08	58	56	0
TCGA-BL-A3JM-01A-12D-A21A-08	92	109	26
TCGA-BL-A5ZZ-01A-31D-A30E-08	59	110	17
TCGA-BT-A0S7-01A-11D-A10S-08	0	43	0
TCGA-BT-A0YX-01A-11D-A10S-08	642	0	102
TCGA-BT-A20J-01A-11D-A14W-08	367	25	141
TCGA-BT-A20N-01A-11D-A14W-08	115	165	0
TCGA-BT-A20O-01A-21D-A14W-08	86	110	6
TCGA-BT-A20P-01A-11D-A14W-08	59	36	0
TCGA-BT-A20Q-01A-11D-A14W-08	51	28	26
TCGA-BT-A20R-01A-12D-A16O-08	184	25	79
TCGA-BT-A20T-01A-11D-A14W-08	205	12	93
TCGA-BT-A20U-01A-11D-A14W-08	72	16	15
TCGA-BT-A20V-01A-11D-A14W-08	23	75	13
TCGA-BT-A20W-01A-21D-A14W-08	23	53	1
TCGA-BT-A20X-01A-11D-A16O-08	15	61	2
TCGA-BT-A2LA-01A-11D-A18F-08	52	133	10
TCGA-BT-A2LB-01A-11D-A18F-08	227	172	338
TCGA-BT-A2LD-01A-12D-A20D-08	13	91	10
TCGA-BT-A3PH-01A-11D-A21Z-08	508	25	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	302	84	213
TCGA-BT-A3PK-01A-21D-A21Z-08	151	254	0
TCGA-BT-A42B-01A-32D-A23M-08	8	67	1
TCGA-BT-A42C-01A-11D-A23M-08	210	159	43
TCGA-BT-A42E-01A-11D-A23U-08	136	47	0
TCGA-BT-A42F-01A-11D-A23U-08	164	0	23
TCGA-C4-A0EZ-01A-21D-A10S-08	54	133	33
TCGA-C4-A0F0-01A-12D-A10S-08	21	82	0
TCGA-C4-A0F1-01A-11D-A10S-08	85	55	52
TCGA-C4-A0F6-01A-11D-A10S-08	135	83	11
TCGA-C4-A0F7-01A-11D-A10S-08	9	77	6
TCGA-CF-A1HR-01A-11D-A13W-08	213	26	48
TCGA-CF-A1HS-01A-11D-A13W-08	220	57	0
TCGA-CF-A27C-01A-11D-A16O-08	136	31	7
TCGA-CF-A3MF-01A-12D-A21A-08	1	23	0
TCGA-CF-A3MG-01A-11D-A20D-08	98	46	11
TCGA-CF-A3MH-01A-11D-A20D-08	12	35	0
TCGA-CF-A3MI-01A-11D-A20D-08	26	47	4
TCGA-CF-A47S-01A-11D-A23U-08	1	26	3
TCGA-CF-A47T-01A-11D-A23U-08	2	20	9
TCGA-CF-A47V-01A-11D-A23U-08	56	65	0
TCGA-CF-A47W-01A-11D-A23U-08	1	27	5
TCGA-CF-A47X-01A-31D-A23U-08	257	50	65
TCGA-CF-A47Y-01A-11D-A23U-08	35	40	0
TCGA-CF-A5U8-01A-11D-A289-08	3	59	1
TCGA-CF-A5UA-01A-11D-A289-08	16	69	0
TCGA-CF-A7I0-01A-22D-A34U-08	21	29	11
TCGA-CF-A8HX-01A-11D-A364-08	32	20	23
TCGA-CF-A8HY-01A-11D-A364-08	23	67	0
TCGA-CF-A9FF-01A-11D-A38G-08	92	16	51
TCGA-CF-A9FH-01A-11D-A38G-08	0	32	7
TCGA-CF-A9FL-01A-11D-A38G-08	0	57	5
TCGA-CF-A9FM-01A-11D-A38G-08	0	29	0
TCGA-CU-A0YN-01A-21D-A10S-08	21	163	0
TCGA-CU-A0YO-01A-11D-A10S-08	33	59	11
TCGA-CU-A0YR-01A-12D-A10S-08	18	145	0
TCGA-CU-A3KJ-01A-11D-A21A-08	167	84	16
TCGA-CU-A3QU-01A-11D-A22Z-08	48	46	28
TCGA-CU-A3YL-01A-11D-A22Z-08	200	19	46
TCGA-CU-A5W6-01A-11D-A289-08	143	46	47
TCGA-CU-A72E-01A-12D-A339-08	63	39	10
TCGA-DK-A1A3-01A-11D-A13W-08	402	0	309
TCGA-DK-A1A5-01A-11D-A13W-08	221	15	62
TCGA-DK-A1A6-01A-11D-A13W-08	189	75	0
