Samples	SBS96A	SBS96B
TCGA-3C-AAAU-01A-11D-A41F-09	2.15E-02	2.15E-02
TCGA-3C-AALI-01A-11D-A41F-09	1.70E-01	1.70E-01
TCGA-3C-AALJ-01A-31D-A41F-09	5.05E-02	5.05E-02
TCGA-3C-AALK-01A-11D-A41F-09	3.78E-02	3.78E-02
TCGA-4H-AAAK-01A-12D-A41F-09	2.12E-02	2.12E-02
TCGA-5L-AAT0-01A-12D-A41F-09	4.68E-02	4.68E-02
TCGA-5L-AAT1-01A-12D-A41F-09	1.99E-01	1.99E-01
TCGA-5T-A9QA-01A-11D-A41F-09	4.96E-02	4.95E-02
TCGA-A1-A0SE-01A-11D-A099-09	2.24E-02	2.24E-02
TCGA-A1-A0SF-01A-11D-A142-09	1.94E-02	1.94E-02
TCGA-A1-A0SH-01A-11D-A099-09	6.41E-02	6.42E-02
TCGA-A1-A0SI-01A-11D-A142-09	6.39E-02	6.39E-02
TCGA-A1-A0SK-01A-12D-A099-09	4.00E-02	4.00E-02
TCGA-A1-A0SN-01A-11D-A142-09	3.79E-02	3.79E-02
TCGA-A1-A0SO-01A-22D-A099-09	9.80E-02	9.81E-02
TCGA-A1-A0SP-01A-11D-A099-09	2.18E-02	2.18E-02
TCGA-A1-A0SQ-01A-21D-A142-09	2.15E-02	2.15E-02
TCGA-A2-A04Q-01A-21W-A050-09	2.23E-02	2.23E-02
TCGA-A2-A04R-01A-41D-A117-09	3.83E-02	3.83E-02
TCGA-A2-A04T-01A-21W-A050-09	3.92E-02	3.93E-02
TCGA-A2-A04U-01A-11D-A10Y-09	4.88E-02	4.88E-02
TCGA-A2-A04W-01A-31D-A10Y-09	3.49E-02	3.49E-02
TCGA-A2-A04X-01A-21W-A050-09	2.20E-02	2.20E-02
TCGA-A2-A04Y-01A-21W-A050-09	5.25E-02	5.25E-02
TCGA-A2-A0CK-01A-11D-A228-09	2.20E-02	2.20E-02
TCGA-A2-A0CL-01A-11D-A10Y-09	2.15E-02	2.15E-02
TCGA-A2-A0CM-01A-31W-A050-09	3.80E-02	3.80E-02
TCGA-A2-A0CP-01A-11W-A050-09	3.95E-02	3.95E-02
TCGA-A2-A0CQ-01A-21W-A050-09	2.18E-02	2.18E-02
TCGA-A2-A0CR-01A-11D-A228-09	4.81E-02	4.81E-02
TCGA-A2-A0CT-01A-31W-A071-09	4.69E-02	4.69E-02
TCGA-A2-A0CU-01A-12W-A050-09	5.11E-02	5.12E-02
TCGA-A2-A0CX-01A-21W-A019-09	3.98E-02	3.98E-02
TCGA-A2-A0D0-01A-11W-A019-09	2.22E-02	2.22E-02
TCGA-A2-A0D1-01A-11W-A050-09	4.90E-02	4.90E-02
TCGA-A2-A0D2-01A-21W-A050-09	3.46E-02	3.46E-02
TCGA-A2-A0EM-01A-11W-A050-09	2.05E-02	2.05E-02
TCGA-A2-A0EO-01A-11W-A050-09	4.07E-02	4.07E-02
TCGA-A2-A0EP-01A-52D-A22X-09	2.17E-02	2.17E-02
TCGA-A2-A0EQ-01A-11W-A050-09	5.83E-02	5.83E-02
TCGA-A2-A0ER-01A-21W-A050-09	2.24E-02	2.24E-02
TCGA-A2-A0ET-01A-31D-A045-09	2.22E-02	2.22E-02
TCGA-A2-A0EY-01A-11W-A050-09	9.93E-02	9.93E-02
TCGA-A2-A0SW-01A-11D-A099-09	2.09E-02	2.09E-02
TCGA-A2-A0SX-01A-12D-A099-09	2.23E-02	2.23E-02
TCGA-A2-A0SY-01A-31D-A099-09	3.96E-02	3.96E-02
TCGA-A2-A0T0-01A-22D-A099-09	4.74E-02	4.74E-02
TCGA-A2-A0T2-01A-11W-A097-09	2.23E-02	2.23E-02
TCGA-A2-A0T3-01A-21D-A10Y-09	2.20E-02	2.20E-02
TCGA-A2-A0YD-01A-11D-A10G-09	5.95E-03	5.95E-03
TCGA-A2-A0YI-01A-31D-A10M-09	2.24E-02	2.24E-02
TCGA-A2-A0YJ-01A-11D-A10G-09	2.23E-02	2.23E-02
TCGA-A2-A0YK-01A-22D-A117-09	7.49E-02	7.49E-02
TCGA-A2-A0YM-01A-11D-A10G-09	3.86E-02	3.86E-02
TCGA-A2-A0YT-01A-11D-A10G-09	7.00E-02	7.00E-02
TCGA-A2-A1FV-01A-11D-A13L-09	2.22E-02	2.22E-02
TCGA-A2-A1G0-01A-11D-A13L-09	5.95E-03	5.95E-03
TCGA-A2-A1G6-01A-11D-A13L-09	3.48E-02	3.48E-02
TCGA-A2-A259-01A-11D-A16D-09	2.24E-02	2.24E-02
TCGA-A2-A25A-01A-12D-A16D-09	1.56E-01	1.56E-01
TCGA-A2-A25B-01A-11D-A167-09	7.56E-02	7.56E-02
TCGA-A2-A25C-01A-11D-A167-09	1.94E-02	1.94E-02
TCGA-A2-A25D-01A-12D-A16D-09	6.41E-02	6.41E-02
TCGA-A2-A25E-01A-11D-A167-09	4.15E-02	4.15E-02
TCGA-A2-A25F-01A-11D-A167-09	2.20E-02	2.20E-02
TCGA-A2-A3XT-01A-11D-A22X-09	3.48E-02	3.48E-02
TCGA-A2-A3XV-01A-21D-A23C-09	2.13E-02	2.13E-02
TCGA-A2-A3XZ-01A-42D-A23C-09	5.95E-03	5.95E-03
TCGA-A2-A3Y0-01A-11D-A23C-09	1.11E-01	1.11E-01
TCGA-A2-A4S1-01A-21D-A25Q-09	5.74E-02	5.74E-02
TCGA-A2-A4S3-01A-21D-A25Q-09	2.19E-02	2.19E-02
TCGA-A7-A0CE-01A-11W-A019-09	1.94E-02	1.94E-02
TCGA-A7-A0CG-01A-11W-A019-09	2.20E-02	2.20E-02
TCGA-A7-A0CJ-01A-21W-A019-09	2.23E-02	2.23E-02
TCGA-A7-A0DA-01A-31D-A10Y-09	6.66E-02	6.66E-02
TCGA-A7-A13D-01A-13D-A272-09	5.18E-02	5.18E-02
TCGA-A7-A13F-01A-11D-A12Q-09	2.20E-02	2.20E-02
TCGA-A7-A13G-01A-11D-A13L-09	2.20E-02	2.20E-02
TCGA-A7-A26E-01A-11D-A272-09	2.09E-02	2.09E-02
TCGA-A7-A26F-01A-21D-A167-09	3.93E-02	3.93E-02
TCGA-A7-A26G-01A-21D-A167-09	2.09E-02	2.09E-02
