Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-2F-A9KO-01A-11D-A38G-08	310	135	18	25	0
TCGA-2F-A9KP-01A-11D-A38G-08	26	30	9	38	8
TCGA-2F-A9KQ-01A-11D-A38G-08	6	9	8	33	1
TCGA-2F-A9KR-01A-11D-A38G-08	64	74	28	10	13
TCGA-2F-A9KT-01A-11D-A38G-08	158	87	7	30	26
TCGA-2F-A9KW-01A-11D-A38G-08	8	18	30	35	6
TCGA-4Z-AA7M-01A-11D-A391-08	218	113	57	49	0
TCGA-4Z-AA7N-01A-11D-A391-08	2	7	0	7	0
TCGA-4Z-AA7O-01A-31D-A391-08	46	36	52	35	13
TCGA-4Z-AA7Q-01A-11D-A391-08	120	28	41	31	5
TCGA-4Z-AA7R-01A-11D-A391-08	151	97	25	17	26
TCGA-4Z-AA7S-01A-11D-A391-08	0	3	0	35	9
TCGA-4Z-AA7W-01A-11D-A391-08	297	120	40	10	0
TCGA-4Z-AA7Y-01A-11D-A391-08	116	91	30	6	6
TCGA-4Z-AA80-01A-11D-A391-08	140	82	37	54	52
TCGA-4Z-AA81-01A-11D-A391-08	69	69	6	22	17
TCGA-4Z-AA82-01A-11D-A391-08	16	29	20	37	0
TCGA-4Z-AA83-01A-11D-A391-08	16	18	8	30	5
TCGA-4Z-AA84-01A-11D-A391-08	8	227	167	32	6
TCGA-4Z-AA86-01A-11D-A391-08	115	45	16	12	10
TCGA-4Z-AA87-01A-11D-A391-08	85	38	19	47	14
TCGA-4Z-AA89-01A-11D-A391-08	62	31	0	25	0
TCGA-5N-A9KI-01A-31D-A42E-08	33	49	35	25	15
TCGA-5N-A9KM-01A-11D-A42E-08	3	22	136	36	0
TCGA-BL-A0C8-01A-11D-A271-08	29	20	25	35	10
TCGA-BL-A13I-01A-11D-A271-08	38	10	45	15	0
TCGA-BL-A13J-01A-11D-A271-08	28	9	41	5	0
TCGA-BL-A3JM-01A-12D-A21A-08	45	36	51	33	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	22	37	38	36	2
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	26	7	5
TCGA-BT-A0YX-01A-11D-A10S-08	331	198	0	26	0
TCGA-BT-A20J-01A-11D-A14W-08	195	153	0	35	26
TCGA-BT-A20N-01A-11D-A14W-08	57	18	109	24	9
TCGA-BT-A20O-01A-21D-A14W-08	45	20	77	21	1
TCGA-BT-A20P-01A-11D-A14W-08	44	0	1	18	3
TCGA-BT-A20Q-01A-11D-A14W-08	28	24	0	16	8
TCGA-BT-A20R-01A-12D-A16O-08	106	55	0	27	20
TCGA-BT-A20T-01A-11D-A14W-08	97	93	15	19	10
TCGA-BT-A20U-01A-11D-A14W-08	40	25	1	13	7
TCGA-BT-A20V-01A-11D-A14W-08	18	11	7	36	13
TCGA-BT-A20W-01A-21D-A14W-08	20	3	14	20	8
TCGA-BT-A20X-01A-11D-A16O-08	11	2	33	8	9
TCGA-BT-A2LA-01A-11D-A18F-08	28	31	0	91	0
