Samples	SBS96A	SBS96B	SBS96C
TCGA-3C-AAAU-01A-11D-A41F-09	2.20E-02	2.08E-02	2.00E-02
TCGA-3C-AALI-01A-11D-A41F-09	8.97E-02	1.86E-01	1.97E-01
TCGA-3C-AALK-01A-11D-A41F-09	3.94E-02	3.70E-02	3.47E-02
TCGA-5L-AAT0-01A-12D-A41F-09	4.22E-02	5.77E-02	6.14E-02
TCGA-5L-AAT1-01A-12D-A41F-09	2.33E-01	6.78E-01	6.80E-01
TCGA-5T-A9QA-01A-11D-A41F-09	4.46E-02	3.91E-02	3.55E-02
TCGA-A1-A0SD-01A-11D-A10Y-09	3.74E-02	3.81E-02	3.28E-02
TCGA-A1-A0SE-01A-11D-A099-09	1.91E-02	2.21E-02	2.11E-02
TCGA-A1-A0SH-01A-11D-A099-09	5.18E-02	5.27E-02	5.36E-02
TCGA-A1-A0SI-01A-11D-A142-09	5.25E-02	5.76E-02	6.34E-02
TCGA-A1-A0SJ-01A-11D-A099-09	2.23E-02	2.03E-02	1.98E-02
TCGA-A1-A0SK-01A-12D-A099-09	1.51E-02	2.21E-02	2.22E-02
TCGA-A1-A0SO-01A-22D-A099-09	6.64E-02	6.52E-02	5.90E-02
TCGA-A1-A0SP-01A-11D-A099-09	3.95E-02	3.37E-02	3.33E-02
TCGA-A1-A0SQ-01A-21D-A142-09	3.25E-02	3.68E-02	3.36E-02
TCGA-A2-A04N-01A-11D-A10Y-09	2.23E-02	1.95E-02	1.78E-02
TCGA-A2-A04Q-01A-21W-A050-09	3.92E-02	3.70E-02	3.47E-02
TCGA-A2-A04T-01A-21W-A050-09	5.75E-02	5.48E-02	4.89E-02
TCGA-A2-A04U-01A-11D-A10Y-09	2.19E-02	1.92E-02	1.62E-02
TCGA-A2-A04V-01A-21W-A050-09	5.38E-02	5.44E-02	4.91E-02
TCGA-A2-A04W-01A-31D-A10Y-09	4.87E-03	2.00E-03	5.26E-03
TCGA-A2-A04X-01A-21W-A050-09	1.83E-02	2.23E-02	2.12E-02
TCGA-A2-A0CL-01A-11D-A10Y-09	3.42E-02	3.74E-02	3.65E-02
TCGA-A2-A0CM-01A-31W-A050-09	2.14E-02	2.17E-02	1.98E-02
TCGA-A2-A0CP-01A-11W-A050-09	5.83E-02	5.98E-02	6.31E-02
TCGA-A2-A0CR-01A-11D-A228-09	1.04E-02	6.67E-02	6.66E-02
TCGA-A2-A0CT-01A-31W-A071-09	5.20E-02	5.90E-02	6.85E-02
TCGA-A2-A0CU-01A-12W-A050-09	2.22E-02	1.93E-02	1.75E-02
TCGA-A2-A0CX-01A-21W-A019-09	7.38E-02	1.13E-01	1.11E-01
TCGA-A2-A0D0-01A-11W-A019-09	2.89E-02	3.86E-02	3.65E-02
TCGA-A2-A0D1-01A-11W-A050-09	3.25E-02	3.65E-02	3.57E-02
