Samples	SBS1	SBS2	SBS5	SBS10b	SBS13
TCGA-A8-A076-01A-21W-A019-09	1	0	1	0	0
TCGA-A8-A079-01A-21W-A019-09	0	0	2	0	0
TCGA-A8-A07B-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A07F-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A07G-01A-11W-A050-09	0	0	1	0	0
TCGA-A8-A07J-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A07L-01A-11W-A019-09	0	0	5	0	0
TCGA-A8-A07O-01A-11W-A019-09	0	0	2	0	0
TCGA-A8-A07U-01A-11W-A050-09	0	0	0	0	2
TCGA-A8-A07W-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A081-01A-11W-A019-09	1	0	0	0	0
TCGA-A8-A083-01A-21W-A019-09	0	2	0	0	0
TCGA-A8-A085-01A-11W-A019-09	0	0	2	0	0
TCGA-A8-A08B-01A-11W-A019-09	0	0	0	1	0
TCGA-A8-A08F-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A08H-01A-21W-A019-09	0	0	4	0	0
TCGA-A8-A08J-01A-11W-A019-09	0	0	2	0	0
TCGA-A8-A08L-01A-11W-A019-09	0	0	5	0	0
TCGA-A8-A08P-01A-11W-A019-09	2	0	0	0	0
TCGA-A8-A08R-01A-11W-A050-09	0	0	7	0	3
TCGA-A8-A08X-01A-21W-A019-09	0	0	1	0	0
TCGA-A8-A090-01A-11W-A019-09	0	2	0	0	0
TCGA-A8-A091-01A-11W-A019-09	0	2	0	0	0
TCGA-A8-A092-01A-11W-A019-09	0	1	0	0	0
TCGA-A8-A093-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A094-01A-11W-A019-09	2	4	3	0	0
TCGA-A8-A095-01A-11W-A019-09	0	0	3	0	0
TCGA-A8-A096-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A097-01A-11W-A050-09	0	2	0	0	0
TCGA-A8-A099-01A-11W-A019-09	0	0	0	0	1
TCGA-A8-A09A-01A-11W-A019-09	0	0	4	0	0
TCGA-A8-A09C-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A09D-01A-11W-A019-09	1	1	2	0	0
TCGA-A8-A09E-01A-11W-A019-09	2	0	4	0	0
TCGA-A8-A09G-01A-21W-A019-09	0	1	2	0	1
TCGA-A8-A09I-01A-22W-A050-09	0	0	1	0	0
TCGA-A8-A09M-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A09N-01A-11W-A019-09	1	0	2	0	0
TCGA-A8-A09Q-01A-11W-A019-09	1	0	4	0	0
TCGA-A8-A09V-01A-11D-A045-09	0	0	2	0	0
TCGA-A8-A09W-01A-11W-A019-09	0	0	2	0	0
TCGA-A8-A09Z-01A-11W-A019-09	8	0	16	0	0
TCGA-A8-A0A1-01A-11W-A019-09	0	0	1	0	0
TCGA-A8-A0A2-01A-11W-A050-09	2	0	0	0	0
TCGA-A8-A0A4-01A-11W-A019-09	0	0	2	0	0
TCGA-A8-A0A6-01A-12W-A071-09	0	0	2	0	0
TCGA-A8-A0A7-01A-11W-A019-09	0	1	0	2	0
TCGA-A8-A0A9-01A-11W-A019-09	1	0	2	0	0
TCGA-A8-A0AB-01A-11W-A050-09	0	0	1	0	0
TCGA-A8-A0AD-01A-11W-A071-09	0	0	1	0	0
TCGA-AC-A23C-01A-12D-A167-09	0	1	2	0	0
TCGA-AC-A23E-01A-11D-A159-09	0	0	1	0	0
TCGA-AC-A23H-01A-11D-A159-09	0	44	0	29	50
TCGA-AC-A2B8-01A-11D-A17D-09	0	0	0	2	1
TCGA-AC-A2FG-01A-11D-A17D-09	1	0	0	0	0
TCGA-AC-A2QH-01A-11D-A18P-09	3	0	0	0	0
TCGA-AC-A3HN-01A-11D-A20S-09	1	0	0	0	1
TCGA-AC-A3OD-01A-11D-A21Q-09	0	0	0	1	0
TCGA-AC-A3QQ-01A-11D-A228-09	0	0	1	0	0
TCGA-AC-A3W5-01A-11D-A228-09	0	0	2	0	4
TCGA-AC-A3YJ-01A-11D-A22X-09	0	0	1	0	0
TCGA-AC-A5EH-01A-11D-A28B-09	0	0	2	0	0
TCGA-AC-A5EI-01A-11D-A27P-09	0	1	0	0	0
TCGA-AC-A5XS-01A-11D-A29N-09	1	0	6	9	0
TCGA-AC-A62V-01A-11D-A31U-09	2	0	0	0	0
TCGA-AC-A62X-01A-11D-A29N-09	0	0	3	0	0
TCGA-AC-A62Y-01A-11D-A29N-09	0	0	0	0	1
TCGA-AC-A6IW-01A-12D-A33E-09	0	0	4	2	0
TCGA-AC-A6IX-01A-12D-A32I-09	0	2	0	0	0
TCGA-AC-A6NO-01A-12D-A33E-09	0	0	3	0	0
TCGA-AC-A7VB-01A-11D-A351-09	1	0	0	0	0
TCGA-AC-A8OP-01A-11D-A36J-09	0	0	7	0	0
TCGA-AC-A8OQ-01A-11D-A41F-09	1	0	1	0	0
TCGA-AC-A8OS-01A-12D-A41F-09	2	1	0	0	0
TCGA-AN-A03X-01A-21W-A019-09	0	2	0	0	0
TCGA-AN-A03Y-01A-21W-A019-09	0	0	1	0	0
TCGA-AN-A041-01A-11W-A050-09	0	0	2	0	0
TCGA-AN-A046-01A-21W-A050-09	6	0	8	59	0
TCGA-AN-A04A-01A-21W-A050-09	2	0	0	0	0
TCGA-AN-A04C-01A-21W-A050-09	0	0	1	0	0
TCGA-AN-A04D-01A-21W-A050-09	0	0	2	0	0
TCGA-AN-A0AJ-01A-11W-A019-09	2	0	0	0	0
TCGA-AN-A0AK-01A-21W-A019-09	6	0	16	0	0
TCGA-AN-A0AL-01A-11W-A019-09	0	0	2	0	0
TCGA-AN-A0AM-01A-11W-A050-09	0	0	1	0	0
TCGA-AN-A0AR-01A-11W-A019-09	1	0	2	0	0
TCGA-AN-A0AS-01A-11W-A019-09	0	0	1	0	0
TCGA-AN-A0AT-01A-11D-A045-09	0	0	1	0	0
TCGA-AN-A0FD-01A-11W-A050-09	0	0	2	0	0
