Samples	SBS1	SBS2	SBS5	SBS10b	SBS13
TCGA-C8-A275-01A-21D-A16D-09	0	0	2	0	0
TCGA-C8-A278-01A-11D-A167-09	0	0	1	0	0
TCGA-C8-A3M7-01A-12D-A21Q-09	2	0	0	0	0
TCGA-C8-A3M8-01A-11D-A20S-09	0	1	0	0	0
TCGA-C8-A8HP-01A-11D-A36J-09	0	3	0	0	3
TCGA-C8-A8HQ-01A-11D-A36J-09	0	1	0	3	2
TCGA-C8-A8HR-01A-11D-A36J-09	0	0	1	0	0
TCGA-C8-A9FZ-01A-11D-A41F-09	1	0	0	0	0
TCGA-D8-A13Z-01A-11D-A10Y-09	2	0	3	0	0
TCGA-D8-A140-01A-11D-A10Y-09	0	0	5	0	0
TCGA-D8-A141-01A-11D-A10Y-09	1	0	1	0	0
TCGA-D8-A142-01A-11D-A10Y-09	3	0	1	0	0
TCGA-D8-A147-01A-11D-A10Y-09	0	0	1	0	0
TCGA-D8-A1J8-01A-11D-A13L-09	0	3	0	5	7
TCGA-D8-A1J9-01A-11D-A13L-09	0	3	4	0	3
TCGA-D8-A1JA-01A-11D-A13L-09	0	9	0	6	5
TCGA-D8-A1JB-01A-11D-A13L-09	0	0	1	0	0
TCGA-D8-A1JC-01A-11D-A13L-09	0	0	1	0	0
TCGA-D8-A1JD-01A-11D-A13L-09	0	0	1	0	0
TCGA-D8-A1JG-01B-11D-A13L-09	0	0	1	0	0
TCGA-D8-A1JJ-01A-31D-A14K-09	1	0	0	0	0
TCGA-D8-A1JL-01A-11D-A13L-09	0	0	3	0	0
TCGA-D8-A1JM-01A-11D-A13L-09	1	0	0	0	0
TCGA-D8-A1JN-01A-11D-A13L-09	0	1	0	2	0
TCGA-D8-A1JP-01A-11D-A13L-09	0	0	1	0	0
TCGA-D8-A1JS-01A-11D-A13L-09	1	0	0	0	0
TCGA-D8-A1JT-01A-31D-A13L-09	0	0	1	0	0
TCGA-D8-A1X7-01A-11D-A14K-09	0	0	1	0	0
TCGA-D8-A1X9-01A-12D-A159-09	0	0	4	0	0
TCGA-D8-A1XA-01A-11D-A14G-09	0	0	1	0	0
TCGA-D8-A1XB-01A-11D-A14G-09	1	0	0	1	0
TCGA-D8-A1XF-01A-11D-A14G-09	0	0	1	0	0
TCGA-D8-A1XG-01A-11D-A14G-09	0	0	1	0	0
TCGA-D8-A1XJ-01A-11D-A14K-09	0	0	0	2	0
TCGA-D8-A1XK-01A-21D-A14K-09	1	0	13	0	0
TCGA-D8-A1XM-01A-21D-A14K-09	1	0	0	0	0
TCGA-D8-A1XQ-01A-11D-A14K-09	2	0	9	0	0
TCGA-D8-A1XR-01A-11D-A14K-09	0	0	1	0	0
TCGA-D8-A1XS-01A-11D-A14K-09	0	0	1	0	0
TCGA-D8-A1XV-01A-11D-A14K-09	0	0	1	0	0
TCGA-D8-A1Y0-01A-11D-A14K-09	0	0	2	0	0
TCGA-D8-A1Y1-01A-21D-A14K-09	0	0	4	0	0
TCGA-D8-A1Y2-01A-11D-A159-09	0	1	0	0	0
TCGA-D8-A1Y3-01A-11D-A159-09	1	1	0	0	0
TCGA-D8-A27F-01A-11D-A16D-09	0	0	1	0	0
TCGA-D8-A27G-01A-11D-A16D-09	0	7	0	4	5
TCGA-D8-A27I-01A-11D-A16D-09	1	0	0	0	0
TCGA-D8-A27K-01A-11D-A16D-09	1	0	0	0	0
TCGA-D8-A27M-01A-11D-A16D-09	0	0	1	0	0
TCGA-D8-A27N-01A-11D-A16D-09	0	0	2	0	0
TCGA-D8-A27P-01A-11D-A16D-09	0	0	1	0	0
TCGA-D8-A27R-01A-11D-A16D-09	0	0	1	0	0
TCGA-D8-A27V-01A-12D-A17D-09	0	5	2	0	1
TCGA-D8-A27W-01A-11D-A16D-09	0	0	2	0	0
TCGA-D8-A4Z1-01A-21D-A25Q-09	0	1	0	0	0
TCGA-D8-A73U-01A-11D-A33E-09	0	0	0	2	0
TCGA-E2-A10C-01A-21D-A10M-09	0	10	1	0	5
TCGA-E2-A14P-01A-31D-A12B-09	0	2	0	0	0
TCGA-E2-A14Q-01A-11D-A12B-09	0	0	1	0	0
TCGA-E2-A14R-01A-11D-A10Y-09	0	2	5	0	0
TCGA-E2-A14T-01A-11D-A10Y-09	0	0	0	1	0
TCGA-E2-A14V-01A-11D-A12B-09	1	0	0	2	2
TCGA-E2-A14Z-01A-11D-A10Y-09	0	0	0	0	2
TCGA-E2-A152-01A-11D-A12B-09	0	1	0	0	4
TCGA-E2-A154-01A-11D-A10Y-09	0	0	2	0	0
TCGA-E2-A155-01A-11D-A12B-09	0	0	1	0	0
TCGA-E2-A158-01A-11D-A12B-09	0	0	1	0	0
TCGA-E2-A159-01A-11D-A10Y-09	0	2	1	0	1
TCGA-E2-A15D-01A-11D-A10Y-09	0	0	1	0	0
TCGA-E2-A15I-01A-21D-A135-09	0	0	1	0	0
TCGA-E2-A15L-01A-11D-A12B-09	0	0	1	0	0
TCGA-E2-A15O-01A-11D-A10Y-09	0	1	0	0	0
TCGA-E2-A15P-01A-11D-A10Y-09	1	0	0	0	0
TCGA-E2-A15R-01A-11D-A10Y-09	1	0	0	0	0
TCGA-E2-A15S-01A-11D-A10Y-09	0	0	1	0	1
TCGA-E2-A1B6-01A-31D-A12Q-09	0	0	1	0	0
TCGA-E2-A1IL-01A-11D-A14G-09	1	0	1	0	0
TCGA-E2-A1IN-01A-11D-A13L-09	2	4	0	0	0
TCGA-E2-A1IU-01A-11D-A14G-09	0	0	1	0	0
TCGA-E2-A1L7-01A-11D-A142-09	0	0	1	0	0
TCGA-E2-A1L8-01A-11D-A13L-09	0	0	1	0	0
TCGA-E2-A1LA-01A-11D-A142-09	0	0	1	0	0
TCGA-E2-A1LG-01A-21D-A14K-09	0	1	0	2	3
TCGA-E2-A1LH-01A-11D-A14G-09	0	0	0	2	4
TCGA-E2-A1LI-01A-12D-A159-09	0	0	3	0	0
TCGA-E2-A1LS-01A-12D-A159-09	0	0	0	0	1
TCGA-E2-A2P6-01A-11D-A19Y-09	0	0	3	0	0
TCGA-E2-A56Z-01A-12D-A29N-09	0	0	1	0	0
TCGA-E2-A572-01A-13D-A31U-09	0	0	1	0	0
TCGA-E2-A573-01A-11D-A29N-09	2	0	0	0	0
TCGA-E2-A574-01A-11D-A29N-09	0	1	0	0	3
TCGA-E9-A1N5-01A-11D-A14G-09	0	0	1	0	0
TCGA-E9-A1N9-01A-11D-A14G-09	1	0	0	0	1
TCGA-E9-A1NA-01A-11D-A142-09	1	0	2	0	3
TCGA-E9-A1NC-01A-12W-A16L-09	4	0	0	0	0
TCGA-E9-A1NE-01A-21D-A14K-09	0	0	1	0	0
TCGA-E9-A1NG-01A-21D-A14K-09	1	0	1	0	0
TCGA-E9-A1NH-01A-11D-A14G-09	0	0	1	0	0
TCGA-E9-A1NI-01A-11W-A16H-09	0	0	4	0	0
TCGA-E9-A1R4-01A-21D-A14G-09	0	1	0	0	0
TCGA-E9-A1R7-01A-11D-A14K-09	0	2	0	0	0
TCGA-E9-A1RB-01A-11D-A17G-09	0	0	1	0	0
TCGA-E9-A1RF-01A-11D-A159-09	0	0	5	0	0
TCGA-E9-A1RG-01A-11D-A14G-09	0	0	1	0	0
TCGA-E9-A1RH-01A-21D-A167-09	1	0	0	0	0
TCGA-E9-A1RI-01A-11D-A167-09	0	0	0	0	1
TCGA-E9-A226-01A-21D-A159-09	0	1	0	0	0
TCGA-E9-A229-01A-31D-A17G-09	0	0	1	0	0
TCGA-E9-A22D-01A-11D-A159-09	0	1	0	0	0
TCGA-E9-A22E-01A-11D-A159-09	2	0	0	0	0
TCGA-E9-A22G-01A-11D-A159-09	0	0	1	0	2
TCGA-E9-A243-01A-21D-A167-09	0	0	2	0	0
TCGA-E9-A244-01A-11D-A167-09	0	0	3	0	0
TCGA-E9-A245-01A-22D-A16D-09	0	0	2	0	0
TCGA-E9-A247-01A-11D-A167-09	0	0	0	2	0
TCGA-E9-A248-01A-11D-A167-09	0	0	0	0	1
TCGA-E9-A249-01A-11D-A167-09	2	0	0	0	0
TCGA-E9-A295-01A-11D-A16D-09	2	0	0	0	0
TCGA-E9-A2JS-01A-11D-A17W-09	0	0	1	0	0
TCGA-E9-A3HO-01A-11D-A20S-09	1	0	2	0	0
TCGA-E9-A3QA-01A-61D-A228-09	1	0	1	0	0
TCGA-E9-A3X8-01A-31D-A22X-09	0	0	1	2	0
TCGA-E9-A54Y-01A-11D-A25Q-09	1	0	0	0	0
TCGA-E9-A5FL-01A-11D-A27P-09	1	0	2	0	0
TCGA-E9-A6HE-01A-11D-A31U-09	0	1	0	0	0
TCGA-EW-A1IW-01A-11D-A13L-09	0	0	0	0	1
TCGA-EW-A1IZ-01A-11D-A188-09	3	0	4	0	0
TCGA-EW-A1J5-01A-11D-A13L-09	0	5	1	3	0
TCGA-EW-A1OV-01A-11D-A142-09	0	3	1	0	2
TCGA-EW-A1OY-01A-11D-A142-09	0	0	1	0	0
TCGA-EW-A1OZ-01A-11D-A142-09	0	0	1	0	0
TCGA-EW-A1P1-01A-31D-A14G-09	0	0	1	0	0
TCGA-EW-A1P4-01A-21D-A142-09	0	0	2	0	0
TCGA-EW-A1PB-01A-11D-A142-09	2	0	3	0	0
TCGA-EW-A1PE-01A-11D-A142-09	0	0	1	0	0
TCGA-EW-A1PG-01A-11D-A142-09	0	0	2	0	0
TCGA-EW-A1PH-01A-11D-A14K-09	0	0	0	1	0
TCGA-EW-A2FR-01A-11D-A21Q-09	0	0	1	0	0
TCGA-EW-A2FS-01A-11D-A17D-09	0	0	1	0	0
TCGA-EW-A2FV-01A-11D-A17D-09	0	0	1	0	0
TCGA-EW-A2FW-01A-11D-A17D-09	0	0	1	0	0
TCGA-EW-A423-01A-11D-A243-09	0	1	0	0	2
TCGA-EW-A6S9-01A-22D-A33E-09	0	0	1	0	0
TCGA-EW-A6SA-01A-21D-A32I-09	0	0	1	0	0
TCGA-EW-A6SB-01A-12D-A32I-09	0	0	2	0	0
TCGA-EW-A6SC-01A-12D-A32I-09	0	0	1	0	0
TCGA-EW-A6SD-01A-12D-A33E-09	0	0	2	0	0
TCGA-GI-A2C8-01A-11D-A16D-09	0	0	2	0	0
TCGA-GM-A2D9-01A-11D-A18P-09	1	1	0	3	8
TCGA-GM-A2DA-01A-11D-A18P-09	0	0	1	0	0
TCGA-GM-A2DB-01A-31D-A19Y-09	0	0	3	0	0
TCGA-GM-A2DD-01A-11D-A17W-09	0	0	1	0	0
TCGA-GM-A2DF-01A-11D-A17W-09	2	0	0	0	0
TCGA-GM-A2DH-01A-11D-A17W-09	4	0	0	0	0
TCGA-GM-A2DI-01A-31D-A18P-09	0	0	0	1	3
TCGA-GM-A2DK-01A-21D-A17W-09	0	0	0	0	1
TCGA-GM-A2DM-01A-11D-A17W-09	0	0	2	0	0
TCGA-GM-A2DN-01A-11D-A17W-09	0	0	1	0	0
TCGA-GM-A2DO-01A-11D-A19Y-09	0	1	0	0	0
TCGA-GM-A3NW-01A-21D-A228-09	0	0	1	2	0
TCGA-GM-A3XL-01A-11D-A22X-09	2	1	0	1	0
TCGA-GM-A4E0-01A-12D-A25Q-09	0	0	1	0	0
TCGA-GM-A5PV-01A-11D-A28B-09	0	0	1	0	0
TCGA-HN-A2NL-01A-11D-A18P-09	2	0	0	0	0
TCGA-LD-A74U-01A-13D-A33E-09	0	1	0	2	0
TCGA-LD-A7W5-01A-22D-A351-09	1	0	0	0	0
TCGA-LD-A7W6-01A-81D-A351-09	0	0	2	0	0
TCGA-LL-A50Y-01A-11D-A25Q-09	0	0	1	0	0
TCGA-LL-A5YL-01A-12D-A29N-09	0	0	0	3	0
TCGA-LL-A5YN-01A-11D-A28B-09	0	0	1	0	0
TCGA-LL-A5YO-01A-21D-A28B-09	0	0	1	0	0
TCGA-LL-A5YP-01A-21D-A28B-09	0	0	1	0	0
TCGA-LL-A6FP-01A-11D-A31U-09	0	0	1	0	0
TCGA-LL-A6FQ-01A-11D-A31U-09	1	0	3	0	0
TCGA-LL-A6FR-01A-12D-A31U-09	0	0	2	0	0
TCGA-LL-A73Y-01A-11D-A33E-09	0	2	1	0	0
TCGA-LL-A740-01A-21D-A32I-09	0	0	3	0	0
TCGA-LL-A7T0-01A-31D-A351-09	2	0	0	0	0
TCGA-LL-A8F5-01A-11D-A36J-09	0	0	3	0	0
TCGA-LL-A9Q3-01A-11D-A41F-09	0	0	0	2	0
TCGA-OL-A5D7-01A-11D-A27P-09	0	0	2	0	0
TCGA-OL-A5D8-01A-11D-A27P-09	1	0	0	0	0
TCGA-OL-A5DA-01A-11D-A27P-09	0	0	0	2	0
TCGA-OL-A5RW-01A-11D-A28B-09	0	0	1	4	0
TCGA-OL-A5RX-01A-11D-A28B-09	1	0	0	0	0
TCGA-OL-A5RY-01A-21D-A28B-09	0	0	1	0	0
TCGA-OL-A5RZ-01A-11D-A28B-09	2	0	1	0	0
TCGA-OL-A66I-01A-21D-A29N-09	0	0	1	0	0
TCGA-OL-A66J-01A-11D-A29N-09	1	0	3	0	0
TCGA-OL-A66L-01A-12D-A31U-09	1	1	0	0	0
TCGA-OL-A66N-01A-12D-A31U-09	3	0	0	2	0
TCGA-OL-A66P-01A-11D-A31U-09	1	0	0	0	0
TCGA-OL-A6VQ-01A-12D-A41F-09	0	0	2	0	0
TCGA-OL-A97C-01A-32D-A41F-09	1	0	0	0	0
TCGA-PE-A5DC-01A-12D-A27P-09	0	0	1	0	0
TCGA-PE-A5DD-01A-12D-A27P-09	0	0	0	2	0
TCGA-PE-A5DE-01A-11D-A27P-09	0	2	0	8	5
TCGA-PL-A8LV-01A-21D-A41F-09	0	0	1	0	1
TCGA-S3-AA0Z-01A-11D-A41F-09	0	0	1	0	0
TCGA-S3-AA10-01A-21D-A41F-09	0	1	0	0	2
TCGA-S3-AA15-01A-11D-A41F-09	0	0	0	1	0
TCGA-S3-AA17-01A-11D-A41F-09	0	0	2	0	0
TCGA-UL-AAZ6-01A-11D-A41F-09	4	0	2	0	0
TCGA-UU-A93S-01A-21D-A41F-09	0	0	2	0	0
TCGA-WT-AB41-01A-11D-A41F-09	0	0	2	0	0
TCGA-XX-A899-01A-11D-A36J-09	0	0	0	2	0
TCGA-XX-A89A-01A-11D-A36J-09	1	0	0	0	3
TCGA-Z7-A8R5-01A-42D-A41F-09	0	0	2	0	0
TCGA-Z7-A8R6-01A-11D-A41F-09	0	0	1	0	3
