Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-2F-A9KO-01A-11D-A38G-08	439	167	41	25	12
TCGA-2F-A9KP-01A-11D-A38G-08	42	38	16	53	11
TCGA-2F-A9KQ-01A-11D-A38G-08	8	11	16	36	5
TCGA-2F-A9KR-01A-11D-A38G-08	98	100	27	27	30
TCGA-2F-A9KT-01A-11D-A38G-08	226	115	21	36	16
TCGA-2F-A9KW-01A-11D-A38G-08	18	28	43	37	12
TCGA-4Z-AA7M-01A-11D-A391-08	318	165	77	67	3
TCGA-4Z-AA7N-01A-11D-A391-08	7	9	1	7	0
TCGA-4Z-AA7O-01A-31D-A391-08	75	49	48	55	17
TCGA-4Z-AA7Q-01A-11D-A391-08	175	26	50	35	8
TCGA-4Z-AA7R-01A-11D-A391-08	212	125	47	30	21
TCGA-4Z-AA7S-01A-11D-A391-08	0	5	0	54	11
TCGA-4Z-AA7W-01A-11D-A391-08	461	139	62	4	0
TCGA-4Z-AA7Y-01A-11D-A391-08	168	121	40	15	5
TCGA-4Z-AA80-01A-11D-A391-08	201	116	64	61	57
TCGA-4Z-AA81-01A-11D-A391-08	109	92	14	28	14
TCGA-4Z-AA82-01A-11D-A391-08	25	26	35	43	0
TCGA-4Z-AA83-01A-11D-A391-08	25	24	14	40	3
TCGA-4Z-AA84-01A-11D-A391-08	14	381	210	43	13
TCGA-4Z-AA86-01A-11D-A391-08	152	65	26	12	12
TCGA-4Z-AA87-01A-11D-A391-08	123	62	21	69	13
TCGA-4Z-AA89-01A-11D-A391-08	87	40	3	28	0
TCGA-5N-A9KI-01A-31D-A42E-08	40	65	54	39	15
TCGA-5N-A9KM-01A-11D-A42E-08	7	25	195	43	0
TCGA-BL-A0C8-01A-11D-A271-08	52	18	18	71	16
TCGA-BL-A13I-01A-11D-A271-08	48	11	60	24	5
TCGA-BL-A13J-01A-11D-A271-08	38	11	78	4	0
TCGA-BL-A3JM-01A-12D-A21A-08	69	54	69	56	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	32	48	55	64	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	31	9	5
TCGA-BT-A0YX-01A-11D-A10S-08	501	246	0	34	0
TCGA-BT-A20J-01A-11D-A14W-08	278	193	0	60	34
TCGA-BT-A20N-01A-11D-A14W-08	86	20	165	32	12
TCGA-BT-A20O-01A-21D-A14W-08	56	39	92	26	0
TCGA-BT-A20P-01A-11D-A14W-08	63	0	2	26	11
TCGA-BT-A20Q-01A-11D-A14W-08	44	27	0	19	19
TCGA-BT-A20R-01A-12D-A16O-08	158	87	0	40	34
TCGA-BT-A20T-01A-11D-A14W-08	140	134	34	16	7
TCGA-BT-A20U-01A-11D-A14W-08	59	26	2	13	6
TCGA-BT-A20V-01A-11D-A14W-08	24	14	11	56	22
TCGA-BT-A20W-01A-21D-A14W-08	24	3	19	30	7
TCGA-BT-A20X-01A-11D-A16O-08	12	2	49	11	10
TCGA-BT-A2LA-01A-11D-A18F-08	41	40	0	130	1
TCGA-BT-A2LB-01A-11D-A18F-08	56	355	299	42	33
TCGA-BT-A2LD-01A-12D-A20D-08	8	18	16	73	7
TCGA-BT-A3PH-01A-11D-A21Z-08	404	109	9	40	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	166	244	167	33	29
TCGA-BT-A3PK-01A-21D-A21Z-08	95	42	266	29	4
TCGA-BT-A42B-01A-32D-A23M-08	4	11	7	57	0
TCGA-BT-A42C-01A-11D-A23M-08	146	65	166	38	30
TCGA-BT-A42E-01A-11D-A23U-08	111	33	22	29	4
TCGA-BT-A42F-01A-11D-A23U-08	112	61	23	1	0
TCGA-C4-A0EZ-01A-21D-A10S-08	44	44	60	81	16
TCGA-C4-A0F0-01A-12D-A10S-08	15	8	55	37	0
TCGA-C4-A0F1-01A-11D-A10S-08	70	60	11	48	20
TCGA-C4-A0F6-01A-11D-A10S-08	130	40	0	62	13
TCGA-C4-A0F7-01A-11D-A10S-08	7	13	3	68	6
TCGA-CF-A1HR-01A-11D-A13W-08	167	92	20	27	9
TCGA-CF-A1HS-01A-11D-A13W-08	195	0	73	20	12
TCGA-CF-A27C-01A-11D-A16O-08	104	43	15	20	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	0	21	0
TCGA-CF-A3MG-01A-11D-A20D-08	83	40	9	38	0
TCGA-CF-A3MH-01A-11D-A20D-08	12	3	10	25	2
TCGA-CF-A3MI-01A-11D-A20D-08	28	10	0	39	8
TCGA-CF-A47S-01A-11D-A23U-08	0	5	4	19	2
TCGA-CF-A47T-01A-11D-A23U-08	1	7	7	11	6
TCGA-CF-A47V-01A-11D-A23U-08	39	17	47	24	3
TCGA-CF-A47W-01A-11D-A23U-08	0	4	14	14	4
TCGA-CF-A47X-01A-31D-A23U-08	206	121	14	51	8
TCGA-CF-A47Y-01A-11D-A23U-08	31	2	33	10	4
TCGA-CF-A5U8-01A-11D-A289-08	2	4	37	24	5
TCGA-CF-A5UA-01A-11D-A289-08	22	0	0	61	11
TCGA-CF-A7I0-01A-22D-A34U-08	13	17	19	17	2
TCGA-CF-A8HX-01A-11D-A364-08	22	30	8	14	7
TCGA-CF-A8HY-01A-11D-A364-08	22	0	36	30	7
TCGA-CF-A9FF-01A-11D-A38G-08	63	66	11	21	6
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	6	22	11
TCGA-CF-A9FL-01A-11D-A38G-08	0	3	26	25	9
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	19	10	0
TCGA-CU-A0YN-01A-21D-A10S-08	5	19	130	48	0
TCGA-CU-A0YO-01A-11D-A10S-08	26	25	15	40	8
TCGA-CU-A0YR-01A-12D-A10S-08	5	15	128	27	1
TCGA-CU-A3KJ-01A-11D-A21A-08	135	53	46	43	4
TCGA-CU-A3QU-01A-11D-A22Z-08	37	33	17	29	13
TCGA-CU-A3YL-01A-11D-A22Z-08	154	87	0	28	12
TCGA-CU-A5W6-01A-11D-A289-08	95	90	36	35	4
TCGA-CU-A72E-01A-12D-A339-08	53	27	11	31	0
TCGA-DK-A1A3-01A-11D-A13W-08	215	377	130	16	13
TCGA-DK-A1A5-01A-11D-A13W-08	171	99	10	24	11
TCGA-DK-A1A6-01A-11D-A13W-08	147	34	92	11	0
TCGA-DK-A1A7-01A-11D-A13W-08	16	34	150	64	0
TCGA-DK-A1AA-01A-11D-A13W-08	9	9	63	14	7
TCGA-DK-A1AB-01A-11D-A13W-08	140	92	0	12	0
TCGA-DK-A1AC-01A-11D-A13W-08	455	1322	77	6	42
TCGA-DK-A1AD-01A-11D-A13W-08	86	57	92	38	16
TCGA-DK-A1AE-01A-11D-A13W-08	51	40	24	25	2
TCGA-DK-A1AF-01A-11D-A13W-08	62	32	16	0	5
TCGA-DK-A1AG-01A-11D-A13W-08	74	47	6	29	13
TCGA-DK-A2HX-01A-12D-A18F-08	28	42	23	30	7
TCGA-DK-A2I1-01A-11D-A17V-08	134	69	0	21	14
TCGA-DK-A2I2-01A-11D-A17V-08	20	34	41	16	0
TCGA-DK-A2I4-01A-11D-A21A-08	487	591	0	18	28
TCGA-DK-A2I6-01A-12D-A18F-08	47	116	160	21	21
TCGA-DK-A3IK-01A-32D-A21A-08	93	17	73	53	17
TCGA-DK-A3IL-01A-11D-A20D-08	19	4	133	36	25
TCGA-DK-A3IM-01A-11D-A20D-08	1	4	46	48	2
TCGA-DK-A3IN-01A-11D-A20D-08	239	153	35	26	9
TCGA-DK-A3IQ-01A-31D-A20D-08	84	76	16	31	12
TCGA-DK-A3IS-01A-21D-A21A-08	203	174	0	45	6
TCGA-DK-A3IT-01A-31D-A20D-08	348	81	52	11	10
TCGA-DK-A3IU-01A-11D-A20D-08	191	203	83	26	5
TCGA-DK-A3IV-01A-22D-A21A-08	20	24	24	15	6
TCGA-DK-A3WW-01A-22D-A23M-08	804	628	25	1	75
TCGA-DK-A3WX-01A-22D-A22Z-08	5	15	6	27	0
TCGA-DK-A3WY-01A-11D-A22Z-08	11	6	0	2	0
TCGA-DK-A3X1-01A-12D-A22Z-08	490	478	38	0	111
TCGA-DK-A3X2-01A-11D-A22Z-08	27	22	24	70	4
TCGA-DK-A6AV-01A-12D-A30E-08	37	45	35	29	9
TCGA-DK-A6AW-01A-11D-A30E-08	0	2	0	0	4964
TCGA-DK-A6B0-01A-11D-A31L-08	2	1	13	9	0
TCGA-DK-A6B1-01A-12D-A30E-08	30	57	28	55	10
TCGA-DK-A6B2-01A-11D-A30E-08	54	37	76	63	14
TCGA-DK-A6B5-01A-11D-A31L-08	60	46	53	9	1
TCGA-DK-A6B6-01A-11D-A30E-08	395	871	0	9	0
TCGA-DK-AA6L-01A-11D-A391-08	265	118	49	23	0
TCGA-DK-AA6M-01A-11D-A391-08	8	18	3	44	13
TCGA-DK-AA6P-01A-11D-A391-08	69	73	56	14	7
TCGA-DK-AA6Q-01A-11D-A391-08	58	29	36	17	5
TCGA-DK-AA6R-01A-11D-A42E-08	78	52	231	36	16
TCGA-DK-AA6S-01A-21D-A391-08	397	193	83	13	0
TCGA-DK-AA6T-01A-11D-A391-08	22	0	19	29	13
TCGA-DK-AA6U-01A-11D-A391-08	139	108	218	49	20
TCGA-DK-AA6W-01A-12D-A391-08	140	90	0	77	3
TCGA-DK-AA6X-01A-12D-A42E-08	66	25	8	18	10
TCGA-DK-AA71-01A-31D-A391-08	467	355	0	13	0
TCGA-DK-AA74-01A-11D-A391-08	136	55	35	14	7
TCGA-DK-AA75-01A-11D-A391-08	128	331	72	36	68
TCGA-DK-AA76-01A-11D-A391-08	100	62	78	29	23
TCGA-DK-AA77-01A-11D-A391-08	51	81	262	82	3
TCGA-E5-A2PC-01A-11D-A202-08	34	60	159	30	13
TCGA-E5-A4TZ-01A-11D-A31L-08	308	101	19	145	5
TCGA-E5-A4U1-01A-11D-A31L-08	410	212	71	39	16
TCGA-E7-A3X6-01A-12D-A22Z-08	52	37	9	18	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	10	12	113	57	2
TCGA-E7-A4IJ-01A-31D-A26M-08	169	94	132	15	28
TCGA-E7-A4XJ-01A-11D-A26M-08	0	3	0	41	6
TCGA-E7-A519-01A-11D-A26M-08	11	12	42	18	1
TCGA-E7-A541-01A-11D-A26M-08	190	129	174	49	6
TCGA-E7-A5KE-01A-11D-A289-08	41	70	80	79	13
TCGA-E7-A5KF-01A-11D-A289-08	115	100	38	2	9
TCGA-E7-A677-01A-11D-A30E-08	19	23	174	57	14
TCGA-E7-A678-01A-11D-A30E-08	4	2	30	27	2
TCGA-E7-A6MD-01A-41D-A34U-08	276	186	35	59	22
TCGA-E7-A6ME-01A-22D-A32B-08	16	0	109	31	1
TCGA-E7-A6MF-01A-12D-A32B-08	32	26	0	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	157	148	0	23	9
TCGA-E7-A7DV-01A-11D-A339-08	242	45	8	26	17
TCGA-E7-A7PW-01A-11D-A34U-08	27	28	21	21	9
TCGA-E7-A7XN-01A-11D-A34U-08	790	340	14	0	0
TCGA-E7-A85H-01A-11D-A34U-08	32	60	334	79	12
TCGA-E7-A8O7-01A-11D-A364-08	7	4	8	19	2
TCGA-E7-A8O8-01A-11D-A364-08	16	20	50	58	5
TCGA-E7-A97P-01A-11D-A38G-08	34	13	152	37	9
TCGA-E7-A97Q-01A-11D-A38G-08	13	10	27	15	4
TCGA-FD-A3B3-01A-12D-A202-08	67	43	38	37	8
TCGA-FD-A3B4-01A-12D-A202-08	5	0	40	25	22
TCGA-FD-A3B5-01A-11D-A20D-08	70	34	24	27	20
TCGA-FD-A3B6-01A-21D-A20D-08	146	60	63	36	9
TCGA-FD-A3B7-01A-31D-A20D-08	14	1	29	28	2
TCGA-FD-A3B8-01A-31D-A20D-08	20	6	0	6	3
TCGA-FD-A3N5-01A-11D-A21A-08	11	20	322	51	12
TCGA-FD-A3N6-01A-11D-A21A-08	16	31	0	63	29
