Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	342	160	159	0	12	0	11
TCGA-2F-A9KP-01A-11D-A38G-08	31	35	25	20	0	39	10
TCGA-2F-A9KQ-01A-11D-A38G-08	0	8	23	14	0	27	4
TCGA-2F-A9KR-01A-11D-A38G-08	96	101	0	13	22	22	28
TCGA-2F-A9KT-01A-11D-A38G-08	221	122	0	11	18	27	15
TCGA-2F-A9KW-01A-11D-A38G-08	15	27	5	4	48	28	11
TCGA-4Z-AA7M-01A-11D-A391-08	310	172	0	68	29	51	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	7	13	0	0	3	0
TCGA-4Z-AA7O-01A-31D-A391-08	49	45	65	14	17	38	16
TCGA-4Z-AA7Q-01A-11D-A391-08	170	34	0	28	29	26	7
TCGA-4Z-AA7R-01A-11D-A391-08	177	123	72	0	27	16	20
TCGA-4Z-AA7S-01A-11D-A391-08	0	5	0	0	8	47	10
TCGA-4Z-AA7W-01A-11D-A391-08	402	145	105	6	8	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	118	113	112	0	0	0	6
TCGA-4Z-AA80-01A-11D-A391-08	179	119	40	19	43	45	54
TCGA-4Z-AA81-01A-11D-A391-08	67	81	85	0	0	11	13
TCGA-4Z-AA82-01A-11D-A391-08	24	26	0	10	36	33	0
TCGA-4Z-AA83-01A-11D-A391-08	25	23	0	11	13	32	2
TCGA-4Z-AA84-01A-11D-A391-08	0	355	58	157	44	36	11
TCGA-4Z-AA86-01A-11D-A391-08	119	63	67	0	4	2	12
TCGA-4Z-AA87-01A-11D-A391-08	97	60	52	4	14	49	12
TCGA-4Z-AA89-01A-11D-A391-08	74	38	21	7	0	18	0
TCGA-5N-A9KI-01A-31D-A42E-08	25	62	38	20	26	28	14
TCGA-5N-A9KM-01A-11D-A42E-08	0	19	32	112	77	30	0
TCGA-BL-A0C8-01A-11D-A271-08	23	13	65	0	9	50	15
TCGA-BL-A13I-01A-11D-A271-08	43	12	4	54	13	18	4
TCGA-BL-A13J-01A-11D-A271-08	27	10	24	20	50	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	29	46	97	25	16	35	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	0	39	84	24	8	44	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	19	14	7	5
TCGA-BT-A0YX-01A-11D-A10S-08	491	264	0	0	0	26	0
TCGA-BT-A20J-01A-11D-A14W-08	221	184	92	0	0	38	30
TCGA-BT-A20N-01A-11D-A14W-08	66	21	38	49	111	20	10
TCGA-BT-A20O-01A-21D-A14W-08	36	35	47	36	43	16	0
TCGA-BT-A20P-01A-11D-A14W-08	60	0	0	0	12	19	11
TCGA-BT-A20Q-01A-11D-A14W-08	42	26	0	8	0	16	17
TCGA-BT-A20R-01A-12D-A16O-08	158	93	0	0	0	36	32
TCGA-BT-A20T-01A-11D-A14W-08	106	129	80	3	0	6	7
TCGA-BT-A20U-01A-11D-A14W-08	49	26	17	0	1	8	5
TCGA-BT-A20V-01A-11D-A14W-08	24	14	0	12	13	43	21
TCGA-BT-A20W-01A-21D-A14W-08	22	4	0	6	22	23	6
TCGA-BT-A20X-01A-11D-A16O-08	10	2	2	23	29	8	10
TCGA-BT-A2LA-01A-11D-A18F-08	46	45	0	0	0	121	0
TCGA-BT-A2LB-01A-11D-A18F-08	46	331	41	264	34	39	30
TCGA-BT-A2LD-01A-12D-A20D-08	9	17	0	15	20	56	5
TCGA-BT-A3PH-01A-11D-A21Z-08	333	110	105	0	0	14	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	166	241	0	122	55	29	26
TCGA-BT-A3PK-01A-21D-A21Z-08	72	38	49	167	88	19	3
TCGA-BT-A42B-01A-32D-A23M-08	0	9	11	0	15	44	0
TCGA-BT-A42C-01A-11D-A23M-08	81	55	157	37	71	14	30
TCGA-BT-A42E-01A-11D-A23U-08	73	28	80	0	0	14	4
TCGA-BT-A42F-01A-11D-A23U-08	74	55	68	0	0	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	17	38	74	17	24	59	16
TCGA-C4-A0F0-01A-12D-A10S-08	0	4	38	25	23	25	0
TCGA-C4-A0F1-01A-11D-A10S-08	69	61	0	0	23	38	18
TCGA-C4-A0F6-01A-11D-A10S-08	72	30	99	0	0	32	12
TCGA-C4-A0F7-01A-11D-A10S-08	7	12	0	2	18	53	5
TCGA-CF-A1HR-01A-11D-A13W-08	139	90	53	9	0	15	9
TCGA-CF-A1HS-01A-11D-A13W-08	188	0	0	56	30	13	13
TCGA-CF-A27C-01A-11D-A16O-08	63	36	77	0	0	6	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	3	0	2	3	17	0
TCGA-CF-A3MG-01A-11D-A20D-08	43	31	77	0	0	19	0
TCGA-CF-A3MH-01A-11D-A20D-08	10	2	4	11	4	20	1
TCGA-CF-A3MI-01A-11D-A20D-08	26	10	0	12	0	31	6
TCGA-CF-A47S-01A-11D-A23U-08	0	4	0	1	8	16	1
TCGA-CF-A47T-01A-11D-A23U-08	1	6	0	8	1	11	5
TCGA-CF-A47V-01A-11D-A23U-08	5	11	86	1	13	11	3
TCGA-CF-A47W-01A-11D-A23U-08	0	4	0	3	15	11	3
TCGA-CF-A47X-01A-31D-A23U-08	163	116	83	0	0	31	7
TCGA-CF-A47Y-01A-11D-A23U-08	16	0	37	8	10	4	5
TCGA-CF-A5U8-01A-11D-A289-08	0	2	13	17	17	18	5
TCGA-CF-A5UA-01A-11D-A289-08	22	0	0	0	13	49	10
TCGA-CF-A7I0-01A-22D-A34U-08	1	14	32	3	5	11	2
TCGA-CF-A8HX-01A-11D-A364-08	21	30	0	0	14	10	6
TCGA-CF-A8HY-01A-11D-A364-08	0	0	43	0	33	14	5
TCGA-CF-A9FF-01A-11D-A38G-08	62	66	0	11	6	17	5
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	0	8	4	17	10
TCGA-CF-A9FL-01A-11D-A38G-08	0	3	0	8	24	20	8
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	1	13	8	7	0
TCGA-CU-A0YN-01A-21D-A10S-08	0	14	24	73	56	35	0
TCGA-CU-A0YO-01A-11D-A10S-08	18	23	17	13	5	31	7
TCGA-CU-A0YR-01A-12D-A10S-08	0	12	12	98	33	21	0
TCGA-CU-A3KJ-01A-11D-A21A-08	131	57	0	32	27	32	2
TCGA-CU-A3QU-01A-11D-A22Z-08	36	33	0	16	9	23	12
TCGA-CU-A3YL-01A-11D-A22Z-08	148	90	0	6	3	23	11
TCGA-CU-A5W6-01A-11D-A289-08	38	75	129	0	0	14	4
TCGA-CU-A72E-01A-12D-A339-08	50	29	0	10	8	25	0
TCGA-DK-A1A3-01A-11D-A13W-08	176	364	103	70	18	8	12
TCGA-DK-A1A5-01A-11D-A13W-08	164	102	3	18	0	18	10
TCGA-DK-A1A6-01A-11D-A13W-08	105	32	95	10	42	0	0
TCGA-DK-A1A7-01A-11D-A13W-08	0	26	42	119	30	47	0
TCGA-DK-A1AA-01A-11D-A13W-08	9	9	0	36	30	11	7
TCGA-DK-A1AB-01A-11D-A13W-08	103	83	57	0	0	1	0
TCGA-DK-A1AC-01A-11D-A13W-08	357	1255	253	0	0	0	37
TCGA-DK-A1AD-01A-11D-A13W-08	65	54	48	52	30	25	15
TCGA-DK-A1AE-01A-11D-A13W-08	27	35	53	0	11	14	2
TCGA-DK-A1AF-01A-11D-A13W-08	62	34	0	4	11	0	4
TCGA-DK-A1AG-01A-11D-A13W-08	60	46	25	4	1	21	12
TCGA-DK-A2HX-01A-12D-A18F-08	0	35	69	0	2	17	7
TCGA-DK-A2I1-01A-11D-A17V-08	112	68	32	0	1	12	13
TCGA-DK-A2I2-01A-11D-A17V-08	2	29	46	25	0	9	0
TCGA-DK-A2I4-01A-11D-A21A-08	435	572	86	0	0	6	25
TCGA-DK-A2I6-01A-12D-A18F-08	23	107	65	99	37	13	21
TCGA-DK-A3IK-01A-32D-A21A-08	65	16	60	0	61	36	15
TCGA-DK-A3IL-01A-11D-A20D-08	18	6	0	36	107	27	23
TCGA-DK-A3IM-01A-11D-A20D-08	0	3	8	23	29	37	1
TCGA-DK-A3IN-01A-11D-A20D-08	218	156	40	11	13	16	8
TCGA-DK-A3IQ-01A-31D-A20D-08	33	60	104	0	0	11	11
TCGA-DK-A3IS-01A-21D-A21A-08	145	158	98	0	0	23	4
TCGA-DK-A3IT-01A-31D-A20D-08	278	81	124	0	11	0	8
TCGA-DK-A3IU-01A-11D-A20D-08	130	193	150	4	19	7	5
TCGA-DK-A3IV-01A-22D-A21A-08	17	24	9	14	8	12	5
TCGA-DK-A3WW-01A-22D-A23M-08	699	612	157	0	0	0	65
TCGA-DK-A3WX-01A-22D-A22Z-08	0	13	14	0	6	20	0
TCGA-DK-A3WY-01A-11D-A22Z-08	7	5	6	0	0	1	0
TCGA-DK-A3X1-01A-12D-A22Z-08	380	445	192	0	0	0	100
TCGA-DK-A3X2-01A-11D-A22Z-08	17	19	23	13	18	54	3
TCGA-DK-A6AV-01A-12D-A30E-08	14	39	58	1	16	18	9
TCGA-DK-A6AW-01A-11D-A30E-08	0	10	0	12	0	20	4924
TCGA-DK-A6B0-01A-11D-A31L-08	0	0	7	9	3	6	0
TCGA-DK-A6B1-01A-12D-A30E-08	24	53	13	32	7	43	8
TCGA-DK-A6B2-01A-11D-A30E-08	22	31	75	26	34	43	13
TCGA-DK-A6B5-01A-11D-A31L-08	44	42	39	16	24	3	1
TCGA-DK-A6B6-01A-11D-A30E-08	289	787	199	0	0	0	0
TCGA-DK-AA6L-01A-11D-A391-08	209	115	117	0	9	5	0
TCGA-DK-AA6M-01A-11D-A391-08	8	16	0	0	18	33	11
TCGA-DK-AA6P-01A-11D-A391-08	27	65	105	2	12	1	7
TCGA-DK-AA6Q-01A-11D-A391-08	56	30	3	14	25	13	4
TCGA-DK-AA6R-01A-11D-A42E-08	19	42	138	0	189	9	16
TCGA-DK-AA6S-01A-21D-A391-08	355	199	67	0	65	0	0
TCGA-DK-AA6T-01A-11D-A391-08	22	0	0	19	7	23	12
TCGA-DK-AA6U-01A-11D-A391-08	137	113	0	17	214	35	18
TCGA-DK-AA6W-01A-12D-A391-08	91	79	90	0	0	48	2
TCGA-DK-AA6X-01A-12D-A42E-08	45	23	40	0	0	9	10
TCGA-DK-AA71-01A-31D-A391-08	303	299	233	0	0	0	0
TCGA-DK-AA74-01A-11D-A391-08	99	52	78	0	7	3	8
TCGA-DK-AA75-01A-11D-A391-08	123	324	16	43	32	33	64
TCGA-DK-AA76-01A-11D-A391-08	65	58	78	3	49	16	23
TCGA-DK-AA77-01A-11D-A391-08	0	71	139	11	204	51	3
TCGA-E5-A2PC-01A-11D-A202-08	0	50	89	62	65	17	13
TCGA-E5-A4TZ-01A-11D-A31L-08	219	92	159	0	12	93	3
TCGA-E5-A4U1-01A-11D-A31L-08	317	203	178	0	25	10	15
TCGA-E7-A3X6-01A-12D-A22Z-08	38	34	25	8	0	11	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	0	7	41	55	49	41	1
TCGA-E7-A4IJ-01A-31D-A26M-08	148	96	43	32	86	6	27
TCGA-E7-A4XJ-01A-11D-A26M-08	0	3	0	4	4	34	5
TCGA-E7-A519-01A-11D-A26M-08	0	8	29	35	0	11	1
TCGA-E7-A541-01A-11D-A26M-08	181	129	0	156	40	39	3
TCGA-E7-A5KE-01A-11D-A289-08	22	65	45	41	39	60	11
TCGA-E7-A5KF-01A-11D-A289-08	79	93	79	0	6	0	7
TCGA-E7-A677-01A-11D-A30E-08	19	22	0	103	87	44	12
TCGA-E7-A678-01A-11D-A30E-08	0	0	12	25	7	20	1
TCGA-E7-A6MD-01A-41D-A34U-08	205	174	145	0	3	31	20
TCGA-E7-A6ME-01A-22D-A32B-08	1	0	38	57	40	21	0
TCGA-E7-A6MF-01A-12D-A32B-08	15	19	24	0	0	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	71	114	145	0	0	0	7
TCGA-E7-A7DV-01A-11D-A339-08	182	43	92	0	0	6	15
TCGA-E7-A7PW-01A-11D-A34U-08	26	29	0	0	28	15	8
TCGA-E7-A7XN-01A-11D-A34U-08	759	362	0	23	0	0	0
TCGA-E7-A85H-01A-11D-A34U-08	0	47	89	227	87	56	11
TCGA-E7-A8O7-01A-11D-A364-08	7	4	0	6	6	15	2
TCGA-E7-A8O8-01A-11D-A364-08	9	17	15	38	21	45	4
TCGA-E7-A97P-01A-11D-A38G-08	0	5	84	89	37	21	9
TCGA-E7-A97Q-01A-11D-A38G-08	13	9	0	23	9	12	3
TCGA-FD-A3B3-01A-12D-A202-08	42	39	61	6	14	24	7
TCGA-FD-A3B4-01A-12D-A202-08	4	0	0	0	52	16	20
TCGA-FD-A3B5-01A-11D-A20D-08	43	30	59	0	9	15	19
TCGA-FD-A3B6-01A-21D-A20D-08	72	47	162	0	13	10	10
TCGA-FD-A3B7-01A-31D-A20D-08	13	1	0	31	6	22	1
TCGA-FD-A3B8-01A-31D-A20D-08	10	4	16	0	0	2	3
TCGA-FD-A3N5-01A-11D-A21A-08	0	14	40	184	130	37	11
TCGA-FD-A3N6-01A-11D-A21A-08	13	31	8	0	10	49	28
TCGA-FD-A3NA-01A-11D-A21A-08	94	70	0	16	12	12	1
TCGA-FD-A3SJ-01A-12D-A22Z-08	65	34	115	40	26	23	0
TCGA-FD-A3SL-01A-21D-A22Z-08	54	11	19	83	63	36	19
