Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	91	46	0	16
TCGA-2F-A9KP-01A-11D-A38G-08	10	6	16	6
TCGA-2F-A9KQ-01A-11D-A38G-08	0	6	0	8
TCGA-2F-A9KR-01A-11D-A38G-08	21	30	22	12
TCGA-2F-A9KT-01A-11D-A38G-08	52	40	0	0
TCGA-2F-A9KW-01A-11D-A38G-08	11	14	0	9
TCGA-4Z-AA7M-01A-11D-A391-08	67	52	0	18
TCGA-4Z-AA7N-01A-11D-A391-08	5	0	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	17	14	20	0
TCGA-4Z-AA7Q-01A-11D-A391-08	32	10	0	9
TCGA-4Z-AA7R-01A-11D-A391-08	43	26	18	0
TCGA-4Z-AA7S-01A-11D-A391-08	0	0	17	4
TCGA-4Z-AA7W-01A-11D-A391-08	103	43	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	30	38	0	0
TCGA-4Z-AA80-01A-11D-A391-08	38	38	21	13
TCGA-4Z-AA81-01A-11D-A391-08	27	30	0	0
TCGA-4Z-AA82-01A-11D-A391-08	7	0	16	0
TCGA-4Z-AA83-01A-11D-A391-08	11	6	11	0
TCGA-4Z-AA84-01A-11D-A391-08	0	133	0	0
TCGA-4Z-AA86-01A-11D-A391-08	23	29	0	0
TCGA-4Z-AA87-01A-11D-A391-08	23	24	20	0
TCGA-4Z-AA89-01A-11D-A391-08	18	8	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	0	13	23	5
TCGA-5N-A9KM-01A-11D-A42E-08	0	11	46	0
TCGA-BL-A0C8-01A-11D-A271-08	11	0	25	5
TCGA-BL-A13I-01A-11D-A271-08	9	0	21	0
TCGA-BL-A13J-01A-11D-A271-08	0	13	22	0
TCGA-BL-A3JM-01A-12D-A21A-08	10	16	27	8
TCGA-BL-A5ZZ-01A-31D-A30E-08	5	9	41	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	6	0
TCGA-BT-A0YX-01A-11D-A10S-08	122	38	0	0
TCGA-BT-A20J-01A-11D-A14W-08	55	44	0	21
TCGA-BT-A20N-01A-11D-A14W-08	24	14	37	0
TCGA-BT-A20O-01A-21D-A14W-08	8	19	13	0
TCGA-BT-A20P-01A-11D-A14W-08	19	0	0	10
TCGA-BT-A20Q-01A-11D-A14W-08	9	0	0	10
TCGA-BT-A20R-01A-12D-A16O-08	37	36	0	13
TCGA-BT-A20T-01A-11D-A14W-08	31	45	0	0
TCGA-BT-A20U-01A-11D-A14W-08	14	0	0	0
TCGA-BT-A20V-01A-11D-A14W-08	4	0	25	8
TCGA-BT-A20W-01A-21D-A14W-08	1	0	7	0
TCGA-BT-A20X-01A-11D-A16O-08	0	5	11	0
TCGA-BT-A2LA-01A-11D-A18F-08	0	9	33	0
TCGA-BT-A2LB-01A-11D-A18F-08	0	94	44	20
TCGA-BT-A2LD-01A-12D-A20D-08	0	0	24	0
TCGA-BT-A3PH-01A-11D-A21Z-08	79	45	0	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	31	67	0	25
TCGA-BT-A3PK-01A-21D-A21Z-08	14	9	48	12
TCGA-BT-A42B-01A-32D-A23M-08	0	0	13	0
TCGA-BT-A42C-01A-11D-A23M-08	36	11	31	19
TCGA-BT-A42E-01A-11D-A23U-08	21	13	0	8
TCGA-BT-A42F-01A-11D-A23U-08	19	19	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	7	9	35	0
TCGA-C4-A0F0-01A-12D-A10S-08	6	0	14	0
TCGA-C4-A0F1-01A-11D-A10S-08	14	12	15	6
TCGA-C4-A0F6-01A-11D-A10S-08	28	14	11	0
TCGA-C4-A0F7-01A-11D-A10S-08	3	2	17	0
TCGA-CF-A1HR-01A-11D-A13W-08	38	20	0	7
TCGA-CF-A1HS-01A-11D-A13W-08	60	11	0	0
TCGA-CF-A27C-01A-11D-A16O-08	15	8	12	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	1	5	0
TCGA-CF-A3MG-01A-11D-A20D-08	16	8	13	0
TCGA-CF-A3MH-01A-11D-A20D-08	3	0	12	0
TCGA-CF-A3MI-01A-11D-A20D-08	5	0	13	3
TCGA-CF-A47S-01A-11D-A23U-08	0	0	7	0
TCGA-CF-A47T-01A-11D-A23U-08	0	0	10	0
TCGA-CF-A47V-01A-11D-A23U-08	7	8	18	0
TCGA-CF-A47W-01A-11D-A23U-08	0	0	7	0
TCGA-CF-A47X-01A-31D-A23U-08	57	37	0	0
TCGA-CF-A47Y-01A-11D-A23U-08	13	0	0	5
TCGA-CF-A5U8-01A-11D-A289-08	0	3	12	0
TCGA-CF-A5UA-01A-11D-A289-08	2	0	11	2
TCGA-CF-A7I0-01A-22D-A34U-08	2	4	12	0
TCGA-CF-A8HX-01A-11D-A364-08	0	16	0	0
TCGA-CF-A8HY-01A-11D-A364-08	0	0	22	0
TCGA-CF-A9FF-01A-11D-A38G-08	6	14	0	7
TCGA-CF-A9FH-01A-11D-A38G-08	0	0	0	4
TCGA-CF-A9FL-01A-11D-A38G-08	0	0	7	4
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	7	0
TCGA-CU-A0YN-01A-21D-A10S-08	0	13	26	0
TCGA-CU-A0YO-01A-11D-A10S-08	0	4	17	5
TCGA-CU-A0YR-01A-12D-A10S-08	0	8	34	0
TCGA-CU-A3KJ-01A-11D-A21A-08	33	25	0	0
TCGA-CU-A3QU-01A-11D-A22Z-08	8	8	9	0
TCGA-CU-A3YL-01A-11D-A22Z-08	25	25	0	14
TCGA-CU-A5W6-01A-11D-A289-08	22	24	13	8
TCGA-CU-A72E-01A-12D-A339-08	12	12	11	0
TCGA-DK-A1A3-01A-11D-A13W-08	55	95	0	0
TCGA-DK-A1A5-01A-11D-A13W-08	44	24	0	0
TCGA-DK-A1A6-01A-11D-A13W-08	32	16	14	0
TCGA-DK-A1A7-01A-11D-A13W-08	0	15	45	0
TCGA-DK-A1AA-01A-11D-A13W-08	0	3	12	3
TCGA-DK-A1AB-01A-11D-A13W-08	34	13	0	0
TCGA-DK-A1AC-01A-11D-A13W-08	106	358	0	0
