Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	469	165	41	9
TCGA-2F-A9KP-01A-11D-A38G-08	39	33	73	15
TCGA-2F-A9KQ-01A-11D-A38G-08	8	10	51	7
TCGA-2F-A9KR-01A-11D-A38G-08	102	100	48	32
TCGA-2F-A9KT-01A-11D-A38G-08	233	111	53	17
TCGA-2F-A9KW-01A-11D-A38G-08	18	27	79	14
TCGA-4Z-AA7M-01A-11D-A391-08	333	162	130	5
TCGA-4Z-AA7N-01A-11D-A391-08	7	8	9	0
TCGA-4Z-AA7O-01A-31D-A391-08	76	47	101	20
TCGA-4Z-AA7Q-01A-11D-A391-08	186	25	74	9
TCGA-4Z-AA7R-01A-11D-A391-08	225	125	63	22
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	54	12
TCGA-4Z-AA7W-01A-11D-A391-08	502	137	27	0
TCGA-4Z-AA7Y-01A-11D-A391-08	179	123	45	2
TCGA-4Z-AA80-01A-11D-A391-08	209	115	113	62
TCGA-4Z-AA81-01A-11D-A391-08	110	88	44	15
TCGA-4Z-AA82-01A-11D-A391-08	25	25	79	0
TCGA-4Z-AA83-01A-11D-A391-08	22	20	58	6
TCGA-4Z-AA84-01A-11D-A391-08	18	414	218	11
TCGA-4Z-AA86-01A-11D-A391-08	164	65	27	11
TCGA-4Z-AA87-01A-11D-A391-08	117	56	98	17
TCGA-4Z-AA89-01A-11D-A391-08	86	36	36	0
TCGA-5N-A9KI-01A-31D-A42E-08	42	66	88	17
TCGA-5N-A9KM-01A-11D-A42E-08	10	35	225	0
TCGA-BL-A0C8-01A-11D-A271-08	47	15	93	20
TCGA-BL-A13I-01A-11D-A271-08	54	13	75	6
TCGA-BL-A13J-01A-11D-A271-08	50	14	67	0
TCGA-BL-A3JM-01A-12D-A21A-08	71	54	120	7
TCGA-BL-A5ZZ-01A-31D-A30E-08	32	46	121	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	39	6
TCGA-BT-A0YX-01A-11D-A10S-08	531	242	8	0
TCGA-BT-A20J-01A-11D-A14W-08	285	186	55	39
TCGA-BT-A20N-01A-11D-A14W-08	104	26	174	11
TCGA-BT-A20O-01A-21D-A14W-08	65	44	104	0
TCGA-BT-A20P-01A-11D-A14W-08	59	0	31	12
TCGA-BT-A20Q-01A-11D-A14W-08	44	24	20	21
TCGA-BT-A20R-01A-12D-A16O-08	164	84	31	40
TCGA-BT-A20T-01A-11D-A14W-08	150	136	39	6
TCGA-BT-A20U-01A-11D-A14W-08	60	25	14	7
TCGA-BT-A20V-01A-11D-A14W-08	21	12	71	23
TCGA-BT-A20W-01A-21D-A14W-08	23	3	48	9
TCGA-BT-A20X-01A-11D-A16O-08	15	3	54	12
TCGA-BT-A2LA-01A-11D-A18F-08	34	31	135	12
TCGA-BT-A2LB-01A-11D-A18F-08	69	402	282	32
TCGA-BT-A2LD-01A-12D-A20D-08	7	14	90	11
TCGA-BT-A3PH-01A-11D-A21Z-08	418	101	43	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	188	265	157	29
TCGA-BT-A3PK-01A-21D-A21Z-08	123	56	257	0
TCGA-BT-A42B-01A-32D-A23M-08	3	8	64	4
TCGA-BT-A42C-01A-11D-A23M-08	169	73	172	31
TCGA-BT-A42E-01A-11D-A23U-08	115	31	47	6
TCGA-BT-A42F-01A-11D-A23U-08	121	63	13	0
TCGA-C4-A0EZ-01A-21D-A10S-08	43	41	140	21
TCGA-C4-A0F0-01A-12D-A10S-08	16	9	90	0
TCGA-C4-A0F1-01A-11D-A10S-08	68	54	65	22
TCGA-C4-A0F6-01A-11D-A10S-08	123	34	71	17
TCGA-C4-A0F7-01A-11D-A10S-08	5	9	73	10
TCGA-CF-A1HR-01A-11D-A13W-08	175	89	41	10
TCGA-CF-A1HS-01A-11D-A13W-08	218	0	72	10
TCGA-CF-A27C-01A-11D-A16O-08	107	41	34	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	3	22	0
TCGA-CF-A3MG-01A-11D-A20D-08	80	36	53	1
TCGA-CF-A3MH-01A-11D-A20D-08	11	2	35	4
TCGA-CF-A3MI-01A-11D-A20D-08	24	7	45	9
TCGA-CF-A47S-01A-11D-A23U-08	0	4	23	3
TCGA-CF-A47T-01A-11D-A23U-08	1	6	19	6
TCGA-CF-A47V-01A-11D-A23U-08	43	18	65	4
TCGA-CF-A47W-01A-11D-A23U-08	0	4	27	5
TCGA-CF-A47X-01A-31D-A23U-08	207	113	70	10
TCGA-CF-A47Y-01A-11D-A23U-08	35	3	37	5
TCGA-CF-A5U8-01A-11D-A289-08	2	5	58	7
TCGA-CF-A5UA-01A-11D-A289-08	17	0	64	13
TCGA-CF-A7I0-01A-22D-A34U-08	13	16	36	3
TCGA-CF-A8HX-01A-11D-A364-08	22	29	23	7
TCGA-CF-A8HY-01A-11D-A364-08	23	0	64	8
TCGA-CF-A9FF-01A-11D-A38G-08	64	64	32	7
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	28	11
TCGA-CF-A9FL-01A-11D-A38G-08	0	3	49	11
