Samples	SBS1	SBS2	SBS4	SBS5	SBS10a	SBS10b	SBS13	SBS26	SBS84
TCGA-CF-A8HX-01A-11D-A364-08	8	28	0	16	0	11	18	0	0
TCGA-CF-A8HY-01A-11D-A364-08	13	5	39	22	0	0	16	0	0
TCGA-CF-A9FF-01A-11D-A38G-08	14	61	0	22	0	22	48	0	0
TCGA-CF-A9FH-01A-11D-A38G-08	13	0	0	19	0	9	0	0	0
TCGA-CF-A9FL-01A-11D-A38G-08	12	0	0	42	0	9	0	0	0
TCGA-CF-A9FM-01A-11D-A38G-08	3	0	0	26	0	0	0	0	0
TCGA-CU-A0YN-01A-21D-A10S-08	21	0	0	181	0	0	0	0	0
TCGA-CU-A0YO-01A-11D-A10S-08	23	24	0	48	0	0	19	0	0
TCGA-CU-A0YR-01A-12D-A10S-08	9	0	0	167	0	0	0	0	0
TCGA-CU-A3KJ-01A-11D-A21A-08	21	65	0	72	0	23	100	0	0
TCGA-CU-A3QU-01A-11D-A22Z-08	18	30	0	37	0	15	29	0	0
TCGA-CU-A3YL-01A-11D-A22Z-08	27	97	0	11	0	31	115	0	0
TCGA-CU-A5W6-01A-11D-A289-08	20	84	0	65	0	21	70	0	0
TCGA-CU-A72E-01A-12D-A339-08	18	31	0	34	0	0	39	0	0
TCGA-DK-A1A3-01A-11D-A13W-08	21	309	0	173	0	81	167	0	0
TCGA-DK-A1A5-01A-11D-A13W-08	16	108	0	32	0	31	128	0	0
TCGA-DK-A1A6-01A-11D-A13W-08	7	61	0	103	0	0	113	0	0
TCGA-DK-A1A7-01A-11D-A13W-08	32	26	0	195	0	0	11	0	0
TCGA-DK-A1AA-01A-11D-A13W-08	8	10	0	77	0	0	7	0	0
TCGA-DK-A1AB-01A-11D-A13W-08	17	109	0	10	0	0	108	0	0
TCGA-DK-A1AC-01A-11D-A13W-08	67	1004	0	192	0	274	365	0	0
TCGA-DK-A1AD-01A-11D-A13W-08	22	59	0	145	0	0	63	0	0
TCGA-DK-A1AE-01A-11D-A13W-08	14	42	0	48	0	0	38	0	0
TCGA-DK-A1AF-01A-11D-A13W-08	3	39	0	26	0	0	47	0	0
TCGA-DK-A1AG-01A-11D-A13W-08	20	49	0	23	0	21	56	0	0
TCGA-DK-A2HX-01A-12D-A18F-08	16	36	0	57	0	0	21	0	0
TCGA-DK-A2I1-01A-11D-A17V-08	13	74	0	21	0	32	98	0	0
TCGA-DK-A2I2-01A-11D-A17V-08	9	30	0	57	0	0	15	0	0
TCGA-DK-A2I4-01A-11D-A21A-08	38	522	0	45	0	146	373	0	0
TCGA-DK-A2I6-01A-12D-A18F-08	10	87	0	183	0	48	37	0	0
TCGA-DK-A3IK-01A-32D-A21A-08	36	36	0	107	0	0	74	0	0
TCGA-DK-A3IL-01A-11D-A20D-08	20	0	58	139	0	0	0	0	0
TCGA-DK-A3IM-01A-11D-A20D-08	22	0	0	79	0	0	0	0	0
TCGA-DK-A3IN-01A-11D-A20D-08	20	160	0	53	0	51	178	0	0
TCGA-DK-A3IQ-01A-31D-A20D-08	25	77	0	54	0	0	63	0	0
TCGA-DK-A3IS-01A-21D-A21A-08	41	173	0	64	0	0	150	0	0
TCGA-DK-A3IT-01A-31D-A20D-08	20	146	0	69	0	0	267	0	0
TCGA-DK-A3IU-01A-11D-A20D-08	21	194	0	94	0	50	149	0	0
TCGA-DK-A3IV-01A-22D-A21A-08	9	22	0	33	0	9	16	0	0
TCGA-DK-A3WW-01A-22D-A23M-08	36	612	0	68	0	215	602	0	0
TCGA-DK-A3WX-01A-22D-A22Z-08	12	12	0	26	0	0	3	0	0
TCGA-DK-A3WY-01A-11D-A22Z-08	3	7	0	1	0	0	8	0	0
TCGA-DK-A3X1-01A-12D-A22Z-08	33	492	0	0	0	181	411	0	0
TCGA-DK-A3X2-01A-11D-A22Z-08	35	21	0	71	0	0	20	0	0
TCGA-DK-A6AV-01A-12D-A30E-08	23	46	0	54	0	0	32	0	0
TCGA-DK-A6AW-01A-11D-A30E-08	483	0	0	395	1471	2617	0	0	0
TCGA-DK-A6B0-01A-11D-A31L-08	2	0	0	23	0	0	0	0	0
TCGA-DK-A6B1-01A-12D-A30E-08	34	48	0	74	0	0	24	0	0
TCGA-DK-A6B2-01A-11D-A30E-08	33	40	0	130	0	0	41	0	0
TCGA-DK-A6B5-01A-11D-A31L-08	9	53	0	57	0	0	50	0	0
TCGA-DK-A6B6-01A-11D-A30E-08	40	692	0	91	0	146	306	0	0
TCGA-DK-AA6L-01A-11D-A391-08	22	148	0	86	0	0	199	0	0
TCGA-DK-AA6M-01A-11D-A391-08	24	15	0	40	0	0	7	0	0
TCGA-DK-AA6P-01A-11D-A391-08	14	70	0	83	0	0	52	0	0
TCGA-DK-AA6Q-01A-11D-A391-08	13	38	0	48	0	0	46	0	0
TCGA-DK-AA6R-01A-11D-A42E-08	25	59	166	106	0	0	57	0	0
TCGA-DK-AA6S-01A-21D-A391-08	30	247	0	99	0	0	310	0	0
TCGA-DK-AA6T-01A-11D-A391-08	16	0	0	37	0	13	17	0	0
TCGA-DK-AA6U-01A-11D-A391-08	30	112	131	120	0	35	106	0	0
TCGA-DK-AA6W-01A-12D-A391-08	46	100	0	57	0	0	107	0	0
TCGA-DK-AA6X-01A-12D-A42E-08	11	32	0	37	0	0	47	0	0
TCGA-DK-AA71-01A-31D-A391-08	44	370	0	74	0	0	347	0	0
TCGA-DK-AA74-01A-11D-A391-08	9	69	0	47	0	22	100	0	0
TCGA-DK-AA75-01A-11D-A391-08	31	250	0	118	0	131	105	0	0
TCGA-DK-AA76-01A-11D-A391-08	21	68	0	87	0	36	80	0	0
