Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	316	142	30	0
TCGA-2F-A9KP-01A-11D-A38G-08	23	27	51	10
TCGA-2F-A9KQ-01A-11D-A38G-08	5	7	42	3
TCGA-2F-A9KR-01A-11D-A38G-08	68	81	27	13
TCGA-2F-A9KT-01A-11D-A38G-08	158	90	33	27
TCGA-2F-A9KW-01A-11D-A38G-08	8	18	63	8
TCGA-4Z-AA7M-01A-11D-A391-08	222	119	96	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	6	9	0
TCGA-4Z-AA7O-01A-31D-A391-08	48	38	80	16
TCGA-4Z-AA7Q-01A-11D-A391-08	124	30	65	6
TCGA-4Z-AA7R-01A-11D-A391-08	159	105	25	27
TCGA-4Z-AA7S-01A-11D-A391-08	0	2	35	10
TCGA-4Z-AA7W-01A-11D-A391-08	312	131	24	0
TCGA-4Z-AA7Y-01A-11D-A391-08	123	100	22	4
TCGA-4Z-AA80-01A-11D-A391-08	141	85	81	58
TCGA-4Z-AA81-01A-11D-A391-08	69	70	27	17
TCGA-4Z-AA82-01A-11D-A391-08	15	27	58	2
TCGA-4Z-AA83-01A-11D-A391-08	14	16	40	7
TCGA-4Z-AA84-01A-11D-A391-08	9	261	167	3
TCGA-4Z-AA86-01A-11D-A391-08	121	48	20	9
TCGA-4Z-AA87-01A-11D-A391-08	81	37	69	16
TCGA-4Z-AA89-01A-11D-A391-08	57	30	31	0
TCGA-5N-A9KI-01A-31D-A42E-08	34	52	54	17
TCGA-5N-A9KM-01A-11D-A42E-08	4	28	165	0
TCGA-BL-A0C8-01A-11D-A271-08	28	20	58	13
TCGA-BL-A13I-01A-11D-A271-08	42	12	53	1
TCGA-BL-A13J-01A-11D-A271-08	33	12	38	0
TCGA-BL-A3JM-01A-12D-A21A-08	46	39	78	6
TCGA-BL-A5ZZ-01A-31D-A30E-08	21	37	73	4
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	32	6
TCGA-BT-A0YX-01A-11D-A10S-08	344	211	0	0
TCGA-BT-A20J-01A-11D-A14W-08	197	158	26	28
TCGA-BT-A20N-01A-11D-A14W-08	66	23	118	10
TCGA-BT-A20O-01A-21D-A14W-08	51	24	88	1
TCGA-BT-A20P-01A-11D-A14W-08	41	0	21	4
