Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	403	150	0	54	18	9
TCGA-2F-A9KP-01A-11D-A38G-08	37	34	18	0	42	8
TCGA-2F-A9KQ-01A-11D-A38G-08	7	10	20	0	30	5
TCGA-2F-A9KR-01A-11D-A38G-08	90	93	14	27	16	17
TCGA-2F-A9KT-01A-11D-A38G-08	216	106	13	13	28	18
TCGA-2F-A9KW-01A-11D-A38G-08	10	23	0	54	26	13
TCGA-4Z-AA7M-01A-11D-A391-08	301	143	65	15	56	8
TCGA-4Z-AA7N-01A-11D-A391-08	7	9	0	1	6	0
TCGA-4Z-AA7O-01A-31D-A391-08	67	42	30	26	44	17
TCGA-4Z-AA7Q-01A-11D-A391-08	162	18	25	34	29	7
TCGA-4Z-AA7R-01A-11D-A391-08	192	121	12	39	21	20
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	0	0	45	10
TCGA-4Z-AA7W-01A-11D-A391-08	423	127	52	25	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	146	119	19	26	10	3
TCGA-4Z-AA80-01A-11D-A391-08	183	100	24	46	48	57
TCGA-4Z-AA81-01A-11D-A391-08	97	85	0	15	25	16
TCGA-4Z-AA82-01A-11D-A391-08	20	26	4	38	33	0
TCGA-4Z-AA83-01A-11D-A391-08	22	23	10	9	36	1
TCGA-4Z-AA84-01A-11D-A391-08	14	339	170	40	40	14
TCGA-4Z-AA86-01A-11D-A391-08	144	60	15	9	11	13
TCGA-4Z-AA87-01A-11D-A391-08	113	56	13	21	50	12
TCGA-4Z-AA89-01A-11D-A391-08	80	35	12	0	22	0
TCGA-5N-A9KI-01A-31D-A42E-08	35	60	22	36	27	10
TCGA-5N-A9KM-01A-11D-A42E-08	0	22	111	83	27	0
TCGA-BL-A0C8-01A-11D-A271-08	50	18	12	19	47	14
TCGA-BL-A13I-01A-11D-A271-08	44	10	48	7	17	5
TCGA-BL-A13J-01A-11D-A271-08	31	10	21	50	2	0
TCGA-BL-A3JM-01A-12D-A21A-08	56	50	43	35	39	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	31	46	42	18	49	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	21	10	7	5
TCGA-BT-A0YX-01A-11D-A10S-08	482	231	0	0	31	0
TCGA-BT-A20J-01A-11D-A14W-08	269	178	0	0	52	34
TCGA-BT-A20N-01A-11D-A14W-08	68	18	46	116	26	6
TCGA-BT-A20O-01A-21D-A14W-08	47	31	45	60	19	0
TCGA-BT-A20P-01A-11D-A14W-08	57	0	0	8	21	9
TCGA-BT-A20Q-01A-11D-A14W-08	40	23	9	0	17	16
TCGA-BT-A20R-01A-12D-A16O-08	140	83	0	0	36	29
TCGA-BT-A20T-01A-11D-A14W-08	132	117	24	10	16	11
TCGA-BT-A20U-01A-11D-A14W-08	55	24	0	6	11	7
TCGA-BT-A20V-01A-11D-A14W-08	20	14	14	7	41	15
TCGA-BT-A20W-01A-21D-A14W-08	19	4	0	24	23	7
TCGA-BT-A20X-01A-11D-A16O-08	9	0	25	27	6	11
TCGA-BT-A2LA-01A-11D-A18F-08	45	39	0	0	111	0
TCGA-BT-A2LB-01A-11D-A18F-08	55	325	282	9	39	27
TCGA-BT-A2LD-01A-12D-A20D-08	7	17	13	15	55	7
