Samples	SBS96A	SBS96B	SBS96C
TCGA-DK-A3IK-01A-32D-A21A-08	109	43	19
TCGA-DK-A3IL-01A-11D-A20D-08	4	96	59
TCGA-DK-A3IM-01A-11D-A20D-08	0	50	15
TCGA-DK-A3IN-01A-11D-A20D-08	253	76	11
TCGA-DK-A3IQ-01A-31D-A20D-08	70	89	6
TCGA-DK-A3IS-01A-21D-A21A-08	186	112	6
TCGA-DK-A3IT-01A-31D-A20D-08	345	0	6
TCGA-DK-A3IU-01A-11D-A20D-08	201	176	0
TCGA-DK-A3IV-01A-22D-A21A-08	20	30	13
TCGA-DK-A3WW-01A-22D-A23M-08	646	372	28
TCGA-DK-A3WX-01A-22D-A22Z-08	2	31	2
TCGA-DK-A3WY-01A-11D-A22Z-08	6	4	0
TCGA-DK-A3X1-01A-12D-A22Z-08	444	230	81
TCGA-DK-A3X2-01A-11D-A22Z-08	16	68	19
TCGA-DK-A6AV-01A-12D-A30E-08	34	62	9
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	3691
TCGA-DK-A6B0-01A-11D-A31L-08	0	21	1
TCGA-DK-A6B1-01A-12D-A30E-08	26	85	13
TCGA-DK-A6B2-01A-11D-A30E-08	54	106	19
TCGA-DK-A6B5-01A-11D-A31L-08	59	37	6
TCGA-DK-A6B6-01A-11D-A30E-08	293	548	0
TCGA-DK-AA6L-01A-11D-A391-08	265	69	12
TCGA-DK-AA6M-01A-11D-A391-08	8	24	22
TCGA-DK-AA6P-01A-11D-A391-08	64	78	4
TCGA-DK-AA6Q-01A-11D-A391-08	52	46	9
TCGA-DK-AA6R-01A-11D-A42E-08	92	166	29
TCGA-DK-AA6S-01A-21D-A391-08	374	111	0
TCGA-DK-AA6T-01A-11D-A391-08	18	13	33
TCGA-DK-AA6U-01A-11D-A391-08	152	179	44
TCGA-DK-AA6W-01A-12D-A391-08	140	80	10
TCGA-DK-AA6X-01A-12D-A42E-08	70	13	13
TCGA-DK-AA71-01A-31D-A391-08	393	224	0
TCGA-DK-AA74-01A-11D-A391-08	138	20	13
TCGA-DK-AA75-01A-11D-A391-08	127	279	20
TCGA-DK-AA76-01A-11D-A391-08	104	69	39
TCGA-DK-AA77-01A-11D-A391-08	52	292	13
TCGA-E5-A2PC-01A-11D-A202-08	41	139	18
TCGA-E5-A4TZ-01A-11D-A31L-08	293	88	35
TCGA-E5-A4U1-01A-11D-A31L-08	378	128	10
TCGA-E7-A3X6-01A-12D-A22Z-08	52	18	4
TCGA-E7-A3Y1-01A-11D-A22Z-08	4	105	22
TCGA-E7-A4IJ-01A-31D-A26M-08	195	72	42
TCGA-E7-A4XJ-01A-11D-A26M-08	0	28	13
TCGA-E7-A519-01A-11D-A26M-08	6	54	0
TCGA-E7-A541-01A-11D-A26M-08	212	195	0
TCGA-E7-A5KE-01A-11D-A289-08	31	136	15
TCGA-E7-A5KF-01A-11D-A289-08	98	78	6
TCGA-E7-A677-01A-11D-A30E-08	15	149	33
TCGA-E7-A678-01A-11D-A30E-08	0	40	14
TCGA-E7-A6MD-01A-41D-A34U-08	266	115	26
TCGA-E7-A6ME-01A-22D-A32B-08	9	98	7
TCGA-E7-A6MF-01A-12D-A32B-08	24	14	2
TCGA-E7-A7DU-01A-11D-A32B-08	137	108	1
TCGA-E7-A7DV-01A-11D-A339-08	236	0	18
TCGA-E7-A7PW-01A-11D-A34U-08	31	25	16
TCGA-E7-A7XN-01A-11D-A34U-08	761	63	0
TCGA-E7-A85H-01A-11D-A34U-08	28	274	59
TCGA-E7-A8O7-01A-11D-A364-08	5	17	6
TCGA-E7-A8O8-01A-11D-A364-08	12	81	18
TCGA-E7-A97P-01A-11D-A38G-08	41	108	18
TCGA-E7-A97Q-01A-11D-A38G-08	14	20	7
TCGA-FD-A3B3-01A-12D-A202-08	53	78	9
TCGA-FD-A3B4-01A-12D-A202-08	0	25	39
TCGA-FD-A3B5-01A-11D-A20D-08	84	10	30
TCGA-FD-A3B6-01A-21D-A20D-08	179	32	30
TCGA-FD-A3B7-01A-31D-A20D-08	23	21	10
TCGA-FD-A3B8-01A-31D-A20D-08	24	0	2
TCGA-FD-A3N5-01A-11D-A21A-08	0	250	41
TCGA-FD-A3N6-01A-11D-A21A-08	13	52	36
TCGA-FD-A3NA-01A-11D-A21A-08	110	38	10
TCGA-FD-A3SJ-01A-12D-A22Z-08	126	84	0
TCGA-FD-A3SL-01A-21D-A22Z-08	69	102	26
TCGA-FD-A3SM-01A-11D-A22Z-08	103	39	14
TCGA-FD-A3SN-01A-12D-A22Z-08	103	268	6
TCGA-FD-A3SO-01A-11D-A22Z-08	200	106	15
TCGA-FD-A3SP-01A-31D-A22Z-08	25	63	17
TCGA-FD-A3SQ-01A-21D-A22Z-08	6	44	20
TCGA-FD-A3SR-01A-11D-A22Z-08	63	18	38
TCGA-FD-A3SS-01A-12D-A22Z-08	199	195	26
TCGA-FD-A43N-01A-11D-A23U-08	68	46	33
TCGA-FD-A43P-01A-31D-A23U-08	249	61	38
TCGA-FD-A43U-01A-11D-A23U-08	0	49	21
TCGA-FD-A43X-01A-11D-A23U-08	198	73	9
TCGA-FD-A43Y-01A-21D-A26M-08	0	51	0
TCGA-FD-A5BR-01A-11D-A26M-08	0	57	23
TCGA-FD-A5BS-01A-21D-A26M-08	4	18	4
TCGA-FD-A5BT-01A-11D-A26M-08	70	19	25
TCGA-FD-A5BU-01A-31D-A26M-08	0	41	10
TCGA-FD-A5BV-01A-11D-A26M-08	8	99	9
TCGA-FD-A5BX-01A-11D-A26M-08	197	71	4
TCGA-FD-A5BY-01A-31D-A289-08	15	17	8
TCGA-FD-A5BZ-01A-11D-A289-08	51	40	28
TCGA-FD-A5C0-01A-11D-A289-08	0	91	9
TCGA-FD-A5C1-01A-11D-A289-08	50	48	14
TCGA-FD-A62N-01A-11D-A30E-08	6	48	28
TCGA-FD-A62O-01A-11D-A30E-08	76	47	28
TCGA-FD-A62P-01A-32D-A30E-08	243	57	17
TCGA-FD-A62S-01A-11D-A30E-08	0	48	12
TCGA-FD-A6TA-01A-12D-A339-08	169	48	9
TCGA-FD-A6TB-01A-12D-A339-08	122	27	9
TCGA-FD-A6TC-01A-21D-A339-08	599	183	42
TCGA-FD-A6TD-01A-51D-A339-08	42	67	7
TCGA-FD-A6TE-01A-12D-A339-08	136	47	18
TCGA-FD-A6TF-01A-52D-A32B-08	87	23	4
TCGA-FD-A6TG-01A-11D-A32B-08	217	82	20
TCGA-FD-A6TH-01A-11D-A32B-08	50	77	16
TCGA-FD-A6TI-01A-11D-A32B-08	0	65	38
TCGA-FD-A6TK-01A-42D-A339-08	23	66	0
TCGA-FJ-A3Z7-01A-12D-A23M-08	168	121	0
TCGA-FJ-A3Z9-01A-11D-A26M-08	0	38	21
TCGA-FJ-A3ZE-01A-11D-A23M-08	40	238	116
TCGA-FJ-A3ZF-01A-11D-A23M-08	96	131	5
TCGA-FJ-A871-01A-11D-A34U-08	0	37	7
TCGA-FT-A3EE-01A-11D-A202-08	4	78	15
TCGA-FT-A61P-01A-11D-A30E-08	31	85	16
TCGA-G2-A2EC-01A-11D-A17V-08	92	29	15
TCGA-G2-A2EF-01A-12D-A18F-08	114	85	6
TCGA-G2-A2EJ-01A-11D-A17V-08	182	50	31
TCGA-G2-A2EK-01A-22D-A18F-08	25	29	0
TCGA-G2-A2EL-01A-12D-A18F-08	195	0	22
TCGA-G2-A2EO-01A-11D-A17V-08	542	218	0
TCGA-G2-A2ES-01A-11D-A17V-08	72	246	29
TCGA-G2-A3IB-01A-11D-A20D-08	19	51	19
TCGA-G2-A3IE-01A-11D-A20D-08	192	116	0
TCGA-G2-A3VY-01A-11D-A22Z-08	663	0	0
TCGA-G2-AA3B-01A-11D-A391-08	650	0	1
TCGA-G2-AA3C-01A-21D-A391-08	140	53	11
TCGA-G2-AA3D-01A-11D-A391-08	173	0	0
TCGA-G2-AA3F-01A-12D-A42E-08	48	67	12
TCGA-GC-A3BM-01A-11D-A22Z-08	10	78	17
TCGA-GC-A3I6-01A-11D-A20D-08	99	75	0
TCGA-GC-A3OO-01A-11D-A22Z-08	42	68	0
TCGA-GC-A3RB-01A-12D-A21Z-08	67	75	7
TCGA-GC-A3RC-01A-11D-A22Z-08	113	194	21
TCGA-GC-A3RD-01A-12D-A22Z-08	20	43	11
TCGA-GC-A3WC-01A-31D-A22Z-08	52	81	5
TCGA-GC-A3YS-01A-11D-A23M-08	142	53	30
TCGA-GC-A4ZW-01A-11D-A26M-08	565	0	22
TCGA-GC-A6I1-01A-12D-A31L-08	130	87	0
TCGA-GC-A6I3-01A-11D-A31L-08	145	34	37
TCGA-GD-A2C5-01A-12D-A17V-08	138	37	38
TCGA-GD-A3OP-01A-21D-A21Z-08	125	185	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	45	24	14
TCGA-GD-A3OS-01A-12D-A21Z-08	12	63	14
TCGA-GD-A6C6-01A-21D-A31L-08	167	62	20
TCGA-GD-A76B-01A-11D-A32B-08	87	60	11
TCGA-GU-A42P-01A-11D-A23U-08	119	104	22
TCGA-GU-A42Q-01A-11D-A23U-08	104	35	22
TCGA-GU-A42R-01A-11D-A23M-08	81	68	4
TCGA-GU-A762-01A-11D-A339-08	40	29	17
TCGA-GU-A763-01A-11D-A32B-08	30	31	0
TCGA-GU-A764-01A-11D-A34U-08	53	36	13
TCGA-GU-A766-01A-11D-A32B-08	106	60	18
TCGA-GU-A767-01A-11D-A32B-08	213	74	63
TCGA-GU-AATO-01A-11D-A391-08	182	97	0
TCGA-GU-AATP-01A-11D-A391-08	133	111	20
TCGA-GU-AATQ-01A-11D-A391-08	109	27	12
TCGA-GV-A3JV-01A-11D-A21Z-08	3	76	28
TCGA-GV-A3JW-01A-11D-A20D-08	34	26	9
