Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	319	137	32	0
TCGA-2F-A9KP-01A-11D-A38G-08	23	26	52	10
TCGA-2F-A9KQ-01A-11D-A38G-08	5	7	42	3
TCGA-2F-A9KR-01A-11D-A38G-08	69	80	27	13
TCGA-2F-A9KT-01A-11D-A38G-08	160	87	34	27
TCGA-2F-A9KW-01A-11D-A38G-08	8	17	64	8
TCGA-4Z-AA7M-01A-11D-A391-08	224	116	97	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	6	9	0
TCGA-4Z-AA7O-01A-31D-A391-08	48	38	80	16
TCGA-4Z-AA7Q-01A-11D-A391-08	125	29	65	6
TCGA-4Z-AA7R-01A-11D-A391-08	161	102	26	27
TCGA-4Z-AA7S-01A-11D-A391-08	0	2	35	10
TCGA-4Z-AA7W-01A-11D-A391-08	315	126	26	0
TCGA-4Z-AA7Y-01A-11D-A391-08	123	98	23	5
TCGA-4Z-AA80-01A-11D-A391-08	143	83	81	58
TCGA-4Z-AA81-01A-11D-A391-08	70	68	28	17
TCGA-4Z-AA82-01A-11D-A391-08	15	27	58	2
TCGA-4Z-AA83-01A-11D-A391-08	14	15	41	7
TCGA-4Z-AA84-01A-11D-A391-08	9	259	168	4
TCGA-4Z-AA86-01A-11D-A391-08	121	47	21	9
TCGA-4Z-AA87-01A-11D-A391-08	82	36	69	16
TCGA-4Z-AA89-01A-11D-A391-08	58	29	31	0
TCGA-5N-A9KI-01A-31D-A42E-08	34	51	55	17
TCGA-5N-A9KM-01A-11D-A42E-08	5	28	164	0
TCGA-BL-A0C8-01A-11D-A271-08	28	20	58	13
TCGA-BL-A13I-01A-11D-A271-08	42	12	53	1
TCGA-BL-A13J-01A-11D-A271-08	34	11	38	0
TCGA-BL-A3JM-01A-12D-A21A-08	47	38	78	6
TCGA-BL-A5ZZ-01A-31D-A30E-08	22	37	72	4
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	32	6
TCGA-BT-A0YX-01A-11D-A10S-08	346	206	3	0
TCGA-BT-A20J-01A-11D-A14W-08	199	154	28	28
TCGA-BT-A20N-01A-11D-A14W-08	67	22	118	10
TCGA-BT-A20O-01A-21D-A14W-08	52	24	87	1
TCGA-BT-A20P-01A-11D-A14W-08	41	0	21	4
TCGA-BT-A20Q-01A-11D-A14W-08	26	23	17	10
TCGA-BT-A20R-01A-12D-A16O-08	109	57	18	24
TCGA-BT-A20T-01A-11D-A14W-08	100	95	28	11
TCGA-BT-A20U-01A-11D-A14W-08	41	24	13	8
TCGA-BT-A20V-01A-11D-A14W-08	16	10	45	14
TCGA-BT-A20W-01A-21D-A14W-08	19	2	34	10
TCGA-BT-A20X-01A-11D-A16O-08	13	2	37	11
TCGA-BT-A2LA-01A-11D-A18F-08	23	24	97	6
TCGA-BT-A2LB-01A-11D-A18F-08	40	268	200	14
TCGA-BT-A2LD-01A-12D-A20D-08	6	12	66	10
TCGA-BT-A3PH-01A-11D-A21Z-08	277	93	28	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	136	201	96	17
TCGA-BT-A3PK-01A-21D-A21Z-08	92	47	178	0
TCGA-BT-A42B-01A-32D-A23M-08	2	7	45	5
TCGA-BT-A42C-01A-11D-A23M-08	102	75	131	11
TCGA-BT-A42E-01A-11D-A23U-08	79	24	38	0
TCGA-BT-A42F-01A-11D-A23U-08	89	54	7	0
TCGA-C4-A0EZ-01A-21D-A10S-08	27	36	92	20
TCGA-C4-A0F0-01A-12D-A10S-08	10	8	66	0
TCGA-C4-A0F1-01A-11D-A10S-08	46	41	40	21
TCGA-C4-A0F6-01A-11D-A10S-08	83	25	55	17
TCGA-C4-A0F7-01A-11D-A10S-08	0	3	49	12
TCGA-CF-A1HR-01A-11D-A13W-08	117	73	29	11
TCGA-CF-A1HS-01A-11D-A13W-08	159	0	43	6
TCGA-CF-A27C-01A-11D-A16O-08	83	37	24	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	3	17	0
TCGA-CF-A3MG-01A-11D-A20D-08	62	23	34	6
TCGA-CF-A3MH-01A-11D-A20D-08	7	2	23	3
TCGA-CF-A3MI-01A-11D-A20D-08	16	10	29	6
TCGA-CF-A47S-01A-11D-A23U-08	0	3	15	3
TCGA-CF-A47T-01A-11D-A23U-08	1	5	11	6
TCGA-CF-A47V-01A-11D-A23U-08	32	12	43	1
TCGA-CF-A47W-01A-11D-A23U-08	0	4	20	3
TCGA-CF-A47X-01A-31D-A23U-08	137	89	42	14
TCGA-CF-A47Y-01A-11D-A23U-08	22	4	34	0
TCGA-CF-A5U8-01A-11D-A289-08	3	2	43	7
TCGA-CF-A5UA-01A-11D-A289-08	13	1	45	12
TCGA-CF-A7I0-01A-22D-A34U-08	11	14	14	4
TCGA-CF-A8HX-01A-11D-A364-08	14	20	15	6
TCGA-CF-A8HY-01A-11D-A364-08	19	0	45	7
TCGA-CF-A9FF-01A-11D-A38G-08	54	55	15	4
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	25	9
TCGA-CF-A9FL-01A-11D-A38G-08	0	2	40	6
TCGA-CF-A9FM-01A-11D-A38G-08	0	1	21	0
TCGA-CU-A0YN-01A-21D-A10S-08	7	13	122	7
TCGA-CU-A0YO-01A-11D-A10S-08	20	14	34	9
TCGA-CU-A0YR-01A-12D-A10S-08	8	14	98	0
TCGA-CU-A3KJ-01A-11D-A21A-08	101	32	66	7
TCGA-CU-A3QU-01A-11D-A22Z-08	24	20	26	15
TCGA-CU-A3YL-01A-11D-A22Z-08	108	59	27	7
TCGA-CU-A5W6-01A-11D-A289-08	68	61	38	3
TCGA-CU-A72E-01A-12D-A339-08	30	16	27	4
TCGA-DK-A1A3-01A-11D-A13W-08	164	271	76	22
TCGA-DK-A1A5-01A-11D-A13W-08	118	79	13	19
TCGA-DK-A1A6-01A-11D-A13W-08	118	21	60	0
TCGA-DK-A1A7-01A-11D-A13W-08	16	27	142	3
TCGA-DK-A1AA-01A-11D-A13W-08	10	6	51	7
TCGA-DK-A1AB-01A-11D-A13W-08	92	84	4	0
TCGA-DK-A1AC-01A-11D-A13W-08	294	856	45	16
TCGA-DK-A1AD-01A-11D-A13W-08	63	49	72	17
TCGA-DK-A1AE-01A-11D-A13W-08	38	26	28	0
TCGA-DK-A1AF-01A-11D-A13W-08	42	29	2	3
TCGA-DK-A1AG-01A-11D-A13W-08	40	41	27	5
TCGA-DK-A2HX-01A-12D-A18F-08	15	35	33	9
TCGA-DK-A2I1-01A-11D-A17V-08	106	38	6	17
TCGA-DK-A2I2-01A-11D-A17V-08	21	19	41	0
TCGA-DK-A2I4-01A-11D-A21A-08	314	407	0	31
TCGA-DK-A2I6-01A-12D-A18F-08	25	101	119	10
TCGA-DK-A3IK-01A-32D-A21A-08	66	19	80	6
TCGA-DK-A3IL-01A-11D-A20D-08	13	7	115	24
TCGA-DK-A3IM-01A-11D-A20D-08	1	3	57	4
TCGA-DK-A3IN-01A-11D-A20D-08	189	104	40	7
TCGA-DK-A3IQ-01A-31D-A20D-08	53	63	43	6
TCGA-DK-A3IS-01A-21D-A21A-08	146	118	33	7
TCGA-DK-A3IT-01A-31D-A20D-08	252	69	27	3
TCGA-DK-A3IU-01A-11D-A20D-08	161	166	50	0
TCGA-DK-A3IV-01A-22D-A21A-08	15	17	21	10
TCGA-DK-A3WW-01A-22D-A23M-08	531	474	0	41
TCGA-DK-A3WX-01A-22D-A22Z-08	3	7	25	0
TCGA-DK-A3WY-01A-11D-A22Z-08	5	4	1	0
TCGA-DK-A3X1-01A-12D-A22Z-08	362	305	0	88
TCGA-DK-A3X2-01A-11D-A22Z-08	13	18	62	10
TCGA-DK-A6AV-01A-12D-A30E-08	24	27	49	5
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	0	3691
TCGA-DK-A6B0-01A-11D-A31L-08	2	2	18	0
TCGA-DK-A6B1-01A-12D-A30E-08	19	34	63	8
TCGA-DK-A6B2-01A-11D-A30E-08	39	32	100	8
TCGA-DK-A6B5-01A-11D-A31L-08	42	28	28	4
TCGA-DK-A6B6-01A-11D-A30E-08	235	606	0	0
TCGA-DK-AA6L-01A-11D-A391-08	199	107	32	8
TCGA-DK-AA6M-01A-11D-A391-08	6	8	25	15
TCGA-DK-AA6P-01A-11D-A391-08	49	57	36	4
TCGA-DK-AA6Q-01A-11D-A391-08	37	26	39	5
TCGA-DK-AA6R-01A-11D-A42E-08	65	53	157	12
TCGA-DK-AA6S-01A-21D-A391-08	289	169	27	0
TCGA-DK-AA6T-01A-11D-A391-08	13	0	36	15
TCGA-DK-AA6U-01A-11D-A391-08	108	89	151	27
TCGA-DK-AA6W-01A-12D-A391-08	98	61	66	5
TCGA-DK-AA6X-01A-12D-A42E-08	49	20	19	8
TCGA-DK-AA71-01A-31D-A391-08	330	287	0	0
TCGA-DK-AA74-01A-11D-A391-08	97	41	25	8
TCGA-DK-AA75-01A-11D-A391-08	92	229	75	30
TCGA-DK-AA76-01A-11D-A391-08	73	48	64	27
TCGA-DK-AA77-01A-11D-A391-08	43	78	236	0
TCGA-E5-A2PC-01A-11D-A202-08	32	35	125	6
TCGA-E5-A4TZ-01A-11D-A31L-08	193	80	127	16
TCGA-E5-A4U1-01A-11D-A31L-08	282	163	65	6
TCGA-E7-A3X6-01A-12D-A22Z-08	36	19	17	2
TCGA-E7-A3Y1-01A-11D-A22Z-08	11	11	103	6
TCGA-E7-A4IJ-01A-31D-A26M-08	136	69	76	28
TCGA-E7-A4XJ-01A-11D-A26M-08	0	2	34	5
TCGA-E7-A519-01A-11D-A26M-08	5	13	42	0
TCGA-E7-A541-01A-11D-A26M-08	152	120	135	0
TCGA-E7-A5KE-01A-11D-A289-08	22	49	103	8
TCGA-E7-A5KF-01A-11D-A289-08	80	81	13	8
TCGA-E7-A677-01A-11D-A30E-08	18	29	136	14
TCGA-E7-A678-01A-11D-A30E-08	4	3	42	5
TCGA-E7-A6MD-01A-41D-A34U-08	205	137	43	22
TCGA-E7-A6ME-01A-22D-A32B-08	15	2	97	0
TCGA-E7-A6MF-01A-12D-A32B-08	19	18	0	3
TCGA-E7-A7DU-01A-11D-A32B-08	111	109	23	3
TCGA-E7-A7DV-01A-11D-A339-08	185	38	16	15
TCGA-E7-A7PW-01A-11D-A34U-08	22	18	20	12
TCGA-E7-A7XN-01A-11D-A34U-08	559	265	0	0
TCGA-E7-A85H-01A-11D-A34U-08	33	52	252	24
TCGA-E7-A8O7-01A-11D-A364-08	4	2	20	2
TCGA-E7-A8O8-01A-11D-A364-08	11	17	75	8
TCGA-E7-A97P-01A-11D-A38G-08	32	15	116	4
TCGA-E7-A97Q-01A-11D-A38G-08	10	8	19	4
TCGA-FD-A3B3-01A-12D-A202-08	38	37	60	5
TCGA-FD-A3B4-01A-12D-A202-08	3	0	47	14
TCGA-FD-A3B5-01A-11D-A20D-08	59	23	21	21
TCGA-FD-A3B6-01A-21D-A20D-08	116	41	68	16
TCGA-FD-A3B7-01A-31D-A20D-08	14	2	35	3
TCGA-FD-A3B8-01A-31D-A20D-08	17	5	3	1
