Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	433	155	0	65	19	12
TCGA-2F-A9KP-01A-11D-A38G-08	42	36	26	0	46	10
TCGA-2F-A9KQ-01A-11D-A38G-08	8	10	21	0	33	4
TCGA-2F-A9KR-01A-11D-A38G-08	99	97	14	19	24	29
TCGA-2F-A9KT-01A-11D-A38G-08	227	109	20	8	33	17
TCGA-2F-A9KW-01A-11D-A38G-08	13	27	1	53	32	12
TCGA-4Z-AA7M-01A-11D-A391-08	321	155	80	12	59	3
TCGA-4Z-AA7N-01A-11D-A391-08	7	8	1	2	6	0
TCGA-4Z-AA7O-01A-31D-A391-08	75	47	31	27	48	16
TCGA-4Z-AA7Q-01A-11D-A391-08	173	23	35	25	30	8
TCGA-4Z-AA7R-01A-11D-A391-08	210	118	17	43	26	21
TCGA-4Z-AA7S-01A-11D-A391-08	0	6	0	1	52	11
TCGA-4Z-AA7W-01A-11D-A391-08	460	128	51	26	1	0
TCGA-4Z-AA7Y-01A-11D-A391-08	166	116	26	23	13	5
TCGA-4Z-AA80-01A-11D-A391-08	197	111	33	48	54	56
TCGA-4Z-AA81-01A-11D-A391-08	108	88	6	17	24	14
TCGA-4Z-AA82-01A-11D-A391-08	22	25	6	39	37	0
TCGA-4Z-AA83-01A-11D-A391-08	24	22	11	10	37	2
TCGA-4Z-AA84-01A-11D-A391-08	15	369	181	43	40	13
TCGA-4Z-AA86-01A-11D-A391-08	151	61	16	17	10	12
TCGA-4Z-AA87-01A-11D-A391-08	120	59	14	21	61	13
TCGA-4Z-AA89-01A-11D-A391-08	85	36	13	0	24	0
TCGA-5N-A9KI-01A-31D-A42E-08	37	63	30	34	34	15
TCGA-5N-A9KM-01A-11D-A42E-08	0	24	132	79	35	0
TCGA-BL-A0C8-01A-11D-A271-08	51	17	10	20	62	15
TCGA-BL-A13I-01A-11D-A271-08	47	10	54	11	21	5
TCGA-BL-A13J-01A-11D-A271-08	32	10	26	62	1	0
TCGA-BL-A3JM-01A-12D-A21A-08	65	52	50	33	48	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	31	46	46	21	55	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	21	11	8	5
TCGA-BT-A0YX-01A-11D-A10S-08	513	234	0	0	34	0
TCGA-BT-A20J-01A-11D-A14W-08	286	188	0	0	58	33
TCGA-BT-A20N-01A-11D-A14W-08	72	20	52	136	24	11
TCGA-BT-A20O-01A-21D-A14W-08	50	37	48	57	21	0
TCGA-BT-A20P-01A-11D-A14W-08	61	0	0	9	22	10
TCGA-BT-A20Q-01A-11D-A14W-08	44	24	6	0	17	18
TCGA-BT-A20R-01A-12D-A16O-08	164	83	0	0	39	33
TCGA-BT-A20T-01A-11D-A14W-08	141	129	30	9	15	7
TCGA-BT-A20U-01A-11D-A14W-08	58	25	0	5	12	6
TCGA-BT-A20V-01A-11D-A14W-08	24	13	11	8	49	22
TCGA-BT-A20W-01A-21D-A14W-08	22	3	2	24	26	6
TCGA-BT-A20X-01A-11D-A16O-08	8	2	23	32	9	10
TCGA-BT-A2LA-01A-11D-A18F-08	45	41	0	0	126	0
TCGA-BT-A2LB-01A-11D-A18F-08	59	344	298	11	41	32
TCGA-BT-A2LD-01A-12D-A20D-08	7	18	12	15	64	6
TCGA-BT-A3PH-01A-11D-A21Z-08	408	99	21	0	34	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	167	237	135	41	31	28
TCGA-BT-A3PK-01A-21D-A21Z-08	86	39	192	92	23	4
TCGA-BT-A42B-01A-32D-A23M-08	3	11	0	17	48	0
TCGA-BT-A42C-01A-11D-A23M-08	138	62	83	103	30	29
TCGA-BT-A42E-01A-11D-A23U-08	113	30	26	1	25	4
TCGA-BT-A42F-01A-11D-A23U-08	110	58	10	19	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	42	43	40	35	70	15
TCGA-C4-A0F0-01A-12D-A10S-08	12	7	35	30	31	0
TCGA-C4-A0F1-01A-11D-A10S-08	71	57	0	20	42	19
TCGA-C4-A0F6-01A-11D-A10S-08	133	37	5	1	56	13
TCGA-C4-A0F7-01A-11D-A10S-08	6	12	0	15	58	6
TCGA-CF-A1HR-01A-11D-A13W-08	167	86	29	0	24	9
TCGA-CF-A1HS-01A-11D-A13W-08	192	0	54	27	16	11
TCGA-CF-A27C-01A-11D-A16O-08	102	41	6	16	17	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	0	1	20	0
TCGA-CF-A3MG-01A-11D-A20D-08	82	37	7	12	32	0
TCGA-CF-A3MH-01A-11D-A20D-08	12	2	12	2	22	2
TCGA-CF-A3MI-01A-11D-A20D-08	27	9	9	0	33	7
TCGA-CF-A47S-01A-11D-A23U-08	0	4	0	7	17	2
TCGA-CF-A47T-01A-11D-A23U-08	1	6	9	0	10	6
TCGA-CF-A47V-01A-11D-A23U-08	37	17	22	32	20	2
TCGA-CF-A47W-01A-11D-A23U-08	0	4	4	12	12	4
TCGA-CF-A47X-01A-31D-A23U-08	206	114	23	4	45	8
TCGA-CF-A47Y-01A-11D-A23U-08	29	2	20	17	8	4
TCGA-CF-A5U8-01A-11D-A289-08	0	3	24	20	20	5
TCGA-CF-A5UA-01A-11D-A289-08	20	0	0	10	54	10
TCGA-CF-A7I0-01A-22D-A34U-08	12	17	11	11	15	2
TCGA-CF-A8HX-01A-11D-A364-08	20	30	0	14	11	6
TCGA-CF-A8HY-01A-11D-A364-08	14	0	0	55	20	6
