Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	16	37	50	0	0	0	6
TCGA-2F-A9KP-01A-11D-A38G-08	2	2	7	1	6	2	3
TCGA-2F-A9KQ-01A-11D-A38G-08	0	1	0	1	6	0	1
TCGA-2F-A9KR-01A-11D-A38G-08	12	9	17	0	1	0	4
TCGA-2F-A9KT-01A-11D-A38G-08	23	14	0	13	2	0	0
TCGA-2F-A9KW-01A-11D-A38G-08	0	2	8	2	4	0	2
TCGA-4Z-AA7M-01A-11D-A391-08	43	33	27	10	4	0	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	3	1	1	0	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	8	12	0	0	7	7	8
TCGA-4Z-AA7Q-01A-11D-A391-08	7	19	18	0	2	0	0
TCGA-4Z-AA7R-01A-11D-A391-08	19	16	2	16	5	0	4
TCGA-4Z-AA7S-01A-11D-A391-08	0	0	2	0	9	0	1
TCGA-4Z-AA7W-01A-11D-A391-08	34	61	0	0	5	4	0
TCGA-4Z-AA7Y-01A-11D-A391-08	20	17	0	6	15	0	3
TCGA-4Z-AA80-01A-11D-A391-08	20	30	0	3	1	11	7
TCGA-4Z-AA81-01A-11D-A391-08	16	14	0	2	8	0	7
TCGA-4Z-AA82-01A-11D-A391-08	0	1	0	6	1	8	0
TCGA-4Z-AA83-01A-11D-A391-08	2	2	1	5	2	0	0
TCGA-4Z-AA84-01A-11D-A391-08	96	4	0	12	19	9	10
TCGA-4Z-AA86-01A-11D-A391-08	19	5	7	0	0	10	0
TCGA-4Z-AA87-01A-11D-A391-08	7	5	22	0	12	0	2
TCGA-4Z-AA89-01A-11D-A391-08	5	3	3	3	0	1	0
TCGA-5N-A9KI-01A-31D-A42E-08	7	0	14	4	0	8	5
TCGA-5N-A9KM-01A-11D-A42E-08	4	0	0	26	3	4	3
TCGA-BL-A0C8-01A-11D-A271-08	0	5	8	0	18	0	4
TCGA-BL-A13I-01A-11D-A271-08	2	0	17	4	3	0	0
TCGA-BL-A13J-01A-11D-A271-08	0	6	0	0	0	22	0
TCGA-BL-A3JM-01A-12D-A21A-08	12	14	0	0	9	8	3
TCGA-BL-A5ZZ-01A-31D-A30E-08	7	2	0	20	2	0	1
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	1	0	1	2
TCGA-BT-A0YX-01A-11D-A10S-08	30	37	78	0	0	0	0
TCGA-BT-A20J-01A-11D-A14W-08	27	31	5	0	15	0	8
TCGA-BT-A20N-01A-11D-A14W-08	2	11	0	0	14	24	6
TCGA-BT-A20O-01A-21D-A14W-08	5	0	7	0	1	10	1
TCGA-BT-A20P-01A-11D-A14W-08	0	4	10	0	0	0	0
TCGA-BT-A20Q-01A-11D-A14W-08	5	3	4	5	0	0	4
TCGA-BT-A20R-01A-12D-A16O-08	12	11	32	0	3	0	4
TCGA-BT-A20T-01A-11D-A14W-08	16	11	21	0	0	0	2
TCGA-BT-A20U-01A-11D-A14W-08	2	4	3	0	0	0	0
TCGA-BT-A20V-01A-11D-A14W-08	2	0	2	2	11	0	4
