Samples	SBS96A
TCGA-2F-A9KO-01A-11D-A38G-08	153
TCGA-2F-A9KP-01A-11D-A38G-08	38
TCGA-2F-A9KQ-01A-11D-A38G-08	15
TCGA-2F-A9KR-01A-11D-A38G-08	85
TCGA-2F-A9KT-01A-11D-A38G-08	93
TCGA-2F-A9KW-01A-11D-A38G-08	36
TCGA-4Z-AA7M-01A-11D-A391-08	139
TCGA-4Z-AA7N-01A-11D-A391-08	5
TCGA-4Z-AA7O-01A-31D-A391-08	53
TCGA-4Z-AA7Q-01A-11D-A391-08	53
TCGA-4Z-AA7R-01A-11D-A391-08	87
TCGA-4Z-AA7S-01A-11D-A391-08	22
TCGA-4Z-AA7W-01A-11D-A391-08	146
TCGA-4Z-AA7Y-01A-11D-A391-08	69
TCGA-4Z-AA80-01A-11D-A391-08	110
TCGA-4Z-AA81-01A-11D-A391-08	58
TCGA-4Z-AA82-01A-11D-A391-08	24
TCGA-4Z-AA83-01A-11D-A391-08	28
TCGA-4Z-AA84-01A-11D-A391-08	133
TCGA-4Z-AA86-01A-11D-A391-08	53
TCGA-4Z-AA87-01A-11D-A391-08	68
TCGA-4Z-AA89-01A-11D-A391-08	27
TCGA-5N-A9KI-01A-31D-A42E-08	42
TCGA-5N-A9KM-01A-11D-A42E-08	58
TCGA-BL-A0C8-01A-11D-A271-08	41
TCGA-BL-A13I-01A-11D-A271-08	31
TCGA-BL-A13J-01A-11D-A271-08	36
TCGA-BL-A3JM-01A-12D-A21A-08	61
TCGA-BL-A5ZZ-01A-31D-A30E-08	55
TCGA-BT-A0S7-01A-11D-A10S-08	6
TCGA-BT-A0YX-01A-11D-A10S-08	161
TCGA-BT-A20J-01A-11D-A14W-08	122
TCGA-BT-A20N-01A-11D-A14W-08	75
TCGA-BT-A20O-01A-21D-A14W-08	40
TCGA-BT-A20P-01A-11D-A14W-08	30
TCGA-BT-A20Q-01A-11D-A14W-08	20
TCGA-BT-A20R-01A-12D-A16O-08	87
TCGA-BT-A20T-01A-11D-A14W-08	77
TCGA-BT-A20U-01A-11D-A14W-08	14
TCGA-BT-A20V-01A-11D-A14W-08	38
TCGA-BT-A20W-01A-21D-A14W-08	9
TCGA-BT-A20X-01A-11D-A16O-08	17
TCGA-BT-A2LA-01A-11D-A18F-08	43
TCGA-BT-A2LB-01A-11D-A18F-08	159
TCGA-BT-A2LD-01A-12D-A20D-08	24
TCGA-BT-A3PH-01A-11D-A21Z-08	125
TCGA-BT-A3PJ-01A-21D-A21Z-08	125
TCGA-BT-A3PK-01A-21D-A21Z-08	83
TCGA-BT-A42B-01A-32D-A23M-08	13
TCGA-BT-A42C-01A-11D-A23M-08	97
TCGA-BT-A42E-01A-11D-A23U-08	43
TCGA-BT-A42F-01A-11D-A23U-08	39
TCGA-C4-A0EZ-01A-21D-A10S-08	51
TCGA-C4-A0F0-01A-12D-A10S-08	20
TCGA-C4-A0F1-01A-11D-A10S-08	47
TCGA-C4-A0F6-01A-11D-A10S-08	55
TCGA-C4-A0F7-01A-11D-A10S-08	22
TCGA-CF-A1HR-01A-11D-A13W-08	66
TCGA-CF-A1HS-01A-11D-A13W-08	72
TCGA-CF-A27C-01A-11D-A16O-08	35
TCGA-CF-A3MF-01A-12D-A21A-08	6
TCGA-CF-A3MG-01A-11D-A20D-08	37
TCGA-CF-A3MH-01A-11D-A20D-08	16
TCGA-CF-A3MI-01A-11D-A20D-08	21
TCGA-CF-A47S-01A-11D-A23U-08	7
TCGA-CF-A47T-01A-11D-A23U-08	10
TCGA-CF-A47V-01A-11D-A23U-08	33
TCGA-CF-A47W-01A-11D-A23U-08	7
TCGA-CF-A47X-01A-31D-A23U-08	95
TCGA-CF-A47Y-01A-11D-A23U-08	19
TCGA-CF-A5U8-01A-11D-A289-08	16
TCGA-CF-A5UA-01A-11D-A289-08	15
TCGA-CF-A7I0-01A-22D-A34U-08	19
TCGA-CF-A8HX-01A-11D-A364-08	16
TCGA-CF-A8HY-01A-11D-A364-08	22
TCGA-CF-A9FF-01A-11D-A38G-08	29
TCGA-CF-A9FH-01A-11D-A38G-08	4
TCGA-CF-A9FL-01A-11D-A38G-08	12
TCGA-CF-A9FM-01A-11D-A38G-08	7
TCGA-CU-A0YN-01A-21D-A10S-08	39
TCGA-CU-A0YO-01A-11D-A10S-08	28
TCGA-CU-A0YR-01A-12D-A10S-08	43
TCGA-CU-A3KJ-01A-11D-A21A-08	59
TCGA-CU-A3QU-01A-11D-A22Z-08	27
TCGA-CU-A3YL-01A-11D-A22Z-08	64
TCGA-CU-A5W6-01A-11D-A289-08	67
TCGA-CU-A72E-01A-12D-A339-08	35
TCGA-DK-A1A3-01A-11D-A13W-08	151
TCGA-DK-A1A5-01A-11D-A13W-08	69
TCGA-DK-A1A6-01A-11D-A13W-08	62
TCGA-DK-A1A7-01A-11D-A13W-08	61
TCGA-DK-A1AA-01A-11D-A13W-08	20
TCGA-DK-A1AB-01A-11D-A13W-08	48
TCGA-DK-A1AC-01A-11D-A13W-08	465
TCGA-DK-A1AD-01A-11D-A13W-08	58
TCGA-DK-A1AE-01A-11D-A13W-08	36
TCGA-DK-A1AF-01A-11D-A13W-08	30
TCGA-DK-A1AG-01A-11D-A13W-08	50
TCGA-DK-A2HX-01A-12D-A18F-08	27
TCGA-DK-A2I1-01A-11D-A17V-08	45
TCGA-DK-A2I2-01A-11D-A17V-08	22
TCGA-DK-A2I4-01A-11D-A21A-08	267
TCGA-DK-A2I6-01A-12D-A18F-08	78
TCGA-DK-A3IK-01A-32D-A21A-08	64
TCGA-DK-A3IL-01A-11D-A20D-08	44
TCGA-DK-A3IM-01A-11D-A20D-08	26
TCGA-DK-A3IN-01A-11D-A20D-08	93
TCGA-DK-A3IQ-01A-31D-A20D-08	49
TCGA-DK-A3IS-01A-21D-A21A-08	84
TCGA-DK-A3IT-01A-31D-A20D-08	110
TCGA-DK-A3IU-01A-11D-A20D-08	106
TCGA-DK-A3IV-01A-22D-A21A-08	17
TCGA-DK-A3WW-01A-22D-A23M-08	355
TCGA-DK-A3WX-01A-22D-A22Z-08	13
TCGA-DK-A3WY-01A-11D-A22Z-08	8
TCGA-DK-A3X1-01A-12D-A22Z-08	264
TCGA-DK-A3X2-01A-11D-A22Z-08	33
TCGA-DK-A6AV-01A-12D-A30E-08	37
TCGA-DK-A6AW-01A-11D-A30E-08	1036
TCGA-DK-A6B0-01A-11D-A31L-08	2
TCGA-DK-A6B1-01A-12D-A30E-08	50
TCGA-DK-A6B2-01A-11D-A30E-08	51
TCGA-DK-A6B5-01A-11D-A31L-08	50
TCGA-DK-A6B6-01A-11D-A30E-08	335
TCGA-DK-AA6L-01A-11D-A391-08	86
TCGA-DK-AA6M-01A-11D-A391-08	22
TCGA-DK-AA6P-01A-11D-A391-08	54
TCGA-DK-AA6Q-01A-11D-A391-08	33
TCGA-DK-AA6R-01A-11D-A42E-08	96
TCGA-DK-AA6S-01A-21D-A391-08	152
TCGA-DK-AA6T-01A-11D-A391-08	14
TCGA-DK-AA6U-01A-11D-A391-08	128
TCGA-DK-AA6W-01A-12D-A391-08	65
TCGA-DK-AA6X-01A-12D-A42E-08	24
TCGA-DK-AA71-01A-31D-A391-08	153
TCGA-DK-AA74-01A-11D-A391-08	58
TCGA-DK-AA75-01A-11D-A391-08	129
TCGA-DK-AA76-01A-11D-A391-08	65
TCGA-DK-AA77-01A-11D-A391-08	95
TCGA-E5-A2PC-01A-11D-A202-08	71
TCGA-E5-A4TZ-01A-11D-A31L-08	119
TCGA-E5-A4U1-01A-11D-A31L-08	170
TCGA-E7-A3X6-01A-12D-A22Z-08	31
TCGA-E7-A3Y1-01A-11D-A22Z-08	53
TCGA-E7-A4IJ-01A-31D-A26M-08	96
TCGA-E7-A4XJ-01A-11D-A26M-08	4
TCGA-E7-A519-01A-11D-A26M-08	18
TCGA-E7-A541-01A-11D-A26M-08	110
TCGA-E7-A5KE-01A-11D-A289-08	74
TCGA-E7-A5KF-01A-11D-A289-08	60
TCGA-E7-A677-01A-11D-A30E-08	59
TCGA-E7-A678-01A-11D-A30E-08	8
TCGA-E7-A6MD-01A-41D-A34U-08	131
TCGA-E7-A6ME-01A-22D-A32B-08	34
TCGA-E7-A6MF-01A-12D-A32B-08	15
TCGA-E7-A7DU-01A-11D-A32B-08	64
TCGA-E7-A7DV-01A-11D-A339-08	67
TCGA-E7-A7PW-01A-11D-A34U-08	25
TCGA-E7-A7XN-01A-11D-A34U-08	241
TCGA-E7-A85H-01A-11D-A34U-08	123
TCGA-E7-A8O7-01A-11D-A364-08	7
TCGA-E7-A8O8-01A-11D-A364-08	28
TCGA-E7-A97P-01A-11D-A38G-08	55
TCGA-E7-A97Q-01A-11D-A38G-08	20
TCGA-FD-A3B3-01A-12D-A202-08	42
TCGA-FD-A3B4-01A-12D-A202-08	22
TCGA-FD-A3B5-01A-11D-A20D-08	43
TCGA-FD-A3B6-01A-21D-A20D-08	53
