Samples	SBS96A	SBS96B
TCGA-2F-A9KO-01A-11D-A38G-08	2.87E-01	2.87E-01
TCGA-2F-A9KP-01A-11D-A38G-08	2.77E-01	2.77E-01
TCGA-2F-A9KQ-01A-11D-A38G-08	4.77E-02	4.77E-02
TCGA-2F-A9KR-01A-11D-A38G-08	3.45E-01	3.45E-01
TCGA-2F-A9KT-01A-11D-A38G-08	1.91E-01	1.91E-01
TCGA-2F-A9KW-01A-11D-A38G-08	5.20E-02	5.20E-02
TCGA-4Z-AA7M-01A-11D-A391-08	3.50E-01	3.50E-01
TCGA-4Z-AA7O-01A-31D-A391-08	1.92E-01	1.92E-01
TCGA-4Z-AA7Q-01A-11D-A391-08	1.35E-01	1.35E-01
TCGA-4Z-AA7R-01A-11D-A391-08	2.51E-01	2.51E-01
TCGA-4Z-AA7S-01A-11D-A391-08	1.54E-01	1.54E-01
TCGA-4Z-AA7W-01A-11D-A391-08	2.37E-01	2.37E-01
TCGA-4Z-AA7Y-01A-11D-A391-08	2.52E-01	2.52E-01
TCGA-4Z-AA80-01A-11D-A391-08	4.47E-01	4.46E-01
TCGA-4Z-AA81-01A-11D-A391-08	3.55E-02	3.55E-02
TCGA-4Z-AA82-01A-11D-A391-08	7.70E-02	7.70E-02
TCGA-4Z-AA83-01A-11D-A391-08	1.39E-01	1.39E-01
TCGA-4Z-AA84-01A-11D-A391-08	5.25E-01	5.25E-01
TCGA-4Z-AA86-01A-11D-A391-08	1.40E-01	1.41E-01
TCGA-4Z-AA87-01A-11D-A391-08	1.29E-01	1.29E-01
TCGA-4Z-AA89-01A-11D-A391-08	1.50E-01	1.50E-01
TCGA-5N-A9KI-01A-31D-A42E-08	1.77E-01	1.74E-01
TCGA-5N-A9KM-01A-11D-A42E-08	1.82E-01	1.82E-01
TCGA-BL-A0C8-01A-11D-A271-08	4.79E-02	4.79E-02
TCGA-BL-A13I-01A-11D-A271-08	1.17E-01	1.17E-01
TCGA-BL-A13J-01A-11D-A271-08	1.38E-01	1.38E-01
TCGA-BL-A3JM-01A-12D-A21A-08	2.87E-01	2.87E-01
TCGA-BL-A5ZZ-01A-31D-A30E-08	9.84E-02	9.84E-02
TCGA-BT-A0YX-01A-11D-A10S-08	3.30E-01	3.30E-01
TCGA-BT-A20J-01A-11D-A14W-08	2.46E-01	2.46E-01
TCGA-BT-A20N-01A-11D-A14W-08	3.46E-01	3.46E-01
TCGA-BT-A20O-01A-21D-A14W-08	1.58E-01	1.58E-01
TCGA-BT-A20P-01A-11D-A14W-08	1.32E-01	1.32E-01
TCGA-BT-A20Q-01A-11D-A14W-08	7.63E-02	7.63E-02
TCGA-BT-A20R-01A-12D-A16O-08	2.17E-01	2.17E-01
TCGA-BT-A20T-01A-11D-A14W-08	1.13E-01	1.13E-01
TCGA-BT-A20U-01A-11D-A14W-08	3.78E-02	3.78E-02
TCGA-BT-A20V-01A-11D-A14W-08	2.29E-01	2.29E-01
TCGA-BT-A20W-01A-21D-A14W-08	4.09E-02	4.09E-02
TCGA-BT-A20X-01A-11D-A16O-08	1.00E-02	1.00E-02
TCGA-BT-A2LA-01A-11D-A18F-08	2.22E-01	2.21E-01
TCGA-BT-A2LB-01A-11D-A18F-08	3.77E-01	3.77E-01
TCGA-BT-A2LD-01A-12D-A20D-08	1.16E-01	1.15E-01
TCGA-BT-A3PH-01A-11D-A21Z-08	1.33E-01	1.37E-01
TCGA-BT-A3PJ-01A-21D-A21Z-08	3.79E-01	3.79E-01
TCGA-BT-A3PK-01A-21D-A21Z-08	3.14E-01	3.14E-01
TCGA-BT-A42C-01A-11D-A23M-08	2.91E-01	2.89E-01
TCGA-BT-A42E-01A-11D-A23U-08	2.14E-01	2.14E-01
TCGA-BT-A42F-01A-11D-A23U-08	1.69E-01	1.69E-01
TCGA-C4-A0EZ-01A-21D-A10S-08	3.02E-01	3.02E-01
TCGA-C4-A0F0-01A-12D-A10S-08	1.91E-01	1.91E-01
TCGA-C4-A0F1-01A-11D-A10S-08	1.45E-01	1.45E-01
TCGA-C4-A0F6-01A-11D-A10S-08	1.16E-01	1.16E-01
TCGA-C4-A0F7-01A-11D-A10S-08	7.74E-02	7.74E-02
TCGA-CF-A1HR-01A-11D-A13W-08	1.13E-01	1.13E-01
TCGA-CF-A1HS-01A-11D-A13W-08	2.17E-01	2.17E-01
TCGA-CF-A27C-01A-11D-A16O-08	1.38E-01	1.38E-01
TCGA-CF-A3MF-01A-12D-A21A-08	1.00E-02	1.00E-02
TCGA-CF-A3MG-01A-11D-A20D-08	1.97E-01	1.99E-01
TCGA-CF-A3MH-01A-11D-A20D-08	5.57E-02	5.57E-02
TCGA-CF-A3MI-01A-11D-A20D-08	6.89E-02	6.89E-02
TCGA-CF-A47T-01A-11D-A23U-08	3.02E-02	3.02E-02
TCGA-CF-A47V-01A-11D-A23U-08	1.51E-01	1.51E-01
TCGA-CF-A47W-01A-11D-A23U-08	8.78E-02	8.78E-02
TCGA-CF-A47X-01A-31D-A23U-08	1.95E-01	1.94E-01
TCGA-CF-A47Y-01A-11D-A23U-08	4.22E-02	4.22E-02
TCGA-CF-A5U8-01A-11D-A289-08	1.35E-01	1.35E-01
TCGA-CF-A5UA-01A-11D-A289-08	6.62E-02	6.62E-02
TCGA-CF-A7I0-01A-22D-A34U-08	1.41E-01	1.41E-01
TCGA-CF-A8HX-01A-11D-A364-08	7.89E-02	7.89E-02
TCGA-CF-A8HY-01A-11D-A364-08	5.33E-02	5.33E-02
TCGA-CF-A9FF-01A-11D-A38G-08	2.23E-02	2.23E-02
TCGA-CF-A9FH-01A-11D-A38G-08	5.02E-02	5.02E-02
TCGA-CU-A0YN-01A-21D-A10S-08	1.04E-01	1.04E-01
TCGA-CU-A0YO-01A-11D-A10S-08	1.70E-01	1.71E-01
TCGA-CU-A0YR-01A-12D-A10S-08	1.80E-01	1.79E-01
TCGA-CU-A3KJ-01A-11D-A21A-08	1.69E-01	1.69E-01
TCGA-CU-A3QU-01A-11D-A22Z-08	1.41E-02	1.41E-02
TCGA-CU-A3YL-01A-11D-A22Z-08	2.63E-01	2.63E-01
TCGA-CU-A5W6-01A-11D-A289-08	2.75E-01	2.74E-01
TCGA-CU-A72E-01A-12D-A339-08	1.35E-01	1.35E-01
TCGA-DK-A1A3-01A-11D-A13W-08	2.03E-01	2.05E-01
TCGA-DK-A1A5-01A-11D-A13W-08	1.33E-01	1.33E-01
TCGA-DK-A1A6-01A-11D-A13W-08	8.51E-02	8.51E-02
TCGA-DK-A1A7-01A-11D-A13W-08	1.64E-01	1.64E-01
TCGA-DK-A1AA-01A-11D-A13W-08	1.45E-01	1.45E-01
TCGA-DK-A1AB-01A-11D-A13W-08	3.59E-02	3.59E-02
TCGA-DK-A1AC-01A-11D-A13W-08	4.06E-01	4.06E-01
TCGA-DK-A1AD-01A-11D-A13W-08	1.49E-01	1.49E-01
TCGA-DK-A1AE-01A-11D-A13W-08	2.05E-01	2.06E-01
TCGA-DK-A1AF-01A-11D-A13W-08	1.66E-01	1.67E-01
TCGA-DK-A1AG-01A-11D-A13W-08	2.30E-01	2.30E-01
TCGA-DK-A2HX-01A-12D-A18F-08	1.64E-01	1.65E-01
TCGA-DK-A2I1-01A-11D-A17V-08	1.15E-01	1.15E-01
TCGA-DK-A2I2-01A-11D-A17V-08	1.04E-01	1.04E-01
TCGA-DK-A2I4-01A-11D-A21A-08	3.80E-01	3.80E-01
TCGA-DK-A2I6-01A-12D-A18F-08	2.88E-01	2.88E-01
TCGA-DK-A3IK-01A-32D-A21A-08	2.62E-01	2.63E-01
TCGA-DK-A3IL-01A-11D-A20D-08	8.04E-02	8.04E-02
TCGA-DK-A3IM-01A-11D-A20D-08	5.75E-02	5.75E-02
TCGA-DK-A3IN-01A-11D-A20D-08	1.27E-01	1.27E-01
TCGA-DK-A3IQ-01A-31D-A20D-08	2.95E-01	2.95E-01
TCGA-DK-A3IS-01A-21D-A21A-08	2.37E-01	2.39E-01
TCGA-DK-A3IT-01A-31D-A20D-08	1.41E-01	1.41E-01
TCGA-DK-A3IU-01A-11D-A20D-08	3.43E-01	3.43E-01
TCGA-DK-A3IV-01A-22D-A21A-08	1.42E-01	1.42E-01
TCGA-DK-A3WW-01A-22D-A23M-08	5.84E-01	5.85E-01
TCGA-DK-A3WX-01A-22D-A22Z-08	3.02E-02	3.02E-02
TCGA-DK-A3WY-01A-11D-A22Z-08	0.00E+00	0.00E+00
TCGA-DK-A3X1-01A-12D-A22Z-08	3.18E-01	3.19E-01
TCGA-DK-A3X2-01A-11D-A22Z-08	4.61E-02	4.61E-02
TCGA-DK-A6AV-01A-12D-A30E-08	2.75E-01	2.75E-01
TCGA-DK-A6AW-01A-11D-A30E-08	5.96E+00	5.96E+00
TCGA-DK-A6B1-01A-12D-A30E-08	2.25E-01	2.25E-01
TCGA-DK-A6B2-01A-11D-A30E-08	2.29E-01	2.29E-01
TCGA-DK-A6B5-01A-11D-A31L-08	1.62E-01	1.62E-01
TCGA-DK-A6B6-01A-11D-A30E-08	3.02E-01	3.02E-01
TCGA-DK-AA6L-01A-11D-A391-08	3.09E-01	3.09E-01
TCGA-DK-AA6M-01A-11D-A391-08	3.02E-02	3.02E-02
TCGA-DK-AA6P-01A-11D-A391-08	1.56E-01	1.56E-01
TCGA-DK-AA6Q-01A-11D-A391-08	1.91E-01	1.91E-01
TCGA-DK-AA6R-01A-11D-A42E-08	2.51E-01	2.50E-01
TCGA-DK-AA6S-01A-21D-A391-08	2.72E-01	2.72E-01
TCGA-DK-AA6T-01A-11D-A391-08	1.33E-01	1.33E-01
TCGA-DK-AA6U-01A-11D-A391-08	4.27E-01	4.27E-01
TCGA-DK-AA6W-01A-12D-A391-08	2.02E-01	2.02E-01
TCGA-DK-AA6X-01A-12D-A42E-08	1.30E-01	1.30E-01
TCGA-DK-AA71-01A-31D-A391-08	3.25E-01	3.25E-01
TCGA-DK-AA74-01A-11D-A391-08	7.70E-02	7.70E-02
TCGA-DK-AA75-01A-11D-A391-08	3.78E-01	3.79E-01
TCGA-DK-AA76-01A-11D-A391-08	1.82E-01	1.83E-01
TCGA-DK-AA77-01A-11D-A391-08	2.97E-01	2.97E-01
TCGA-E5-A2PC-01A-11D-A202-08	2.10E-01	2.10E-01
TCGA-E5-A4TZ-01A-11D-A31L-08	2.66E-01	2.65E-01
TCGA-E5-A4U1-01A-11D-A31L-08	2.77E-01	2.78E-01
TCGA-E7-A3X6-01A-12D-A22Z-08	1.35E-01	1.35E-01
TCGA-E7-A3Y1-01A-11D-A22Z-08	1.40E-01	1.40E-01
TCGA-E7-A4IJ-01A-31D-A26M-08	1.07E-01	1.06E-01
TCGA-E7-A4XJ-01A-11D-A26M-08	1.00E-02	1.00E-02
TCGA-E7-A519-01A-11D-A26M-08	8.22E-02	8.22E-02
TCGA-E7-A541-01A-11D-A26M-08	3.25E-01	3.24E-01
TCGA-E7-A5KE-01A-11D-A289-08	3.92E-01	3.91E-01
TCGA-E7-A5KF-01A-11D-A289-08	1.19E-01	1.19E-01
TCGA-E7-A677-01A-11D-A30E-08	1.23E-01	1.23E-01
