Samples	SBS96A	SBS96B
TCGA-2F-A9KO-01A-11D-A38G-08	487	1
TCGA-2F-A9KP-01A-11D-A38G-08	49	62
TCGA-2F-A9KQ-01A-11D-A38G-08	13	44
TCGA-2F-A9KR-01A-11D-A38G-08	137	52
TCGA-2F-A9KT-01A-11D-A38G-08	236	72
TCGA-2F-A9KW-01A-11D-A38G-08	25	72
TCGA-4Z-AA7M-01A-11D-A391-08	373	64
TCGA-4Z-AA7N-01A-11D-A391-08	9	7
TCGA-4Z-AA7O-01A-31D-A391-08	85	97
TCGA-4Z-AA7Q-01A-11D-A391-08	170	55
TCGA-4Z-AA7R-01A-11D-A391-08	241	75
TCGA-4Z-AA7S-01A-11D-A391-08	1	46
TCGA-4Z-AA7W-01A-11D-A391-08	467	0
TCGA-4Z-AA7Y-01A-11D-A391-08	214	35
TCGA-4Z-AA80-01A-11D-A391-08	201	164
TCGA-4Z-AA81-01A-11D-A391-08	125	58
TCGA-4Z-AA82-01A-11D-A391-08	46	56
TCGA-4Z-AA83-01A-11D-A391-08	30	47
TCGA-4Z-AA84-01A-11D-A391-08	249	191
TCGA-4Z-AA86-01A-11D-A391-08	170	28
TCGA-4Z-AA87-01A-11D-A391-08	121	82
TCGA-4Z-AA89-01A-11D-A391-08	96	22
TCGA-5N-A9KI-01A-31D-A42E-08	79	78
TCGA-5N-A9KM-01A-11D-A42E-08	34	163
TCGA-BL-A0C8-01A-11D-A271-08	47	72
TCGA-BL-A13I-01A-11D-A271-08	61	47
TCGA-BL-A13J-01A-11D-A271-08	54	29
TCGA-BL-A3JM-01A-12D-A21A-08	88	81
TCGA-BL-A5ZZ-01A-31D-A30E-08	60	75
TCGA-BT-A0S7-01A-11D-A10S-08	0	38
TCGA-BT-A0YX-01A-11D-A10S-08	547	8
TCGA-BT-A20J-01A-11D-A14W-08	325	84
TCGA-BT-A20N-01A-11D-A14W-08	100	117
TCGA-BT-A20O-01A-21D-A14W-08	83	81
TCGA-BT-A20P-01A-11D-A14W-08	43	23
TCGA-BT-A20Q-01A-11D-A14W-08	43	33
TCGA-BT-A20R-01A-12D-A16O-08	154	54
TCGA-BT-A20T-01A-11D-A14W-08	182	52
TCGA-BT-A20U-01A-11D-A14W-08	61	25
TCGA-BT-A20V-01A-11D-A14W-08	24	61
TCGA-BT-A20W-01A-21D-A14W-08	20	45
TCGA-BT-A20X-01A-11D-A16O-08	15	48
TCGA-BT-A2LA-01A-11D-A18F-08	52	98
TCGA-BT-A2LB-01A-11D-A18F-08	285	237
TCGA-BT-A2LD-01A-12D-A20D-08	16	78
TCGA-BT-A3PH-01A-11D-A21Z-08	398	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	317	133
TCGA-BT-A3PK-01A-21D-A21Z-08	161	156
TCGA-BT-A42B-01A-32D-A23M-08	9	50
TCGA-BT-A42C-01A-11D-A23M-08	190	129
TCGA-BT-A42E-01A-11D-A23U-08	119	22
TCGA-BT-A42F-01A-11D-A23U-08	150	0
TCGA-C4-A0EZ-01A-21D-A10S-08	60	115
TCGA-C4-A0F0-01A-12D-A10S-08	21	63
TCGA-C4-A0F1-01A-11D-A10S-08	79	69
TCGA-C4-A0F6-01A-11D-A10S-08	108	72
TCGA-C4-A0F7-01A-11D-A10S-08	2	62
TCGA-CF-A1HR-01A-11D-A13W-08	182	48
TCGA-CF-A1HS-01A-11D-A13W-08	176	32
TCGA-CF-A27C-01A-11D-A16O-08	131	13
TCGA-CF-A3MF-01A-12D-A21A-08	3	17
TCGA-CF-A3MG-01A-11D-A20D-08	86	39
TCGA-CF-A3MH-01A-11D-A20D-08	10	25
TCGA-CF-A3MI-01A-11D-A20D-08	27	34
TCGA-CF-A47S-01A-11D-A23U-08	3	18
TCGA-CF-A47T-01A-11D-A23U-08	5	18
TCGA-CF-A47V-01A-11D-A23U-08	49	39
TCGA-CF-A47W-01A-11D-A23U-08	3	24
TCGA-CF-A47X-01A-31D-A23U-08	218	64
TCGA-CF-A47Y-01A-11D-A23U-08	31	29
TCGA-CF-A5U8-01A-11D-A289-08	3	52
TCGA-CF-A5UA-01A-11D-A289-08	13	58
TCGA-CF-A7I0-01A-22D-A34U-08	24	19
TCGA-CF-A8HX-01A-11D-A364-08	31	24
TCGA-CF-A8HY-01A-11D-A364-08	20	51
TCGA-CF-A9FF-01A-11D-A38G-08	102	26
TCGA-CF-A9FH-01A-11D-A38G-08	1	35
TCGA-CF-A9FL-01A-11D-A38G-08	1	47
TCGA-CF-A9FM-01A-11D-A38G-08	0	22
TCGA-CU-A0YN-01A-21D-A10S-08	19	130
TCGA-CU-A0YO-01A-11D-A10S-08	34	43
TCGA-CU-A0YR-01A-12D-A10S-08	24	96
TCGA-CU-A3KJ-01A-11D-A21A-08	142	64
TCGA-CU-A3QU-01A-11D-A22Z-08	39	46
TCGA-CU-A3YL-01A-11D-A22Z-08	167	34
TCGA-CU-A5W6-01A-11D-A289-08	129	41
TCGA-CU-A72E-01A-12D-A339-08	48	29
TCGA-DK-A1A3-01A-11D-A13W-08	398	135
TCGA-DK-A1A5-01A-11D-A13W-08	182	47
TCGA-DK-A1A6-01A-11D-A13W-08	165	34
TCGA-DK-A1A7-01A-11D-A13W-08	46	142
TCGA-DK-A1AA-01A-11D-A13W-08	15	59
TCGA-DK-A1AB-01A-11D-A13W-08	180	0
TCGA-DK-A1AC-01A-11D-A13W-08	979	232
TCGA-DK-A1AD-01A-11D-A13W-08	110	91
TCGA-DK-A1AE-01A-11D-A13W-08	69	23
TCGA-DK-A1AF-01A-11D-A13W-08	64	12
TCGA-DK-A1AG-01A-11D-A13W-08	80	33
TCGA-DK-A2HX-01A-12D-A18F-08	46	46
TCGA-DK-A2I1-01A-11D-A17V-08	132	35
TCGA-DK-A2I2-01A-11D-A17V-08	42	39
TCGA-DK-A2I4-01A-11D-A21A-08	641	111
TCGA-DK-A2I6-01A-12D-A18F-08	121	134
TCGA-DK-A3IK-01A-32D-A21A-08	95	76
TCGA-DK-A3IL-01A-11D-A20D-08	16	143
TCGA-DK-A3IM-01A-11D-A20D-08	4	61
TCGA-DK-A3IN-01A-11D-A20D-08	291	49
