Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	309	142	50	0	13	23	0
TCGA-2F-A9KP-01A-11D-A38G-08	24	28	21	21	31	0	9
TCGA-2F-A9KQ-01A-11D-A38G-08	1	7	22	9	21	0	1
TCGA-2F-A9KR-01A-11D-A38G-08	68	78	0	16	15	14	23
TCGA-2F-A9KT-01A-11D-A38G-08	167	93	0	7	28	12	22
TCGA-2F-A9KW-01A-11D-A38G-08	0	19	25	0	25	34	5
TCGA-4Z-AA7M-01A-11D-A391-08	223	129	18	55	36	21	0
TCGA-4Z-AA7N-01A-11D-A391-08	0	7	6	0	4	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	39	38	42	23	27	18	12
TCGA-4Z-AA7Q-01A-11D-A391-08	127	34	0	28	24	26	3
TCGA-4Z-AA7R-01A-11D-A391-08	157	98	21	0	16	30	24
TCGA-4Z-AA7S-01A-11D-A391-08	0	5	0	0	37	7	9
TCGA-4Z-AA7W-01A-11D-A391-08	305	128	50	10	3	7	0
TCGA-4Z-AA7Y-01A-11D-A391-08	115	86	56	0	2	5	9
TCGA-4Z-AA80-01A-11D-A391-08	150	94	0	31	46	35	49
TCGA-4Z-AA81-01A-11D-A391-08	61	68	47	0	10	0	14
TCGA-4Z-AA82-01A-11D-A391-08	18	27	0	6	28	31	0
TCGA-4Z-AA83-01A-11D-A391-08	18	17	0	6	23	13	5
TCGA-4Z-AA84-01A-11D-A391-08	0	236	50	134	21	36	5
TCGA-4Z-AA86-01A-11D-A391-08	102	43	56	0	2	0	8
TCGA-4Z-AA87-01A-11D-A391-08	87	42	9	14	43	19	11
TCGA-4Z-AA89-01A-11D-A391-08	58	30	21	0	18	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	31	50	12	22	24	23	18
TCGA-5N-A9KM-01A-11D-A42E-08	0	16	41	86	27	56	0
TCGA-BL-A0C8-01A-11D-A271-08	13	16	57	0	37	2	10
TCGA-BL-A13I-01A-11D-A271-08	34	8	23	37	12	10	0
TCGA-BL-A13J-01A-11D-A271-08	28	10	0	21	1	39	0
TCGA-BL-A3JM-01A-12D-A21A-08	34	32	66	21	27	9	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	7	32	53	16	27	10	3
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	16	6	13	5
TCGA-BT-A0YX-01A-11D-A10S-08	354	211	0	0	29	0	0
TCGA-BT-A20J-01A-11D-A14W-08	184	155	51	0	28	0	22
TCGA-BT-A20N-01A-11D-A14W-08	59	21	0	49	14	93	13
TCGA-BT-A20O-01A-21D-A14W-08	28	22	64	22	10	30	0
TCGA-BT-A20P-01A-11D-A14W-08	45	0	0	0	14	10	4
TCGA-BT-A20Q-01A-11D-A14W-08	30	24	0	5	13	0	9
TCGA-BT-A20R-01A-12D-A16O-08	129	61	0	0	28	0	22
TCGA-BT-A20T-01A-11D-A14W-08	97	102	27	12	12	0	5
TCGA-BT-A20U-01A-11D-A14W-08	43	26	0	0	10	5	5
TCGA-BT-A20V-01A-11D-A14W-08	21	11	0	5	34	11	18
