Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	359	144	34	0
TCGA-2F-A9KP-01A-11D-A38G-08	29	29	63	13
TCGA-2F-A9KQ-01A-11D-A38G-08	7	8	44	2
TCGA-2F-A9KR-01A-11D-A38G-08	74	84	29	27
TCGA-2F-A9KT-01A-11D-A38G-08	172	90	41	26
TCGA-2F-A9KW-01A-11D-A38G-08	8	22	71	7
TCGA-4Z-AA7M-01A-11D-A391-08	247	133	102	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	7	9	0
TCGA-4Z-AA7O-01A-31D-A391-08	55	43	86	15
TCGA-4Z-AA7Q-01A-11D-A391-08	140	31	66	5
TCGA-4Z-AA7R-01A-11D-A391-08	180	102	37	27
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	43	11
TCGA-4Z-AA7W-01A-11D-A391-08	356	128	19	0
TCGA-4Z-AA7Y-01A-11D-A391-08	144	95	26	8
TCGA-4Z-AA80-01A-11D-A391-08	161	94	92	58
TCGA-4Z-AA81-01A-11D-A391-08	80	75	30	15
TCGA-4Z-AA82-01A-11D-A391-08	18	27	64	1
TCGA-4Z-AA83-01A-11D-A391-08	17	15	43	7
TCGA-4Z-AA84-01A-11D-A391-08	10	303	165	4
TCGA-4Z-AA86-01A-11D-A391-08	134	47	22	8
TCGA-4Z-AA87-01A-11D-A391-08	90	38	82	15
TCGA-4Z-AA89-01A-11D-A391-08	65	29	33	0
TCGA-5N-A9KI-01A-31D-A42E-08	37	56	66	21
TCGA-5N-A9KM-01A-11D-A42E-08	5	31	190	0
TCGA-BL-A0C8-01A-11D-A271-08	27	18	76	14
TCGA-BL-A13I-01A-11D-A271-08	50	10	64	0
TCGA-BL-A13J-01A-11D-A271-08	39	13	47	0
TCGA-BL-A3JM-01A-12D-A21A-08	57	38	92	6
TCGA-BL-A5ZZ-01A-31D-A30E-08	22	38	83	5
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	34	6
TCGA-BT-A0YX-01A-11D-A10S-08	378	211	5	0
TCGA-BT-A20J-01A-11D-A14W-08	213	164	35	28
TCGA-BT-A20N-01A-11D-A14W-08	79	25	131	14
TCGA-BT-A20O-01A-21D-A14W-08	56	31	89	0
TCGA-BT-A20P-01A-11D-A14W-08	44	0	24	5
TCGA-BT-A20Q-01A-11D-A14W-08	31	24	14	12
TCGA-BT-A20R-01A-12D-A16O-08	134	59	18	29
TCGA-BT-A20T-01A-11D-A14W-08	112	110	26	7
TCGA-BT-A20U-01A-11D-A14W-08	44	25	13	7
TCGA-BT-A20V-01A-11D-A14W-08	19	9	51	21
TCGA-BT-A20W-01A-21D-A14W-08	22	1	39	9
TCGA-BT-A20X-01A-11D-A16O-08	13	4	42	10
TCGA-BT-A2LA-01A-11D-A18F-08	24	25	109	8
TCGA-BT-A2LB-01A-11D-A18F-08	45	301	204	21
TCGA-BT-A2LD-01A-12D-A20D-08	5	12	76	9
TCGA-BT-A3PH-01A-11D-A21Z-08	304	91	30	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	150	214	104	23
TCGA-BT-A3PK-01A-21D-A21Z-08	109	49	190	0
TCGA-BT-A42B-01A-32D-A23M-08	2	8	47	5
TCGA-BT-A42C-01A-11D-A23M-08	112	74	157	9
TCGA-BT-A42E-01A-11D-A23U-08	85	28	45	0
TCGA-BT-A42F-01A-11D-A23U-08	96	54	8	0
TCGA-C4-A0EZ-01A-21D-A10S-08	34	38	111	18
TCGA-C4-A0F0-01A-12D-A10S-08	11	10	75	0
TCGA-C4-A0F1-01A-11D-A10S-08	54	41	51	18
TCGA-C4-A0F6-01A-11D-A10S-08	95	27	58	16
TCGA-C4-A0F7-01A-11D-A10S-08	0	3	53	12
TCGA-CF-A1HR-01A-11D-A13W-08	131	79	36	13
TCGA-CF-A1HS-01A-11D-A13W-08	176	0	49	6
TCGA-CF-A27C-01A-11D-A16O-08	92	36	25	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	3	18	0
TCGA-CF-A3MG-01A-11D-A20D-08	69	24	40	6
TCGA-CF-A3MH-01A-11D-A20D-08	7	2	27	4
TCGA-CF-A3MI-01A-11D-A20D-08	19	9	33	8
TCGA-CF-A47S-01A-11D-A23U-08	0	3	15	3
TCGA-CF-A47T-01A-11D-A23U-08	1	6	11	6
TCGA-CF-A47V-01A-11D-A23U-08	34	12	47	5
TCGA-CF-A47W-01A-11D-A23U-08	0	4	23	3
TCGA-CF-A47X-01A-31D-A23U-08	155	92	51	12
TCGA-CF-A47Y-01A-11D-A23U-08	28	1	35	1
TCGA-CF-A5U8-01A-11D-A289-08	3	3	52	6
TCGA-CF-A5UA-01A-11D-A289-08	14	0	55	11
TCGA-CF-A7I0-01A-22D-A34U-08	11	16	19	3
TCGA-CF-A8HX-01A-11D-A364-08	17	21	15	7
TCGA-CF-A8HY-01A-11D-A364-08	19	0	50	7
TCGA-CF-A9FF-01A-11D-A38G-08	59	59	18	2
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	27	9
TCGA-CF-A9FL-01A-11D-A38G-08	0	2	41	6
TCGA-CF-A9FM-01A-11D-A38G-08	0	1	22	0
TCGA-CU-A0YN-01A-21D-A10S-08	8	13	142	5
TCGA-CU-A0YO-01A-11D-A10S-08	21	19	37	11
TCGA-CU-A0YR-01A-12D-A10S-08	8	18	105	0
TCGA-CU-A3KJ-01A-11D-A21A-08	117	28	69	7
TCGA-CU-A3QU-01A-11D-A22Z-08	27	22	29	14
TCGA-CU-A3YL-01A-11D-A22Z-08	115	63	28	11
TCGA-CU-A5W6-01A-11D-A289-08	71	71	45	4
TCGA-CU-A72E-01A-12D-A339-08	34	16	33	4
TCGA-DK-A1A3-01A-11D-A13W-08	181	306	71	15
TCGA-DK-A1A5-01A-11D-A13W-08	129	83	14	19
TCGA-DK-A1A6-01A-11D-A13W-08	138	23	58	0
TCGA-DK-A1A7-01A-11D-A13W-08	17	29	159	1
TCGA-DK-A1AA-01A-11D-A13W-08	10	13	53	5
TCGA-DK-A1AB-01A-11D-A13W-08	107	88	0	0
TCGA-DK-A1AC-01A-11D-A13W-08	338	961	15	15
TCGA-DK-A1AD-01A-11D-A13W-08	71	55	90	14
TCGA-DK-A1AE-01A-11D-A13W-08	40	30	34	1
TCGA-DK-A1AF-01A-11D-A13W-08	50	30	3	2
TCGA-DK-A1AG-01A-11D-A13W-08	52	44	27	6
TCGA-DK-A2HX-01A-12D-A18F-08	20	37	43	11
TCGA-DK-A2I1-01A-11D-A17V-08	112	42	12	16
TCGA-DK-A2I2-01A-11D-A17V-08	21	25	42	0
TCGA-DK-A2I4-01A-11D-A21A-08	340	435	0	37
TCGA-DK-A2I6-01A-12D-A18F-08	33	106	123	11
TCGA-DK-A3IK-01A-32D-A21A-08	77	17	89	6
TCGA-DK-A3IL-01A-11D-A20D-08	14	7	122	28
TCGA-DK-A3IM-01A-11D-A20D-08	2	3	66	5
TCGA-DK-A3IN-01A-11D-A20D-08	207	113	43	6
TCGA-DK-A3IQ-01A-31D-A20D-08	57	72	44	8
TCGA-DK-A3IS-01A-21D-A21A-08	157	135	29	10
TCGA-DK-A3IT-01A-31D-A20D-08	278	86	22	0
TCGA-DK-A3IU-01A-11D-A20D-08	174	177	58	3
TCGA-DK-A3IV-01A-22D-A21A-08	15	22	26	9
TCGA-DK-A3WW-01A-22D-A23M-08	615	502	0	51
TCGA-DK-A3WX-01A-22D-A22Z-08	3	6	28	1
TCGA-DK-A3WY-01A-11D-A22Z-08	5	6	0	0
TCGA-DK-A3X1-01A-12D-A22Z-08	399	347	0	103
TCGA-DK-A3X2-01A-11D-A22Z-08	13	17	74	8
TCGA-DK-A6AV-01A-12D-A30E-08	27	31	48	12
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	0	4117
TCGA-DK-A6B0-01A-11D-A31L-08	2	2	18	0
TCGA-DK-A6B1-01A-12D-A30E-08	23	34	73	10
TCGA-DK-A6B2-01A-11D-A30E-08	40	39	112	11
TCGA-DK-A6B5-01A-11D-A31L-08	45	35	32	5
TCGA-DK-A6B6-01A-11D-A30E-08	273	633	0	0
TCGA-DK-AA6L-01A-11D-A391-08	228	108	33	3
TCGA-DK-AA6M-01A-11D-A391-08	5	11	37	13
TCGA-DK-AA6P-01A-11D-A391-08	57	59	43	4
TCGA-DK-AA6Q-01A-11D-A391-08	40	30	44	4
TCGA-DK-AA6R-01A-11D-A42E-08	78	56	179	12
TCGA-DK-AA6S-01A-21D-A391-08	319	173	26	0
TCGA-DK-AA6T-01A-11D-A391-08	17	0	42	13
TCGA-DK-AA6U-01A-11D-A391-08	124	100	168	23
TCGA-DK-AA6W-01A-12D-A391-08	108	67	76	3
TCGA-DK-AA6X-01A-12D-A42E-08	55	21	19	12
TCGA-DK-AA71-01A-31D-A391-08	367	301	0	0
TCGA-DK-AA74-01A-11D-A391-08	109	40	34	8
TCGA-DK-AA75-01A-11D-A391-08	104	249	63	41
TCGA-DK-AA76-01A-11D-A391-08	85	50	68	26
TCGA-DK-AA77-01A-11D-A391-08	48	88	258	4
TCGA-E5-A2PC-01A-11D-A202-08	36	39	140	7
TCGA-E5-A4TZ-01A-11D-A31L-08	212	82	136	17
TCGA-E5-A4U1-01A-11D-A31L-08	322	175	59	15
TCGA-E7-A3X6-01A-12D-A22Z-08	40	22	26	2
TCGA-E7-A3Y1-01A-11D-A22Z-08	11	12	122	7
TCGA-E7-A4IJ-01A-31D-A26M-08	160	74	78	29
TCGA-E7-A4XJ-01A-11D-A26M-08	0	2	36	5
TCGA-E7-A519-01A-11D-A26M-08	8	13	48	0
TCGA-E7-A541-01A-11D-A26M-08	169	134	145	0
TCGA-E7-A5KE-01A-11D-A289-08	28	52	114	10
TCGA-E7-A5KF-01A-11D-A289-08	95	80	14	10
TCGA-E7-A677-01A-11D-A30E-08	18	28	158	13
TCGA-E7-A678-01A-11D-A30E-08	4	2	50	4
TCGA-E7-A6MD-01A-41D-A34U-08	227	149	49	25
TCGA-E7-A6ME-01A-22D-A32B-08	19	1	110	0
TCGA-E7-A6MF-01A-12D-A32B-08	21	23	0	1
TCGA-E7-A7DU-01A-11D-A32B-08	125	110	23	5
TCGA-E7-A7DV-01A-11D-A339-08	198	40	26	15
TCGA-E7-A7PW-01A-11D-A34U-08	23	22	23	11
TCGA-E7-A7XN-01A-11D-A34U-08	637	270	0	0
TCGA-E7-A85H-01A-11D-A34U-08	34	58	281	22
TCGA-E7-A8O7-01A-11D-A364-08	5	2	21	2
TCGA-E7-A8O8-01A-11D-A364-08	14	15	88	7
TCGA-E7-A97P-01A-11D-A38G-08	34	15	127	6
TCGA-E7-A97Q-01A-11D-A38G-08	12	9	22	6
TCGA-FD-A3B3-01A-12D-A202-08	44	39	61	6
TCGA-FD-A3B4-01A-12D-A202-08	4	0	54	19
TCGA-FD-A3B5-01A-11D-A20D-08	65	21	27	21
TCGA-FD-A3B6-01A-21D-A20D-08	130	39	78	15
TCGA-FD-A3B7-01A-31D-A20D-08	14	1	45	4
TCGA-FD-A3B8-01A-31D-A20D-08	20	4	2	1
TCGA-FD-A3N5-01A-11D-A21A-08	12	25	271	10
TCGA-FD-A3N6-01A-11D-A21A-08	12	18	59	26
TCGA-FD-A3NA-01A-11D-A21A-08	86	56	22	4
TCGA-FD-A3SJ-01A-12D-A22Z-08	90	42	107	0
TCGA-FD-A3SL-01A-21D-A22Z-08	55	19	136	9
TCGA-FD-A3SM-01A-11D-A22Z-08	85	34	41	7
TCGA-FD-A3SN-01A-12D-A22Z-08	76	245	65	13
TCGA-FD-A3SO-01A-11D-A22Z-08	185	150	0	21
TCGA-FD-A3SP-01A-31D-A22Z-08	20	27	53	10
TCGA-FD-A3SQ-01A-21D-A22Z-08	7	14	49	12
TCGA-FD-A3SR-01A-11D-A22Z-08	49	15	52	21
TCGA-FD-A3SS-01A-12D-A22Z-08	186	243	0	47
TCGA-FD-A43N-01A-11D-A23U-08	52	7	98	13
TCGA-FD-A43P-01A-31D-A23U-08	202	65	95	23
TCGA-FD-A43U-01A-11D-A23U-08	0	11	51	11
TCGA-FD-A43X-01A-11D-A23U-08	156	86	66	4
TCGA-FD-A43Y-01A-21D-A26M-08	2	6	50	0
TCGA-FD-A5BR-01A-11D-A26M-08	5	7	62	11
TCGA-FD-A5BS-01A-21D-A26M-08	4	14	3	6
TCGA-FD-A5BT-01A-11D-A26M-08	51	16	44	15
TCGA-FD-A5BU-01A-31D-A26M-08	6	1	53	3
TCGA-FD-A5BV-01A-11D-A26M-08	15	5	109	0
TCGA-FD-A5BX-01A-11D-A26M-08	188	107	0	13
TCGA-FD-A5BY-01A-31D-A289-08	11	5	25	4
TCGA-FD-A5BZ-01A-11D-A289-08	37	20	55	19
TCGA-FD-A5C0-01A-11D-A289-08	6	21	91	1
TCGA-FD-A5C1-01A-11D-A289-08	40	17	64	9
TCGA-FD-A62N-01A-11D-A30E-08	8	9	61	15
TCGA-FD-A62O-01A-11D-A30E-08	61	44	42	26
TCGA-FD-A62P-01A-32D-A30E-08	202	92	45	20
TCGA-FD-A62S-01A-11D-A30E-08	1	6	65	1
TCGA-FD-A6TA-01A-12D-A339-08	149	87	0	7
TCGA-FD-A6TB-01A-12D-A339-08	107	45	15	6
TCGA-FD-A6TC-01A-21D-A339-08	512	326	7	45
TCGA-FD-A6TD-01A-51D-A339-08	32	41	46	2
TCGA-FD-A6TE-01A-12D-A339-08	114	71	22	14
TCGA-FD-A6TF-01A-52D-A32B-08	62	25	47	2
TCGA-FD-A6TG-01A-11D-A32B-08	153	67	133	10
TCGA-FD-A6TH-01A-11D-A32B-08	46	53	56	11
TCGA-FD-A6TI-01A-11D-A32B-08	3	5	92	19
TCGA-FD-A6TK-01A-42D-A339-08	17	31	49	0
TCGA-FJ-A3Z7-01A-12D-A23M-08	138	107	71	1
TCGA-FJ-A3Z9-01A-11D-A26M-08	4	4	47	10
TCGA-FJ-A3ZE-01A-11D-A23M-08	53	11	331	43
TCGA-FJ-A3ZF-01A-11D-A23M-08	75	77	91	10
TCGA-FJ-A871-01A-11D-A34U-08	1	3	46	1
TCGA-FT-A3EE-01A-11D-A202-08	4	26	66	14
TCGA-FT-A61P-01A-11D-A30E-08	29	27	85	9
TCGA-G2-A2EC-01A-11D-A17V-08	70	28	45	13
TCGA-G2-A2EF-01A-12D-A18F-08	103	81	42	2
TCGA-G2-A2EJ-01A-11D-A17V-08	149	53	73	16
TCGA-G2-A2EK-01A-22D-A18F-08	16	6	36	0
TCGA-G2-A2EL-01A-12D-A18F-08	157	33	35	13
TCGA-G2-A2EO-01A-11D-A17V-08	485	340	0	0
TCGA-G2-A2ES-01A-11D-A17V-08	56	150	164	23
TCGA-G2-A3IB-01A-11D-A20D-08	16	23	55	12
TCGA-G2-A3IE-01A-11D-A20D-08	163	113	50	9
TCGA-G2-A3VY-01A-11D-A22Z-08	528	109	77	0
TCGA-G2-AA3B-01A-11D-A391-08	563	136	4	6
TCGA-G2-AA3C-01A-21D-A391-08	105	65	54	7
TCGA-G2-AA3D-01A-11D-A391-08	148	25	20	0
TCGA-G2-AA3F-01A-12D-A42E-08	36	26	75	5
TCGA-GC-A3BM-01A-11D-A22Z-08	11	22	74	10
TCGA-GC-A3I6-01A-11D-A20D-08	84	73	33	0
TCGA-GC-A3OO-01A-11D-A22Z-08	36	78	15	0
TCGA-GC-A3RB-01A-12D-A21Z-08	52	42	69	5
TCGA-GC-A3RC-01A-11D-A22Z-08	93	108	138	18
TCGA-GC-A3RD-01A-12D-A22Z-08	18	17	39	6
TCGA-GC-A3WC-01A-31D-A22Z-08	39	36	73	4
TCGA-GC-A3YS-01A-11D-A23M-08	108	56	64	14
TCGA-GC-A4ZW-01A-11D-A26M-08	464	132	41	18
TCGA-GC-A6I1-01A-12D-A31L-08	115	91	36	0
TCGA-GC-A6I3-01A-11D-A31L-08	99	43	88	14
TCGA-GD-A2C5-01A-12D-A17V-08	117	45	54	27
TCGA-GD-A3OP-01A-21D-A21Z-08	118	143	89	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	33	16	34	6
TCGA-GD-A3OS-01A-12D-A21Z-08	13	14	64	5
TCGA-GD-A6C6-01A-21D-A31L-08	131	67	62	9
TCGA-GD-A76B-01A-11D-A32B-08	64	49	51	8
TCGA-GU-A42P-01A-11D-A23U-08	100	96	54	20
TCGA-GU-A42Q-01A-11D-A23U-08	83	33	52	14
TCGA-GU-A42R-01A-11D-A23M-08	66	48	52	0
TCGA-GU-A762-01A-11D-A339-08	26	4	55	5
TCGA-GU-A763-01A-11D-A32B-08	21	3	47	0
TCGA-GU-A764-01A-11D-A34U-08	40	24	39	6
TCGA-GU-A766-01A-11D-A32B-08	94	74	15	14
TCGA-GU-A767-01A-11D-A32B-08	143	41	171	26
TCGA-GU-AATO-01A-11D-A391-08	161	114	31	0
TCGA-GU-AATP-01A-11D-A391-08	118	108	58	15
TCGA-GU-AATQ-01A-11D-A391-08	78	28	55	3
TCGA-GV-A3JV-01A-11D-A21Z-08	7	13	83	13
TCGA-GV-A3JW-01A-11D-A20D-08	26	14	31	5
TCGA-GV-A3JX-01A-11D-A20D-08	162	55	35	8
TCGA-GV-A3JZ-01A-11D-A21A-08	217	112	39	53
TCGA-GV-A3QF-01A-31D-A22Z-08	10	8	101	4
TCGA-GV-A3QG-01A-11D-A21Z-08	15	14	65	0
TCGA-GV-A3QH-01A-11D-A21Z-08	64	21	61	2
TCGA-GV-A3QI-01A-11D-A21Z-08	101	48	316	1
TCGA-GV-A3QK-01B-11D-A23M-08	29	30	74	13
TCGA-GV-A40E-01A-12D-A23M-08	92	2	60	6
TCGA-GV-A40G-01A-11D-A23M-08	12	34	96	8
TCGA-GV-A6ZA-01A-12D-A339-08	153	81	38	17
TCGA-H4-A2HO-01A-11D-A17V-08	11	11	52	3
TCGA-H4-A2HQ-01A-11D-A17V-08	209	117	80	19
TCGA-HQ-A2OE-01A-11D-A202-08	37	31	65	9
TCGA-HQ-A2OF-01A-11D-A26M-08	4	6	85	13
TCGA-HQ-A5ND-01A-11D-A26M-08	10	10	63	9
TCGA-HQ-A5NE-01A-12D-A289-08	165	135	31	17
TCGA-K4-A3WS-01A-11D-A22Z-08	120	61	97	0
TCGA-K4-A3WU-01B-11D-A23M-08	81	24	56	14
TCGA-K4-A3WV-01A-11D-A22Z-08	1	3	50	6
TCGA-K4-A4AB-01B-12D-A289-08	10	14	64	4
TCGA-K4-A4AC-01A-21D-A26M-08	39	23	61	15
TCGA-K4-A54R-01A-11D-A26M-08	549	343	0	15
TCGA-K4-A5RH-01A-11D-A30E-08	29	75	49	21
TCGA-K4-A5RI-01A-11D-A289-08	24	18	90	4
TCGA-K4-A5RJ-01A-11D-A289-08	198	129	43	0
TCGA-K4-A6FZ-01A-11D-A31L-08	130	127	148	0
TCGA-K4-A6MB-01A-11D-A31L-08	139	109	84	6
TCGA-K4-A83P-01A-11D-A34U-08	93	70	74	2
TCGA-K4-AAQO-01A-11D-A38G-08	93	44	87	8
TCGA-KQ-A41N-01A-11D-A339-08	32	33	129	9
TCGA-KQ-A41O-01A-12D-A34U-08	149	30	53	15
TCGA-KQ-A41P-01A-12D-A339-08	155	96	28	23
TCGA-KQ-A41Q-01A-11D-A339-08	41	28	60	20
TCGA-KQ-A41R-01A-21D-A34U-08	84	375	257	16
TCGA-KQ-A41S-01A-12D-A339-08	114	73	28	1
TCGA-LC-A66R-01A-41D-A30E-08	49	24	37	18
TCGA-LT-A5Z6-01A-11D-A289-08	264	228	12	0
TCGA-LT-A8JT-01A-11D-A364-08	13	12	39	10
TCGA-MV-A51V-01A-11D-A26M-08	1382	160	0	43
TCGA-PQ-A6FI-01A-11D-A31L-08	59	24	64	5
TCGA-PQ-A6FN-01A-11D-A31L-08	17	15	47	3
TCGA-R3-A69X-01A-22D-A30E-08	140	19	40	7
TCGA-S5-A6DX-01A-11D-A31L-08	357	186	19	48
TCGA-S5-AA26-01A-11D-A38G-08	131	44	25	11
TCGA-SY-A9G0-01A-12D-A38G-08	16	6	30	0
TCGA-SY-A9G5-01A-11D-A38G-08	622	324	0	12
