Samples	SBS96A
TCGA-2F-A9KO-01A-11D-A38G-08	488
TCGA-2F-A9KP-01A-11D-A38G-08	111
TCGA-2F-A9KQ-01A-11D-A38G-08	57
TCGA-2F-A9KR-01A-11D-A38G-08	189
TCGA-2F-A9KT-01A-11D-A38G-08	308
TCGA-2F-A9KW-01A-11D-A38G-08	97
TCGA-4Z-AA7M-01A-11D-A391-08	437
TCGA-4Z-AA7N-01A-11D-A391-08	16
TCGA-4Z-AA7O-01A-31D-A391-08	182
TCGA-4Z-AA7Q-01A-11D-A391-08	225
TCGA-4Z-AA7R-01A-11D-A391-08	316
TCGA-4Z-AA7S-01A-11D-A391-08	47
TCGA-4Z-AA7W-01A-11D-A391-08	467
TCGA-4Z-AA7Y-01A-11D-A391-08	249
TCGA-4Z-AA80-01A-11D-A391-08	365
TCGA-4Z-AA81-01A-11D-A391-08	183
TCGA-4Z-AA82-01A-11D-A391-08	102
TCGA-4Z-AA83-01A-11D-A391-08	77
TCGA-4Z-AA84-01A-11D-A391-08	440
TCGA-4Z-AA86-01A-11D-A391-08	198
TCGA-4Z-AA87-01A-11D-A391-08	203
TCGA-4Z-AA89-01A-11D-A391-08	118
TCGA-5N-A9KI-01A-31D-A42E-08	157
TCGA-5N-A9KM-01A-11D-A42E-08	197
TCGA-BL-A0C8-01A-11D-A271-08	119
TCGA-BL-A13I-01A-11D-A271-08	108
TCGA-BL-A13J-01A-11D-A271-08	83
TCGA-BL-A3JM-01A-12D-A21A-08	169
TCGA-BL-A5ZZ-01A-31D-A30E-08	135
TCGA-BT-A0S7-01A-11D-A10S-08	38
TCGA-BT-A0YX-01A-11D-A10S-08	555
TCGA-BT-A20J-01A-11D-A14W-08	409
TCGA-BT-A20N-01A-11D-A14W-08	217
TCGA-BT-A20O-01A-21D-A14W-08	164
TCGA-BT-A20P-01A-11D-A14W-08	66
TCGA-BT-A20Q-01A-11D-A14W-08	76
TCGA-BT-A20R-01A-12D-A16O-08	208
TCGA-BT-A20T-01A-11D-A14W-08	234
TCGA-BT-A20U-01A-11D-A14W-08	86
TCGA-BT-A20V-01A-11D-A14W-08	85
TCGA-BT-A20W-01A-21D-A14W-08	65
TCGA-BT-A20X-01A-11D-A16O-08	63
TCGA-BT-A2LA-01A-11D-A18F-08	150
TCGA-BT-A2LB-01A-11D-A18F-08	522
TCGA-BT-A2LD-01A-12D-A20D-08	94
TCGA-BT-A3PH-01A-11D-A21Z-08	398
TCGA-BT-A3PJ-01A-21D-A21Z-08	450
TCGA-BT-A3PK-01A-21D-A21Z-08	317
TCGA-BT-A42B-01A-32D-A23M-08	59
TCGA-BT-A42C-01A-11D-A23M-08	319
TCGA-BT-A42E-01A-11D-A23U-08	141
TCGA-BT-A42F-01A-11D-A23U-08	150
TCGA-C4-A0EZ-01A-21D-A10S-08	175
TCGA-C4-A0F0-01A-12D-A10S-08	84
TCGA-C4-A0F1-01A-11D-A10S-08	148
TCGA-C4-A0F6-01A-11D-A10S-08	180
TCGA-C4-A0F7-01A-11D-A10S-08	64
TCGA-CF-A1HR-01A-11D-A13W-08	230
TCGA-CF-A1HS-01A-11D-A13W-08	208
TCGA-CF-A27C-01A-11D-A16O-08	144
TCGA-CF-A3MF-01A-12D-A21A-08	20
TCGA-CF-A3MG-01A-11D-A20D-08	125
TCGA-CF-A3MH-01A-11D-A20D-08	35
TCGA-CF-A3MI-01A-11D-A20D-08	61
TCGA-CF-A47S-01A-11D-A23U-08	21
TCGA-CF-A47T-01A-11D-A23U-08	23
TCGA-CF-A47V-01A-11D-A23U-08	88
TCGA-CF-A47W-01A-11D-A23U-08	27
TCGA-CF-A47X-01A-31D-A23U-08	282
TCGA-CF-A47Y-01A-11D-A23U-08	60
TCGA-CF-A5U8-01A-11D-A289-08	55
TCGA-CF-A5UA-01A-11D-A289-08	71
TCGA-CF-A7I0-01A-22D-A34U-08	43
TCGA-CF-A8HX-01A-11D-A364-08	55
TCGA-CF-A8HY-01A-11D-A364-08	71
TCGA-CF-A9FF-01A-11D-A38G-08	128
TCGA-CF-A9FH-01A-11D-A38G-08	36
TCGA-CF-A9FL-01A-11D-A38G-08	48
TCGA-CF-A9FM-01A-11D-A38G-08	22
TCGA-CU-A0YN-01A-21D-A10S-08	149
TCGA-CU-A0YO-01A-11D-A10S-08	77
TCGA-CU-A0YR-01A-12D-A10S-08	120
TCGA-CU-A3KJ-01A-11D-A21A-08	206
TCGA-CU-A3QU-01A-11D-A22Z-08	85
TCGA-CU-A3YL-01A-11D-A22Z-08	201
TCGA-CU-A5W6-01A-11D-A289-08	170
TCGA-CU-A72E-01A-12D-A339-08	77
TCGA-DK-A1A3-01A-11D-A13W-08	533
