Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	265	127	141	0	4	0	0
TCGA-2F-A9KP-01A-11D-A38G-08	25	29	14	25	32	0	9
TCGA-2F-A9KQ-01A-11D-A38G-08	0	6	22	11	21	0	1
TCGA-2F-A9KR-01A-11D-A38G-08	70	77	0	15	15	14	23
TCGA-2F-A9KT-01A-11D-A38G-08	170	92	0	6	27	12	22
TCGA-2F-A9KW-01A-11D-A38G-08	0	19	22	0	26	37	4
TCGA-4Z-AA7M-01A-11D-A391-08	223	128	21	53	36	21	0
TCGA-4Z-AA7N-01A-11D-A391-08	0	6	6	0	5	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	42	38	30	28	28	21	12
TCGA-4Z-AA7Q-01A-11D-A391-08	131	33	0	27	23	25	3
TCGA-4Z-AA7R-01A-11D-A391-08	142	93	55	0	13	19	24
TCGA-4Z-AA7S-01A-11D-A391-08	0	5	0	0	37	7	9
TCGA-4Z-AA7W-01A-11D-A391-08	279	118	106	0	0	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	116	85	46	6	3	8	9
TCGA-4Z-AA80-01A-11D-A391-08	153	93	0	30	46	34	49
TCGA-4Z-AA81-01A-11D-A391-08	52	66	59	0	10	0	13
TCGA-4Z-AA82-01A-11D-A391-08	18	27	0	4	28	33	0
TCGA-4Z-AA83-01A-11D-A391-08	19	16	0	6	23	13	5
TCGA-4Z-AA84-01A-11D-A391-08	0	234	41	140	22	39	6
TCGA-4Z-AA86-01A-11D-A391-08	83	38	82	0	0	0	8
TCGA-4Z-AA87-01A-11D-A391-08	80	39	34	5	42	14	11
TCGA-4Z-AA89-01A-11D-A391-08	51	28	31	0	17	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	31	50	11	20	25	25	18
TCGA-5N-A9KM-01A-11D-A42E-08	0	18	19	102	28	59	0
TCGA-BL-A0C8-01A-11D-A271-08	8	15	58	1	39	4	10
TCGA-BL-A13I-01A-11D-A271-08	28	7	36	34	11	8	0
TCGA-BL-A13J-01A-11D-A271-08	29	10	0	21	1	38	0
TCGA-BL-A3JM-01A-12D-A21A-08	27	30	73	23	28	8	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	15	34	20	29	30	18	2
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	17	5	13	5
TCGA-BT-A0YX-01A-11D-A10S-08	334	200	38	0	22	0	0
TCGA-BT-A20J-01A-11D-A14W-08	153	143	100	0	22	0	22
TCGA-BT-A20N-01A-11D-A14W-08	54	20	16	41	12	93	13
TCGA-BT-A20O-01A-21D-A14W-08	20	21	72	23	11	29	0
TCGA-BT-A20P-01A-11D-A14W-08	42	0	7	0	13	7	4
TCGA-BT-A20Q-01A-11D-A14W-08	31	24	0	4	13	0	9
TCGA-BT-A20R-01A-12D-A16O-08	131	60	0	0	28	0	21
TCGA-BT-A20T-01A-11D-A14W-08	95	100	30	12	12	0	6
TCGA-BT-A20U-01A-11D-A14W-08	42	26	3	0	10	3	5
TCGA-BT-A20V-01A-11D-A14W-08	22	11	0	3	34	12	18
TCGA-BT-A20W-01A-21D-A14W-08	21	3	0	1	18	22	6
TCGA-BT-A20X-01A-11D-A16O-08	10	4	0	22	7	18	8
TCGA-BT-A2LA-01A-11D-A18F-08	32	35	0	4	90	5	0
TCGA-BT-A2LB-01A-11D-A18F-08	34	227	19	225	25	21	20
TCGA-BT-A2LD-01A-12D-A20D-08	7	14	0	13	48	16	4
TCGA-BT-A3PH-01A-11D-A21Z-08	255	89	63	0	18	0	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	137	181	0	96	25	33	19
TCGA-BT-A3PK-01A-21D-A21Z-08	69	34	30	132	11	70	2
TCGA-BT-A42B-01A-32D-A23M-08	0	10	8	0	35	8	1
TCGA-BT-A42C-01A-11D-A23M-08	44	53	133	26	19	66	11
TCGA-BT-A42E-01A-11D-A23U-08	28	17	105	0	8	0	0
TCGA-BT-A42F-01A-11D-A23U-08	45	38	75	0	0	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	20	34	40	27	44	23	13
TCGA-C4-A0F0-01A-12D-A10S-08	0	6	26	23	22	19	0
TCGA-C4-A0F1-01A-11D-A10S-08	51	42	9	0	30	18	14
TCGA-C4-A0F6-01A-11D-A10S-08	52	21	87	0	25	0	11
TCGA-C4-A0F7-01A-11D-A10S-08	0	4	0	0	38	17	9
TCGA-CF-A1HR-01A-11D-A13W-08	109	73	38	14	14	0	11
TCGA-CF-A1HS-01A-11D-A13W-08	157	0	0	36	14	18	6
TCGA-CF-A27C-01A-11D-A16O-08	41	24	87	0	1	0	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	0	2	13	2	0
TCGA-CF-A3MG-01A-11D-A20D-08	43	20	57	0	16	0	3
TCGA-CF-A3MH-01A-11D-A20D-08	7	2	4	2	18	5	2
TCGA-CF-A3MI-01A-11D-A20D-08	21	11	0	9	22	0	6
TCGA-CF-A47S-01A-11D-A23U-08	0	4	0	0	12	3	2
TCGA-CF-A47T-01A-11D-A23U-08	1	5	0	7	6	0	5
TCGA-CF-A47V-01A-11D-A23U-08	4	5	66	0	4	14	5
TCGA-CF-A47W-01A-11D-A23U-08	0	4	0	4	9	11	2
TCGA-CF-A47X-01A-31D-A23U-08	127	86	57	8	22	0	10
TCGA-CF-A47Y-01A-11D-A23U-08	25	2	0	14	8	16	0
TCGA-CF-A5U8-01A-11D-A289-08	0	1	10	21	14	14	4
TCGA-CF-A5UA-01A-11D-A289-08	16	2	0	0	37	17	8
TCGA-CF-A7I0-01A-22D-A34U-08	3	13	22	0	5	4	2
TCGA-CF-A8HX-01A-11D-A364-08	16	20	0	0	8	10	6
TCGA-CF-A8HY-01A-11D-A364-08	0	0	37	0	10	24	5
TCGA-CF-A9FF-01A-11D-A38G-08	58	55	0	13	11	0	1
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	0	7	16	5	8
TCGA-CF-A9FL-01A-11D-A38G-08	0	2	0	8	17	18	4
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	2	9	5	7	0
TCGA-CU-A0YN-01A-21D-A10S-08	0	8	19	58	30	50	3
TCGA-CU-A0YO-01A-11D-A10S-08	19	19	8	11	20	3	8
TCGA-CU-A0YR-01A-12D-A10S-08	5	12	0	74	18	22	0
TCGA-CU-A3KJ-01A-11D-A21A-08	112	31	3	32	32	9	2
TCGA-CU-A3QU-01A-11D-A22Z-08	25	21	0	13	13	8	12
TCGA-CU-A3YL-01A-11D-A22Z-08	114	64	0	6	22	4	7
TCGA-CU-A5W6-01A-11D-A289-08	35	58	82	0	10	2	4
TCGA-CU-A72E-01A-12D-A339-08	33	16	0	13	11	12	2
TCGA-DK-A1A3-01A-11D-A13W-08	140	259	74	64	8	12	16
