Samples	SBS96A	SBS96B
TCGA-2F-A9KO-01A-11D-A38G-08	653	31
TCGA-2F-A9KP-01A-11D-A38G-08	71	89
TCGA-2F-A9KQ-01A-11D-A38G-08	17	59
TCGA-2F-A9KR-01A-11D-A38G-08	181	101
TCGA-2F-A9KT-01A-11D-A38G-08	345	69
TCGA-2F-A9KW-01A-11D-A38G-08	44	94
TCGA-4Z-AA7M-01A-11D-A391-08	516	114
TCGA-4Z-AA7N-01A-11D-A391-08	17	7
TCGA-4Z-AA7O-01A-31D-A391-08	121	123
TCGA-4Z-AA7Q-01A-11D-A391-08	237	57
TCGA-4Z-AA7R-01A-11D-A391-08	338	97
TCGA-4Z-AA7S-01A-11D-A391-08	2	68
TCGA-4Z-AA7W-01A-11D-A391-08	666	0
TCGA-4Z-AA7Y-01A-11D-A391-08	301	48
TCGA-4Z-AA80-01A-11D-A391-08	299	200
TCGA-4Z-AA81-01A-11D-A391-08	189	68
TCGA-4Z-AA82-01A-11D-A391-08	56	73
TCGA-4Z-AA83-01A-11D-A391-08	44	62
TCGA-4Z-AA84-01A-11D-A391-08	374	287
TCGA-4Z-AA86-01A-11D-A391-08	231	36
TCGA-4Z-AA87-01A-11D-A391-08	178	110
TCGA-4Z-AA89-01A-11D-A391-08	129	29
TCGA-5N-A9KI-01A-31D-A42E-08	102	111
TCGA-5N-A9KM-01A-11D-A42E-08	46	224
TCGA-BL-A0C8-01A-11D-A271-08	62	113
TCGA-BL-A13I-01A-11D-A271-08	73	75
TCGA-BL-A13J-01A-11D-A271-08	80	51
TCGA-BL-A3JM-01A-12D-A21A-08	130	122
TCGA-BL-A5ZZ-01A-31D-A30E-08	83	116
TCGA-BT-A0S7-01A-11D-A10S-08	0	45
TCGA-BT-A0YX-01A-11D-A10S-08	776	5
TCGA-BT-A20J-01A-11D-A14W-08	437	128
TCGA-BT-A20N-01A-11D-A14W-08	149	166
TCGA-BT-A20O-01A-21D-A14W-08	117	96
TCGA-BT-A20P-01A-11D-A14W-08	59	43
TCGA-BT-A20Q-01A-11D-A14W-08	58	51
TCGA-BT-A20R-01A-12D-A16O-08	227	92
TCGA-BT-A20T-01A-11D-A14W-08	268	63
TCGA-BT-A20U-01A-11D-A14W-08	82	24
TCGA-BT-A20V-01A-11D-A14W-08	30	97
TCGA-BT-A20W-01A-21D-A14W-08	25	58
TCGA-BT-A20X-01A-11D-A16O-08	18	66
TCGA-BT-A2LA-01A-11D-A18F-08	67	145
TCGA-BT-A2LB-01A-11D-A18F-08	418	367
TCGA-BT-A2LD-01A-12D-A20D-08	20	102
TCGA-BT-A3PH-01A-11D-A21Z-08	562	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	421	218
TCGA-BT-A3PK-01A-21D-A21Z-08	205	231
TCGA-BT-A42B-01A-32D-A23M-08	11	68
TCGA-BT-A42C-01A-11D-A23M-08	254	191
TCGA-BT-A42E-01A-11D-A23U-08	156	43
TCGA-BT-A42F-01A-11D-A23U-08	197	0
TCGA-C4-A0EZ-01A-21D-A10S-08	83	162
TCGA-C4-A0F0-01A-12D-A10S-08	30	85
TCGA-C4-A0F1-01A-11D-A10S-08	114	95
TCGA-C4-A0F6-01A-11D-A10S-08	161	84
TCGA-C4-A0F7-01A-11D-A10S-08	13	84
TCGA-CF-A1HR-01A-11D-A13W-08	260	55
TCGA-CF-A1HS-01A-11D-A13W-08	250	50
TCGA-CF-A27C-01A-11D-A16O-08	166	16
TCGA-CF-A3MF-01A-12D-A21A-08	3	22
TCGA-CF-A3MG-01A-11D-A20D-08	122	48
TCGA-CF-A3MH-01A-11D-A20D-08	13	39
TCGA-CF-A3MI-01A-11D-A20D-08	32	53
TCGA-CF-A47S-01A-11D-A23U-08	3	27
TCGA-CF-A47T-01A-11D-A23U-08	6	26
