Samples	SBS96A	SBS96B	SBS96C
TCGA-3C-AAAU-01A-11D-A41F-09	4.98E-02	4.56E-02	4.51E-02
TCGA-3C-AALI-01A-11D-A41F-09	2.25E-01	4.01E-01	3.41E-01
TCGA-3C-AALK-01A-11D-A41F-09	9.13E-02	7.32E-02	8.35E-02
TCGA-5L-AAT0-01A-12D-A41F-09	1.03E-01	1.42E-01	1.37E-01
TCGA-5L-AAT1-01A-12D-A41F-09	6.69E-01	1.31E+00	1.14E+00
TCGA-5T-A9QA-01A-11D-A41F-09	1.00E-01	6.97E-02	9.45E-02
TCGA-A1-A0SD-01A-11D-A10Y-09	7.76E-02	7.83E-02	8.57E-02
TCGA-A1-A0SE-01A-11D-A099-09	4.02E-02	5.03E-02	4.61E-02
TCGA-A1-A0SH-01A-11D-A099-09	1.11E-01	1.22E-01	1.30E-01
TCGA-A1-A0SI-01A-11D-A142-09	1.24E-01	1.61E-01	1.57E-01
TCGA-A1-A0SJ-01A-11D-A099-09	4.85E-02	4.65E-02	4.69E-02
TCGA-A1-A0SK-01A-12D-A099-09	4.16E-02	4.90E-02	3.78E-02
TCGA-A1-A0SO-01A-22D-A099-09	1.52E-01	1.27E-01	1.50E-01
TCGA-A1-A0SP-01A-11D-A099-09	8.93E-02	6.65E-02	8.37E-02
TCGA-A1-A0SQ-01A-21D-A142-09	7.40E-02	7.44E-02	6.59E-02
TCGA-A2-A04N-01A-11D-A10Y-09	5.02E-02	3.49E-02	4.73E-02
TCGA-A2-A04Q-01A-21W-A050-09	9.05E-02	7.58E-02	8.11E-02
TCGA-A2-A04T-01A-21W-A050-09	1.31E-01	1.04E-01	1.18E-01
TCGA-A2-A04U-01A-11D-A10Y-09	5.02E-02	3.02E-02	4.90E-02
TCGA-A2-A04V-01A-21W-A050-09	1.11E-01	1.12E-01	1.11E-01
TCGA-A2-A04W-01A-31D-A10Y-09	0.00E+00	4.73E-02	4.73E-02
TCGA-A2-A04X-01A-21W-A050-09	3.86E-02	4.99E-02	4.41E-02
TCGA-A2-A0CL-01A-11D-A10Y-09	7.32E-02	7.72E-02	7.45E-02
TCGA-A2-A0CM-01A-31W-A050-09	4.51E-02	4.69E-02	4.92E-02
TCGA-A2-A0CP-01A-11W-A050-09	1.26E-01	1.33E-01	1.52E-01
TCGA-A2-A0CR-01A-11D-A228-09	5.14E-02	9.05E-02	7.69E-02
TCGA-A2-A0CT-01A-31W-A071-09	1.16E-01	2.09E-01	2.23E-01
TCGA-A2-A0CU-01A-12W-A050-09	5.02E-02	3.14E-02	4.82E-02
TCGA-A2-A0CX-01A-21W-A019-09	1.81E-01	2.26E-01	2.07E-01
TCGA-A2-A0D0-01A-11W-A019-09	7.13E-02	8.41E-02	7.43E-02
TCGA-A2-A0D1-01A-11W-A050-09	7.45E-02	8.52E-02	7.83E-02
TCGA-A2-A0D2-01A-21W-A050-09	1.44E-01	1.26E-01	1.55E-01
TCGA-A2-A0EN-01A-13D-A099-09	5.00E-02	4.46E-02	4.51E-02
TCGA-A2-A0EO-01A-11W-A050-09	0.00E+00	4.73E-02	4.73E-02
TCGA-A2-A0EQ-01A-11W-A050-09	1.35E-01	1.65E-01	1.44E-01
TCGA-A2-A0EV-01A-11W-A050-09	1.72E-01	1.49E-01	1.63E-01
TCGA-A2-A0EY-01A-11W-A050-09	9.79E-02	2.80E-01	2.79E-01
TCGA-A2-A0SY-01A-31D-A099-09	8.23E-02	1.98E-01	1.93E-01
TCGA-A2-A0T0-01A-22D-A099-09	1.35E-01	1.19E-01	1.30E-01
TCGA-A2-A0T1-01A-21D-A099-09	4.90E-02	4.61E-02	4.65E-02
TCGA-A2-A0T4-01A-31D-A099-09	4.23E-02	4.79E-02	4.96E-02
TCGA-A2-A0T6-01A-11D-A099-09	9.65E-02	1.05E-01	1.21E-01
TCGA-A2-A0T7-01A-21D-A099-09	5.02E-02	3.49E-02	4.73E-02
TCGA-A2-A0YD-01A-11D-A10G-09	6.95E-02	8.16E-02	8.73E-02
TCGA-A2-A0YE-01A-11D-A10G-09	4.23E-02	4.79E-02	4.96E-02
TCGA-A2-A0YH-01A-11D-A10G-09	3.26E-02	8.69E-02	8.45E-02
TCGA-A2-A0YI-01A-31D-A10M-09	4.94E-02	4.51E-02	4.65E-02
TCGA-A2-A0YJ-01A-11D-A10G-09	1.28E-01	1.06E-01	1.21E-01
TCGA-A2-A0YK-01A-22D-A117-09	1.23E-01	1.78E-01	1.36E-01
TCGA-A2-A0YL-01A-21D-A10G-09	7.83E-02	8.37E-02	8.49E-02
TCGA-A2-A0YM-01A-11D-A10G-09	7.02E-02	6.88E-02	7.93E-02
TCGA-A2-A0YT-01A-11D-A10G-09	4.99E-02	3.78E-02	4.90E-02
TCGA-A2-A1FW-01A-11D-A13L-09	8.30E-02	7.94E-02	8.35E-02
TCGA-A2-A1G4-01A-11D-A13L-09	1.71E-02	3.02E-02	2.56E-02
TCGA-A2-A25A-01A-12D-A16D-09	1.67E-01	1.97E-01	1.70E-01
TCGA-A2-A25B-01A-11D-A167-09	6.26E-02	8.01E-02	8.70E-02
TCGA-A2-A25E-01A-11D-A167-09	4.85E-02	3.86E-02	5.00E-02
TCGA-A2-A3XT-01A-11D-A22X-09	1.47E-01	1.17E-01	1.50E-01
TCGA-A2-A3XU-01A-12D-A22X-09	4.90E-02	4.23E-02	4.88E-02
