Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-3C-AAAU-01A-11D-A41F-09	1	10	15	14	4
TCGA-3C-AALI-01A-11D-A41F-09	545	56	13	40	82
TCGA-3C-AALJ-01A-31D-A41F-09	4	14	17	12	2
TCGA-3C-AALK-01A-11D-A41F-09	7	8	18	22	5
TCGA-4H-AAAK-01A-12D-A41F-09	0	9	14	4	5
TCGA-5L-AAT0-01A-12D-A41F-09	147	0	0	79	16
TCGA-5L-AAT1-01A-12D-A41F-09	1377	0	0	281	139
TCGA-5T-A9QA-01A-11D-A41F-09	0	25	9	24	0
TCGA-A1-A0SD-01A-11D-A10Y-09	0	4	16	13	2
TCGA-A1-A0SE-01A-11D-A099-09	1	14	0	15	3
TCGA-A1-A0SF-01A-11D-A142-09	22	0	0	25	2
TCGA-A1-A0SG-01A-11D-A142-09	1	4	6	11	7
TCGA-A1-A0SH-01A-11D-A099-09	67	22	0	28	4
TCGA-A1-A0SI-01A-11D-A142-09	210	7	12	1	12
TCGA-A1-A0SJ-01A-11D-A099-09	1	5	9	13	0
TCGA-A1-A0SK-01A-12D-A099-09	0	41	13	20	4
TCGA-A1-A0SM-01A-11D-A099-09	0	14	10	6	8
TCGA-A1-A0SN-01A-11D-A142-09	18	24	14	12	9
TCGA-A1-A0SO-01A-22D-A099-09	23	232	39	41	14
TCGA-A1-A0SP-01A-11D-A099-09	0	18	17	22	0
TCGA-A1-A0SQ-01A-21D-A142-09	0	0	15	14	1
TCGA-A2-A04N-01A-11D-A10Y-09	2	15	2	17	9
TCGA-A2-A04P-01A-31D-A128-09	19	97	34	0	2
TCGA-A2-A04Q-01A-21W-A050-09	5	29	11	13	3
TCGA-A2-A04R-01A-41D-A117-09	6	49	21	4	8
TCGA-A2-A04T-01A-21W-A050-09	8	71	15	14	0
TCGA-A2-A04U-01A-11D-A10Y-09	0	25	15	14	5
TCGA-A2-A04V-01A-21W-A050-09	1	18	3	18	4
TCGA-A2-A04W-01A-31D-A10Y-09	113	14	29	0	10
TCGA-A2-A04X-01A-21W-A050-09	20	11	0	16	0
TCGA-A2-A04Y-01A-21W-A050-09	7	28	0	11	8
TCGA-A2-A0CK-01A-11D-A228-09	1	4	8	15	0
TCGA-A2-A0CL-01A-11D-A10Y-09	113	2	10	28	9
TCGA-A2-A0CM-01A-31W-A050-09	29	30	0	19	0
TCGA-A2-A0CP-01A-11W-A050-09	2	106	20	11	5
TCGA-A2-A0CQ-01A-21W-A050-09	0	23	13	21	2
TCGA-A2-A0CR-01A-11D-A228-09	140	0	0	35	5
TCGA-A2-A0CS-01A-11D-A10Y-09	0	10	24	8	2
TCGA-A2-A0CT-01A-31W-A071-09	26	25	7	60	6
TCGA-A2-A0CU-01A-12W-A050-09	6	19	14	14	3
TCGA-A2-A0CV-01A-31D-A10Y-09	1	2	13	4	4
TCGA-A2-A0CW-01A-21D-A10Y-09	16	24	0	23	6
TCGA-A2-A0CX-01A-21W-A019-09	225	0	0	94	29
TCGA-A2-A0D0-01A-11W-A019-09	16	45	26	0	4
TCGA-A2-A0D1-01A-11W-A050-09	18	39	28	15	7
TCGA-A2-A0D2-01A-21W-A050-09	16	58	21	2	1
TCGA-A2-A0D3-01A-11D-A10Y-09	0	0	11	13	3
TCGA-A2-A0D4-01A-11W-A019-09	5	18	15	1	4
TCGA-A2-A0EM-01A-11W-A050-09	1	20	10	12	2
TCGA-A2-A0EN-01A-13D-A099-09	0	10	5	16	5
TCGA-A2-A0EO-01A-11W-A050-09	3	21	11	14	0
TCGA-A2-A0EP-01A-52D-A22X-09	6	2	2	7	0
TCGA-A2-A0EQ-01A-11W-A050-09	190	36	54	0	1
TCGA-A2-A0ER-01A-21W-A050-09	2	16	20	5	2
TCGA-A2-A0ES-01A-11D-A10Y-09	0	4	4	6	0
TCGA-A2-A0ET-01A-31D-A045-09	0	12	16	22	8
TCGA-A2-A0EU-01A-22W-A071-09	1	0	19	21	4
TCGA-A2-A0EV-01A-11W-A050-09	2	25	0	37	13
TCGA-A2-A0EW-01A-21D-A10Y-09	1	4	8	4	3
TCGA-A2-A0EX-01A-21W-A050-09	0	18	0	17	0
TCGA-A2-A0EY-01A-11W-A050-09	151	0	0	105	34
TCGA-A2-A0ST-01A-12D-A099-09	2	6	2	11	1
TCGA-A2-A0SU-01A-11D-A099-09	0	13	8	12	0
TCGA-A2-A0SV-01A-11D-A099-09	0	7	17	12	3
TCGA-A2-A0SW-01A-11D-A099-09	14	10	15	17	3
TCGA-A2-A0SX-01A-12D-A099-09	7	8	12	11	2
TCGA-A2-A0SY-01A-31D-A099-09	102	4	0	31	14
TCGA-A2-A0T0-01A-22D-A099-09	25	106	45	0	11
TCGA-A2-A0T1-01A-21D-A099-09	0	7	13	5	4
TCGA-A2-A0T2-01A-11W-A097-09	2	13	14	7	0
TCGA-A2-A0T3-01A-21D-A10Y-09	1	15	12	9	2
TCGA-A2-A0T4-01A-31D-A099-09	0	9	13	12	0
TCGA-A2-A0T5-01A-21D-A099-09	0	3	5	7	1
TCGA-A2-A0T6-01A-11D-A099-09	0	0	9	16	1
TCGA-A2-A0T7-01A-21D-A099-09	0	0	9	11	2
TCGA-A2-A0YC-01A-11D-A117-09	4	8	5	11	0
TCGA-A2-A0YD-01A-11D-A10G-09	37	5	0	29	19
TCGA-A2-A0YE-01A-11D-A10G-09	2	7	3	24	3
TCGA-A2-A0YF-01A-21D-A10G-09	0	12	8	7	7
TCGA-A2-A0YG-01A-21D-A10G-09	0	23	13	30	4
TCGA-A2-A0YH-01A-11D-A10G-09	40	25	19	10	7
TCGA-A2-A0YI-01A-31D-A10M-09	1	9	2	1	1
