Samples	SBS1	SBS2	SBS3	SBS5	SBS10a	SBS10b	SBS13
TCGA-2F-A9KO-01A-11D-A38G-08	21	210	0	49	0	48	306
TCGA-2F-A9KP-01A-11D-A38G-08	25	33	0	55	0	0	26
TCGA-2F-A9KQ-01A-11D-A38G-08	17	8	0	42	0	0	5
TCGA-2F-A9KR-01A-11D-A38G-08	17	92	0	42	0	32	74
TCGA-2F-A9KT-01A-11D-A38G-08	23	130	0	35	0	40	166
TCGA-2F-A9KW-01A-11D-A38G-08	18	20	55	8	0	14	11
TCGA-4Z-AA7M-01A-11D-A391-08	50	181	0	128	0	0	229
TCGA-4Z-AA7N-01A-11D-A391-08	3	10	0	4	0	0	6
TCGA-4Z-AA7O-01A-31D-A391-08	21	42	0	82	0	28	53
TCGA-4Z-AA7Q-01A-11D-A391-08	24	58	0	59	0	0	134
TCGA-4Z-AA7R-01A-11D-A391-08	17	131	0	58	0	49	150
TCGA-4Z-AA7S-01A-11D-A391-08	29	0	0	30	0	0	0
TCGA-4Z-AA7W-01A-11D-A391-08	17	209	0	79	0	0	322
TCGA-4Z-AA7Y-01A-11D-A391-08	15	127	0	67	0	0	114
TCGA-4Z-AA80-01A-11D-A391-08	34	109	0	86	0	85	144
TCGA-4Z-AA81-01A-11D-A391-08	20	98	0	0	0	33	87
TCGA-4Z-AA82-01A-11D-A391-08	23	26	58	0	0	0	14
TCGA-4Z-AA83-01A-11D-A391-08	25	25	0	32	0	0	19
TCGA-4Z-AA84-01A-11D-A391-08	32	249	0	273	0	63	0
TCGA-4Z-AA86-01A-11D-A391-08	13	78	0	29	0	23	109
TCGA-4Z-AA87-01A-11D-A391-08	34	71	0	71	0	0	89
TCGA-4Z-AA89-01A-11D-A391-08	17	48	0	23	0	0	61
TCGA-5N-A9KI-01A-31D-A42E-08	15	51	0	74	0	20	30
TCGA-5N-A9KM-01A-11D-A42E-08	11	17	0	215	0	0	0
TCGA-BL-A0C8-01A-11D-A271-08	24	20	0	61	0	18	37
TCGA-BL-A13I-01A-11D-A271-08	11	18	44	28	0	0	30
TCGA-BL-A13J-01A-11D-A271-08	3	17	62	7	0	0	25
TCGA-BL-A3JM-01A-12D-A21A-08	26	55	0	98	0	0	48
TCGA-BL-A5ZZ-01A-31D-A30E-08	27	44	0	89	0	0	26
TCGA-BT-A0S7-01A-11D-A10S-08	5	0	0	38	0	0	0
TCGA-BT-A0YX-01A-11D-A10S-08	29	280	0	4	0	74	357
TCGA-BT-A20J-01A-11D-A14W-08	39	184	0	33	0	76	201
TCGA-BT-A20N-01A-11D-A14W-08	24	37	167	0	0	0	52
TCGA-BT-A20O-01A-21D-A14W-08	14	37	0	110	0	0	41
TCGA-BT-A20P-01A-11D-A14W-08	13	6	0	14	0	14	48
TCGA-BT-A20Q-01A-11D-A14W-08	16	28	0	0	0	25	36
TCGA-BT-A20R-01A-12D-A16O-08	28	91	0	10	0	51	108
TCGA-BT-A20T-01A-11D-A14W-08	14	114	0	46	0	36	100
TCGA-BT-A20U-01A-11D-A14W-08	7	29	0	8	0	17	42
