	Hugo_Symbol
0	TAF1L
1	CDH1
2	LILRA1
3	MUC16
4	PCK1
5	SMG8
6	CELSR2
7	KCND2
8	PCDH18
9	CD19
10	CHI3L1
11	EIF4A2
12	KRT6B
13	LILRA5
14	MCM7
15	SLITRK1
16	PARP3
17	ACRBP
18	BAP1
19	CA9
20	ENTPD2
21	FAM124B
22	FGG
23	HSPA5
24	KRT1
25	MED12
26	PTGER2
27	TSPYL2
28	ZFYVE19
29	SRPR
30	FAT4
31	SDPR
32	AKAP17A
33	AOC2
34	APEX2
35	APOBR
36	ATHL1
37	ATP1A4
38	BTBD19
39	C10orf2
40	CAV1
41	CYB5R1
42	CYP2A13
43	EEPD1
44	EXOC4
45	FAM96A
46	FASTKD3
47	FLAD1
48	HNRNPK
49	HYOU1
50	IL27RA
51	ITPKC
52	KIF14
53	KMT2B
54	KRT4
55	LILRB2
56	LYSMD1
57	MAML2
58	MAT2A
59	NAB2
60	NEIL1
61	NOA1
62	PBDC1
63	PTGS2
64	RCOR2
65	RECQL4
66	RNFT1
67	RPS6
68	TACR2
69	TBX3
70	ABCF3
71	AGAP5
72	ALKBH1
73	ALOXE3
74	AMBP
75	AP4B1
76	ARHGEF26
77	ARL6IP6
78	B4GALT3
79	C19orf40
80	CCR7
81	CD2
82	CDCA2
83	CDK11A
84	CHRD
85	COA6
86	CSMD3
87	CTSF
88	DCST2
89	DFNB59
90	DLX5
91	EEF2
92	EIF3L
93	EME1
94	EMILIN1
95	EMILIN3
96	EPHX3
97	EXOSC9
98	FAM155B
99	FCGR1A
100	FIBP
101	FN1
102	FOXA1
103	GDF9
104	GLDC
105	GORAB
106	GPKOW
107	GRID1
108	GYLTL1B
109	H3F3A
110	HEATR1
111	HSPA8
112	IBSP
113	IDH3B
114	IGBP1
115	ITPR3
116	KBTBD4
117	KCNH3
118	KIF17
119	KNSTRN
120	KRT6C
121	KRT79
122	LDB2
123	LRIF1
124	MAGEE1
125	MAPK15
126	MKS1
127	MMP3
128	MMP9
129	MPHOSPH10
130	MRPL45
131	MRPL9
132	MST1R
133	MYOC
134	NAIF1
135	NAT9
136	NPC1L1
137	PAF1
138	PHLPP1
139	PIM2
140	PIP4K2C
141	PLEKHH3
142	PLK2
143	PLK4
144	PNPO
145	PRMT5
146	PRR14
147	QARS
148	RABGGTA
149	RAD51C
150	RANBP6
151	RBM24
152	RIMS1
153	RNF207
154	ROBO4
155	RPS5
156	SAFB2
157	SCCPDH
158	SCYL1
159	SIGLEC7
160	SKIV2L
161	SLC2A6
162	SLC38A5
163	SLC39A6
164	SMARCD1
165	SNF8
166	SOX9
167	SPOCD1
168	STX10
169	TARBP2
170	TCTN2
171	THEM5
172	TOR1A
173	TOR1AIP1
174	TROAP
175	TSPAN12
176	TTC21A
177	VIM
178	WBSCR27
179	WDR46
180	ZMYM3
181	ZMYND15
182	ZNF74
183	ESF1
184	LPCAT3
185	MAP3K11
186	PHF12
187	SMARCAL1
188	ZYX
189	ABCB7
190	ABCC6
191	ABCC8
192	ABI3
193	ABTB2
