Samples	SBS96A	SBS96B
TCGA-3C-AAAU-01A-11D-A41F-09	42	5
TCGA-3C-AALI-01A-11D-A41F-09	71	721
TCGA-3C-AALJ-01A-31D-A41F-09	50	6
TCGA-3C-AALK-01A-11D-A41F-09	55	11
TCGA-4H-AAAK-01A-12D-A41F-09	35	0
TCGA-5L-AAT0-01A-12D-A41F-09	35	222
TCGA-5L-AAT1-01A-12D-A41F-09	25	1911
TCGA-5T-A9QA-01A-11D-A41F-09	64	1
TCGA-A1-A0SD-01A-11D-A10Y-09	38	2
TCGA-A1-A0SE-01A-11D-A099-09	28	7
TCGA-A1-A0SF-01A-11D-A142-09	21	35
TCGA-A1-A0SG-01A-11D-A142-09	27	3
TCGA-A1-A0SH-01A-11D-A099-09	30	100
TCGA-A1-A0SI-01A-11D-A142-09	0	259
TCGA-A1-A0SJ-01A-11D-A099-09	28	3
TCGA-A1-A0SK-01A-12D-A099-09	81	5
TCGA-A1-A0SM-01A-11D-A099-09	38	1
TCGA-A1-A0SN-01A-11D-A142-09	59	27
TCGA-A1-A0SO-01A-22D-A099-09	318	55
TCGA-A1-A0SP-01A-11D-A099-09	58	2
TCGA-A1-A0SQ-01A-21D-A142-09	31	5
TCGA-A2-A04N-01A-11D-A10Y-09	45	9
TCGA-A2-A04P-01A-31D-A128-09	135	30
TCGA-A2-A04Q-01A-21W-A050-09	56	12
TCGA-A2-A04R-01A-41D-A117-09	87	14
TCGA-A2-A04T-01A-21W-A050-09	97	22
TCGA-A2-A04U-01A-11D-A10Y-09	62	3
TCGA-A2-A04V-01A-21W-A050-09	42	8
TCGA-A2-A04W-01A-31D-A10Y-09	46	139
TCGA-A2-A04X-01A-21W-A050-09	19	31
TCGA-A2-A04Y-01A-21W-A050-09	46	15
TCGA-A2-A0CK-01A-11D-A228-09	28	3
TCGA-A2-A0CL-01A-11D-A10Y-09	31	138
TCGA-A2-A0CM-01A-31W-A050-09	36	48
TCGA-A2-A0CP-01A-11W-A050-09	148	10
TCGA-A2-A0CQ-01A-21W-A050-09	59	3
TCGA-A2-A0CR-01A-11D-A228-09	1	200
TCGA-A2-A0CS-01A-11D-A10Y-09	50	0
TCGA-A2-A0CT-01A-31W-A071-09	92	43
TCGA-A2-A0CU-01A-12W-A050-09	54	11
TCGA-A2-A0CV-01A-31D-A10Y-09	23	1
TCGA-A2-A0CW-01A-21D-A10Y-09	45	26
TCGA-A2-A0CX-01A-21W-A019-09	65	305
TCGA-A2-A0D0-01A-11W-A019-09	75	22
TCGA-A2-A0D1-01A-11W-A050-09	89	29
TCGA-A2-A0D2-01A-21W-A050-09	85	26
