Samples	SBS1	SBS2	SBS4	SBS5	SBS7a	SBS10a	SBS10b	SBS13	SBS15	SBS23
TCGA-2F-A9KO-01A-11D-A38G-08	3	40	0	16	0	0	27	67	0	0
TCGA-2F-A9KP-01A-11D-A38G-08	8	5	0	10	0	0	6	9	0	0
TCGA-2F-A9KQ-01A-11D-A38G-08	0	0	0	5	5	0	5	0	0	0
TCGA-2F-A9KR-01A-11D-A38G-08	12	18	0	7	15	0	14	19	0	0
TCGA-2F-A9KT-01A-11D-A38G-08	4	19	0	0	30	0	0	40	0	0
TCGA-2F-A9KW-01A-11D-A38G-08	3	4	0	6	9	0	6	8	0	0
TCGA-4Z-AA7M-01A-11D-A391-08	10	43	0	14	0	0	22	50	0	0
TCGA-4Z-AA7N-01A-11D-A391-08	0	2	0	0	0	0	0	3	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	7	14	0	17	0	0	0	15	0	0
TCGA-4Z-AA7Q-01A-11D-A391-08	3	10	0	8	0	0	9	23	0	0
TCGA-4Z-AA7R-01A-11D-A391-08	5	23	0	27	0	0	0	32	0	0
TCGA-4Z-AA7S-01A-11D-A391-08	6	0	0	10	0	0	0	0	6	0
TCGA-4Z-AA7W-01A-11D-A391-08	5	51	0	10	0	0	0	80	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	4	26	0	19	0	0	0	20	0	0
TCGA-4Z-AA80-01A-11D-A391-08	4	27	0	36	0	0	15	28	0	0
TCGA-4Z-AA81-01A-11D-A391-08	2	18	0	5	12	0	0	21	0	0
TCGA-4Z-AA82-01A-11D-A391-08	6	3	0	2	0	0	0	6	0	7
TCGA-4Z-AA83-01A-11D-A391-08	4	6	0	9	0	0	0	9	0	0
TCGA-4Z-AA84-01A-11D-A391-08	8	64	0	42	0	0	19	0	0	0
TCGA-4Z-AA86-01A-11D-A391-08	3	22	0	0	0	0	10	18	0	0
TCGA-4Z-AA87-01A-11D-A391-08	11	16	0	6	14	0	0	21	0	0
TCGA-4Z-AA89-01A-11D-A391-08	3	7	0	0	0	0	4	13	0	0
