Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-2F-A9KO-01A-11D-A38G-08	331	142	0	0	0
TCGA-2F-A9KP-01A-11D-A38G-08	29	33	0	44	0
TCGA-2F-A9KQ-01A-11D-A38G-08	7	10	0	36	0
TCGA-2F-A9KR-01A-11D-A38G-08	77	84	0	0	19
TCGA-2F-A9KT-01A-11D-A38G-08	172	86	0	0	37
TCGA-2F-A9KW-01A-11D-A38G-08	8	20	30	37	0
TCGA-4Z-AA7M-01A-11D-A391-08	244	115	0	63	0
TCGA-4Z-AA7N-01A-11D-A391-08	0	8	0	7	0
TCGA-4Z-AA7O-01A-31D-A391-08	46	38	51	38	0
TCGA-4Z-AA7Q-01A-11D-A391-08	140	30	0	45	0
TCGA-4Z-AA7R-01A-11D-A391-08	168	110	0	0	34
TCGA-4Z-AA7S-01A-11D-A391-08	0	0	0	36	8
TCGA-4Z-AA7W-01A-11D-A391-08	330	131	0	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	135	104	0	0	0
TCGA-4Z-AA80-01A-11D-A391-08	150	83	0	66	53
TCGA-4Z-AA81-01A-11D-A391-08	80	69	0	0	25
TCGA-4Z-AA82-01A-11D-A391-08	17	32	0	47	0
TCGA-4Z-AA83-01A-11D-A391-08	13	21	0	37	0
TCGA-4Z-AA84-01A-11D-A391-08	0	232	191	0	0
TCGA-4Z-AA86-01A-11D-A391-08	133	42	0	0	15
TCGA-4Z-AA87-01A-11D-A391-08	92	43	0	58	0
TCGA-4Z-AA89-01A-11D-A391-08	62	30	0	26	0
TCGA-5N-A9KI-01A-31D-A42E-08	41	60	0	37	16
TCGA-5N-A9KM-01A-11D-A42E-08	0	22	130	38	0
TCGA-BL-A0C8-01A-11D-A271-08	36	26	0	51	0
TCGA-BL-A13I-01A-11D-A271-08	38	10	41	16	0
TCGA-BL-A13J-01A-11D-A271-08	26	9	45	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	43	36	52	31	0
TCGA-BL-A5ZZ-01A-31D-A30E-08	22	36	35	37	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	26	9	0
