Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-DK-A1AA-01A-11D-A13W-08	9	9	63	14	7
TCGA-DK-A1AB-01A-11D-A13W-08	142	90	0	12	0
TCGA-DK-A1AC-01A-11D-A13W-08	465	1313	74	6	44
TCGA-DK-A1AD-01A-11D-A13W-08	87	56	92	38	16
TCGA-DK-A1AE-01A-11D-A13W-08	52	40	23	25	2
TCGA-DK-A1AF-01A-11D-A13W-08	63	31	16	0	5
TCGA-DK-A1AG-01A-11D-A13W-08	76	46	5	29	13
TCGA-DK-A2HX-01A-12D-A18F-08	28	42	23	30	7
TCGA-DK-A2I1-01A-11D-A17V-08	136	67	0	21	14
TCGA-DK-A2I2-01A-11D-A17V-08	20	34	41	16	0
TCGA-DK-A2I4-01A-11D-A21A-08	495	582	0	18	29
TCGA-DK-A2I6-01A-12D-A18F-08	48	115	160	21	21
TCGA-DK-A3IK-01A-32D-A21A-08	94	16	73	54	16
TCGA-DK-A3IL-01A-11D-A20D-08	19	5	132	36	25
TCGA-DK-A3IM-01A-11D-A20D-08	1	5	45	48	2
TCGA-DK-A3IN-01A-11D-A20D-08	241	150	35	26	10
TCGA-DK-A3IQ-01A-31D-A20D-08	86	75	15	31	12
TCGA-DK-A3IS-01A-21D-A21A-08	205	171	0	46	6
TCGA-DK-A3IT-01A-31D-A20D-08	353	76	52	11	10
TCGA-DK-A3IU-01A-11D-A20D-08	194	201	82	26	5
TCGA-DK-A3IV-01A-22D-A21A-08	20	24	24	15	6
TCGA-DK-A3WW-01A-22D-A23M-08	817	615	25	1	75
TCGA-DK-A3WX-01A-22D-A22Z-08	5	15	6	27	0
TCGA-DK-A3WY-01A-11D-A22Z-08	11	6	0	2	0
TCGA-DK-A3X1-01A-12D-A22Z-08	498	471	37	0	111
TCGA-DK-A3X2-01A-11D-A22Z-08	27	21	23	72	4
TCGA-DK-A6AV-01A-12D-A30E-08	38	44	35	29	9
TCGA-DK-A6AW-01A-11D-A30E-08	0	4	0	0	4962
TCGA-DK-A6B0-01A-11D-A31L-08	2	1	13	9	0
TCGA-DK-A6B1-01A-12D-A30E-08	31	55	28	56	10
TCGA-DK-A6B2-01A-11D-A30E-08	54	37	77	63	13
TCGA-DK-A6B5-01A-11D-A31L-08	60	46	53	9	1
TCGA-DK-A6B6-01A-11D-A30E-08	402	864	0	9	0
TCGA-DK-AA6L-01A-11D-A391-08	269	114	49	23	0
TCGA-DK-AA6M-01A-11D-A391-08	8	18	2	45	13
TCGA-DK-AA6P-01A-11D-A391-08	70	72	56	14	7
TCGA-DK-AA6Q-01A-11D-A391-08	59	28	36	17	5
TCGA-DK-AA6R-01A-11D-A42E-08	79	52	231	36	15
TCGA-DK-AA6S-01A-21D-A391-08	403	187	84	12	0
TCGA-DK-AA6T-01A-11D-A391-08	22	0	20	28	13
TCGA-DK-AA6U-01A-11D-A391-08	141	107	217	49	20
TCGA-DK-AA6W-01A-12D-A391-08	142	88	0	77	3
TCGA-DK-AA6X-01A-12D-A42E-08	67	24	8	18	10
TCGA-DK-AA71-01A-31D-A391-08	475	347	0	13	0
TCGA-DK-AA74-01A-11D-A391-08	136	54	35	15	7
TCGA-DK-AA75-01A-11D-A391-08	130	329	72	36	68
TCGA-DK-AA76-01A-11D-A391-08	101	61	78	29	23
TCGA-DK-AA77-01A-11D-A391-08	52	82	260	82	3
TCGA-E5-A2PC-01A-11D-A202-08	35	60	158	30	13
TCGA-E5-A4TZ-01A-11D-A31L-08	312	96	18	147	5
TCGA-E5-A4U1-01A-11D-A31L-08	416	206	71	39	16
TCGA-E7-A3X6-01A-12D-A22Z-08	53	36	9	18	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	10	13	112	58	1
TCGA-E7-A4IJ-01A-31D-A26M-08	172	92	132	14	28
TCGA-E7-A4XJ-01A-11D-A26M-08	0	3	0	41	6
TCGA-E7-A519-01A-11D-A26M-08	11	12	42	18	1
TCGA-E7-A541-01A-11D-A26M-08	193	127	174	48	6
TCGA-E7-A5KE-01A-11D-A289-08	41	70	79	80	13
TCGA-E7-A5KF-01A-11D-A289-08	118	98	37	2	9
TCGA-E7-A677-01A-11D-A30E-08	19	24	174	56	14
TCGA-E7-A678-01A-11D-A30E-08	4	2	30	27	2
TCGA-E7-A6MD-01A-41D-A34U-08	281	182	34	59	22
TCGA-E7-A6ME-01A-22D-A32B-08	17	0	108	31	1
TCGA-E7-A6MF-01A-12D-A32B-08	33	25	0	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	159	146	0	23	9
TCGA-E7-A7DV-01A-11D-A339-08	246	41	8	26	17
TCGA-E7-A7PW-01A-11D-A34U-08	27	28	21	21	9
TCGA-E7-A7XN-01A-11D-A34U-08	802	328	14	0	0
TCGA-E7-A85H-01A-11D-A34U-08	32	62	334	78	11
TCGA-E7-A8O7-01A-11D-A364-08	8	4	8	18	2
TCGA-E7-A8O8-01A-11D-A364-08	16	20	49	59	5
TCGA-E7-A97P-01A-11D-A38G-08	34	14	151	37	9
TCGA-E7-A97Q-01A-11D-A38G-08	13	10	27	15	4
TCGA-FD-A3B3-01A-12D-A202-08	68	42	38	37	8
TCGA-FD-A3B4-01A-12D-A202-08	5	0	40	25	22
TCGA-FD-A3B5-01A-11D-A20D-08	71	33	24	27	20
TCGA-FD-A3B6-01A-21D-A20D-08	149	58	62	36	9
TCGA-FD-A3B7-01A-31D-A20D-08	14	1	29	28	2
TCGA-FD-A3B8-01A-31D-A20D-08	20	6	0	6	3
TCGA-FD-A3N5-01A-11D-A21A-08	11	22	320	51	12
TCGA-FD-A3N6-01A-11D-A21A-08	16	31	0	63	29
TCGA-FD-A3NA-01A-11D-A21A-08	100	67	21	15	2
TCGA-FD-A3SJ-01A-12D-A22Z-08	115	40	103	45	0
TCGA-FD-A3SL-01A-21D-A22Z-08	65	10	141	48	21
TCGA-FD-A3SM-01A-11D-A22Z-08	115	54	15	38	0
TCGA-FD-A3SN-01A-12D-A22Z-08	87	305	69	30	43
TCGA-FD-A3SO-01A-11D-A22Z-08	217	198	12	17	20
TCGA-FD-A3SP-01A-31D-A22Z-08	39	38	10	50	8
TCGA-FD-A3SQ-01A-21D-A22Z-08	12	20	11	40	9
TCGA-FD-A3SR-01A-11D-A22Z-08	59	19	31	40	20
TCGA-FD-A3SS-01A-12D-A22Z-08	243	306	5	0	61
TCGA-FD-A43N-01A-11D-A23U-08	90	9	19	100	5
TCGA-FD-A43P-01A-31D-A23U-08	243	86	100	51	22
TCGA-FD-A43S-01A-21D-A23U-08	0	0	1	0	0
TCGA-FD-A43U-01A-11D-A23U-08	0	14	30	43	6
TCGA-FD-A43X-01A-11D-A23U-08	188	108	50	46	8
TCGA-FD-A43Y-01A-21D-A26M-08	4	5	54	16	0
TCGA-FD-A5BR-01A-11D-A26M-08	5	6	39	45	7
TCGA-FD-A5BS-01A-21D-A26M-08	5	14	10	2	4
TCGA-FD-A5BT-01A-11D-A26M-08	83	20	20	33	12
TCGA-FD-A5BU-01A-31D-A26M-08	9	4	24	42	0
TCGA-FD-A5BV-01A-11D-A26M-08	16	2	90	40	0
TCGA-FD-A5BX-01A-11D-A26M-08	246	149	10	10	10
TCGA-FD-A5BY-01A-31D-A289-08	13	12	9	25	2
TCGA-FD-A5BZ-01A-11D-A289-08	46	27	30	40	21
TCGA-FD-A5C0-01A-11D-A289-08	10	23	68	53	4
TCGA-FD-A5C1-01A-11D-A289-08	71	27	9	67	4
TCGA-FD-A62N-01A-11D-A30E-08	6	8	67	19	12
TCGA-FD-A62O-01A-11D-A30E-08	89	60	0	48	28
TCGA-FD-A62P-01A-32D-A30E-08	247	123	25	46	23
TCGA-FD-A62S-01A-11D-A30E-08	2	5	46	34	0
TCGA-FD-A6TA-01A-12D-A339-08	207	92	0	9	8
TCGA-FD-A6TB-01A-12D-A339-08	142	46	0	21	14
TCGA-FD-A6TC-01A-21D-A339-08	688	394	47	21	36
TCGA-FD-A6TD-01A-51D-A339-08	42	53	29	36	0
TCGA-FD-A6TE-01A-12D-A339-08	166	85	6	28	5
TCGA-FD-A6TF-01A-52D-A32B-08	85	24	35	37	0
TCGA-FD-A6TG-01A-11D-A32B-08	178	74	177	35	10
TCGA-FD-A6TH-01A-11D-A32B-08	57	56	40	42	10
TCGA-FD-A6TI-01A-11D-A32B-08	6	7	54	61	19
TCGA-FD-A6TK-01A-42D-A339-08	27	35	38	27	0
TCGA-FJ-A3Z7-01A-12D-A23M-08	178	128	62	41	0
TCGA-FJ-A3Z9-01A-11D-A26M-08	9	7	0	57	9
TCGA-FJ-A3ZE-01A-11D-A23M-08	48	0	404	42	44
TCGA-FJ-A3ZF-01A-11D-A23M-08	99	92	61	63	10
TCGA-FJ-A871-01A-11D-A34U-08	2	3	22	34	0
TCGA-FT-A3EE-01A-11D-A202-08	8	39	58	40	9
TCGA-FT-A61P-01A-11D-A30E-08	32	37	83	42	10
TCGA-G2-A2EC-01A-11D-A17V-08	87	52	32	22	12
TCGA-G2-A2EF-01A-12D-A18F-08	152	111	29	23	0
TCGA-G2-A2EJ-01A-11D-A17V-08	193	56	46	47	12
TCGA-G2-A2EK-01A-22D-A18F-08	25	9	0	42	0
TCGA-G2-A2EL-01A-12D-A18F-08	184	54	18	33	12
TCGA-G2-A2EO-01A-11D-A17V-08	678	403	0	8	0
TCGA-G2-A2ES-01A-11D-A17V-08	59	169	236	35	25
