Samples	SBS96A	SBS96B
TCGA-DK-A3IU-01A-11D-A20D-08	308	59
TCGA-DK-A3IV-01A-22D-A21A-08	27	35
TCGA-DK-A3WW-01A-22D-A23M-08	901	117
TCGA-DK-A3WX-01A-22D-A22Z-08	11	24
TCGA-DK-A3WY-01A-11D-A22Z-08	9	0
TCGA-DK-A3X1-01A-12D-A22Z-08	559	173
TCGA-DK-A3X2-01A-11D-A22Z-08	27	70
TCGA-DK-A6AV-01A-12D-A30E-08	52	49
TCGA-DK-A6AW-01A-11D-A30E-08	0	3601
TCGA-DK-A6B0-01A-11D-A31L-08	3	19
TCGA-DK-A6B1-01A-12D-A30E-08	51	67
TCGA-DK-A6B2-01A-11D-A30E-08	71	103
TCGA-DK-A6B5-01A-11D-A31L-08	70	30
TCGA-DK-A6B6-01A-11D-A30E-08	765	40
TCGA-DK-AA6L-01A-11D-A391-08	298	39
TCGA-DK-AA6M-01A-11D-A391-08	12	42
TCGA-DK-AA6P-01A-11D-A391-08	102	41
TCGA-DK-AA6Q-01A-11D-A391-08	61	44
TCGA-DK-AA6R-01A-11D-A42E-08	120	160
TCGA-DK-AA6S-01A-21D-A391-08	452	21
TCGA-DK-AA6T-01A-11D-A391-08	11	53
TCGA-DK-AA6U-01A-11D-A391-08	189	173
TCGA-DK-AA6W-01A-12D-A391-08	162	62
TCGA-DK-AA6X-01A-12D-A42E-08	68	27
TCGA-DK-AA71-01A-31D-A391-08	586	13
TCGA-DK-AA74-01A-11D-A391-08	133	34
TCGA-DK-AA75-01A-11D-A391-08	263	149
TCGA-DK-AA76-01A-11D-A391-08	112	96
TCGA-DK-AA77-01A-11D-A391-08	129	212
TCGA-E5-A2PC-01A-11D-A202-08	73	121
TCGA-E5-A4TZ-01A-11D-A31L-08	286	119
TCGA-E5-A4U1-01A-11D-A31L-08	428	70
TCGA-E7-A3X6-01A-12D-A22Z-08	56	16
TCGA-E7-A3Y1-01A-11D-A22Z-08	21	101
TCGA-E7-A4IJ-01A-31D-A26M-08	198	104
TCGA-E7-A4XJ-01A-11D-A26M-08	1	40
TCGA-E7-A519-01A-11D-A26M-08	22	37
TCGA-E7-A541-01A-11D-A26M-08	280	108
TCGA-E7-A5KE-01A-11D-A289-08	69	105
TCGA-E7-A5KF-01A-11D-A289-08	146	27
TCGA-E7-A677-01A-11D-A30E-08	46	146
TCGA-E7-A678-01A-11D-A30E-08	6	48
TCGA-E7-A6MD-01A-41D-A34U-08	320	72
TCGA-E7-A6ME-01A-22D-A32B-08	19	91
TCGA-E7-A6MF-01A-12D-A32B-08	36	2
TCGA-E7-A7DU-01A-11D-A32B-08	209	29
TCGA-E7-A7DV-01A-11D-A339-08	220	30
TCGA-E7-A7PW-01A-11D-A34U-08	34	36
TCGA-E7-A7XN-01A-11D-A34U-08	806	0
TCGA-E7-A85H-01A-11D-A34U-08	82	267
TCGA-E7-A8O7-01A-11D-A364-08	7	21
TCGA-E7-A8O8-01A-11D-A364-08	27	82
TCGA-E7-A97P-01A-11D-A38G-08	53	109
TCGA-E7-A97Q-01A-11D-A38G-08	17	24
TCGA-FD-A3B3-01A-12D-A202-08	76	59
TCGA-FD-A3B4-01A-12D-A202-08	0	62
TCGA-FD-A3B5-01A-11D-A20D-08	73	48
TCGA-FD-A3B6-01A-21D-A20D-08	161	75
TCGA-FD-A3B7-01A-31D-A20D-08	13	38
TCGA-FD-A3B8-01A-31D-A20D-08	23	3
TCGA-FD-A3N5-01A-11D-A21A-08	32	251
TCGA-FD-A3N6-01A-11D-A21A-08	24	75
TCGA-FD-A3NA-01A-11D-A21A-08	124	31
TCGA-FD-A3SJ-01A-12D-A22Z-08	149	54
TCGA-FD-A3SL-01A-21D-A22Z-08	66	121
TCGA-FD-A3SM-01A-11D-A22Z-08	110	45
TCGA-FD-A3SN-01A-12D-A22Z-08	241	124
TCGA-FD-A3SO-01A-11D-A22Z-08	271	44
TCGA-FD-A3SP-01A-31D-A22Z-08	44	58
TCGA-FD-A3SQ-01A-21D-A22Z-08	17	50
TCGA-FD-A3SR-01A-11D-A22Z-08	52	65
TCGA-FD-A3SS-01A-12D-A22Z-08	319	89
TCGA-FD-A43N-01A-11D-A23U-08	53	90
TCGA-FD-A43P-01A-31D-A23U-08	240	94
TCGA-FD-A43U-01A-11D-A23U-08	9	60
TCGA-FD-A43X-01A-11D-A23U-08	223	53
TCGA-FD-A43Y-01A-21D-A26M-08	10	41
TCGA-FD-A5BR-01A-11D-A26M-08	11	68
TCGA-FD-A5BS-01A-21D-A26M-08	9	15
TCGA-FD-A5BT-01A-11D-A26M-08	59	51
TCGA-FD-A5BU-01A-31D-A26M-08	5	45
TCGA-FD-A5BV-01A-11D-A26M-08	23	91
TCGA-FD-A5BX-01A-11D-A26M-08	244	20
TCGA-FD-A5BY-01A-31D-A289-08	17	22
TCGA-FD-A5BZ-01A-11D-A289-08	48	65
TCGA-FD-A5C0-01A-11D-A289-08	24	74
TCGA-FD-A5C1-01A-11D-A289-08	52	54
TCGA-FD-A62N-01A-11D-A30E-08	13	68
TCGA-FD-A62O-01A-11D-A30E-08	84	63
TCGA-FD-A62P-01A-32D-A30E-08	259	50
TCGA-FD-A62S-01A-11D-A30E-08	2	55
TCGA-FD-A6TA-01A-12D-A339-08	191	22
TCGA-FD-A6TB-01A-12D-A339-08	133	24
TCGA-FD-A6TC-01A-21D-A339-08	705	97
TCGA-FD-A6TD-01A-51D-A339-08	65	47
TCGA-FD-A6TE-01A-12D-A339-08	146	46
TCGA-FD-A6TF-01A-52D-A32B-08	81	30
TCGA-FD-A6TG-01A-11D-A32B-08	204	102
TCGA-FD-A6TH-01A-11D-A32B-08	73	63
TCGA-FD-A6TI-01A-11D-A32B-08	6	95
TCGA-FD-A6TK-01A-42D-A339-08	52	35
TCGA-FJ-A3Z7-01A-12D-A23M-08	226	60
TCGA-FJ-A3Z9-01A-11D-A26M-08	6	51
TCGA-FJ-A3ZE-01A-11D-A23M-08	57	330
TCGA-FJ-A3ZF-01A-11D-A23M-08	139	79
TCGA-FJ-A871-01A-11D-A34U-08	2	41
TCGA-FT-A3EE-01A-11D-A202-08	28	66
TCGA-FT-A61P-01A-11D-A30E-08	49	76
TCGA-G2-A2EC-01A-11D-A17V-08	85	47
TCGA-G2-A2EF-01A-12D-A18F-08	154	45
TCGA-G2-A2EJ-01A-11D-A17V-08	173	81
TCGA-G2-A2EK-01A-22D-A18F-08	29	22
TCGA-G2-A2EL-01A-12D-A18F-08	171	41
TCGA-G2-A2EO-01A-11D-A17V-08	728	0
TCGA-G2-A2ES-01A-11D-A17V-08	158	183
TCGA-G2-A3IB-01A-11D-A20D-08	29	60
TCGA-G2-A3IE-01A-11D-A20D-08	245	52
TCGA-G2-A3VY-01A-11D-A22Z-08	645	0
TCGA-G2-AA3B-01A-11D-A391-08	634	0
TCGA-G2-AA3C-01A-21D-A391-08	156	36
TCGA-G2-AA3D-01A-11D-A391-08	169	0
TCGA-G2-AA3F-01A-12D-A42E-08	58	64
TCGA-GC-A3BM-01A-11D-A22Z-08	29	74
TCGA-GC-A3I6-01A-11D-A20D-08	143	27
TCGA-GC-A3OO-01A-11D-A22Z-08	90	15
TCGA-GC-A3RB-01A-12D-A21Z-08	92	51
TCGA-GC-A3RC-01A-11D-A22Z-08	172	148
TCGA-GC-A3RD-01A-12D-A22Z-08	32	38
TCGA-GC-A3WC-01A-31D-A22Z-08	74	61
TCGA-GC-A3YS-01A-11D-A23M-08	142	76
TCGA-GC-A4ZW-01A-11D-A26M-08	533	37
TCGA-GC-A6I1-01A-12D-A31L-08	190	21
TCGA-GC-A6I3-01A-11D-A31L-08	117	95
TCGA-GD-A2C5-01A-12D-A17V-08	129	78
TCGA-GD-A3OP-01A-21D-A21Z-08	224	82
TCGA-GD-A3OQ-01A-32D-A21Z-08	44	37
TCGA-GD-A3OS-01A-12D-A21Z-08	23	63
TCGA-GD-A6C6-01A-21D-A31L-08	172	72
TCGA-GD-A76B-01A-11D-A32B-08	104	51
TCGA-GU-A42P-01A-11D-A23U-08	161	79
TCGA-GU-A42Q-01A-11D-A23U-08	99	59
TCGA-GU-A42R-01A-11D-A23M-08	103	46
TCGA-GU-A762-01A-11D-A339-08	31	53
TCGA-GU-A763-01A-11D-A32B-08	27	32
TCGA-GU-A764-01A-11D-A34U-08	55	44
TCGA-GU-A766-01A-11D-A32B-08	129	52
TCGA-GU-A767-01A-11D-A32B-08	163	172
TCGA-GU-AATO-01A-11D-A391-08	241	31
TCGA-GU-AATP-01A-11D-A391-08	178	76
TCGA-GU-AATQ-01A-11D-A391-08	101	42
TCGA-GV-A3JV-01A-11D-A21Z-08	17	85
TCGA-GV-A3JW-01A-11D-A20D-08	39	28
TCGA-GV-A3JX-01A-11D-A20D-08	195	35
TCGA-GV-A3JZ-01A-11D-A21A-08	254	118
TCGA-GV-A3QF-01A-31D-A22Z-08	16	93
TCGA-GV-A3QG-01A-11D-A21Z-08	29	50
TCGA-GV-A3QH-01A-11D-A21Z-08	84	48
TCGA-GV-A3QI-01A-11D-A21Z-08	156	241
TCGA-GV-A3QK-01B-11D-A23M-08	51	75
TCGA-GV-A40E-01A-12D-A23M-08	96	42
TCGA-GV-A40G-01A-11D-A23M-08	36	88
TCGA-GV-A6ZA-01A-12D-A339-08	198	59
TCGA-H4-A2HO-01A-11D-A17V-08	21	47
TCGA-H4-A2HQ-01A-11D-A17V-08	279	95
TCGA-HQ-A2OE-01A-11D-A202-08	50	66
TCGA-HQ-A2OF-01A-11D-A26M-08	7	80
TCGA-HQ-A5ND-01A-11D-A26M-08	16	56
TCGA-HQ-A5NE-01A-12D-A289-08	256	56
TCGA-K4-A3WS-01A-11D-A22Z-08	192	49
TCGA-K4-A3WU-01B-11D-A23M-08	90	59
TCGA-K4-A3WV-01A-11D-A22Z-08	2	49
TCGA-K4-A4AB-01B-12D-A289-08	19	61
TCGA-K4-A4AC-01A-21D-A26M-08	53	64
TCGA-K4-A54R-01A-11D-A26M-08	725	73
TCGA-K4-A5RH-01A-11D-A30E-08	83	66
TCGA-K4-A5RI-01A-11D-A289-08	44	71
TCGA-K4-A5RJ-01A-11D-A289-08	274	45
TCGA-K4-A6FZ-01A-11D-A31L-08	219	120
TCGA-K4-A6MB-01A-11D-A31L-08	212	78
TCGA-K4-A83P-01A-11D-A34U-08	148	68
TCGA-K4-AAQO-01A-11D-A38G-08	125	82
TCGA-KQ-A41N-01A-11D-A339-08	53	128
TCGA-KQ-A41O-01A-12D-A34U-08	163	64
TCGA-KQ-A41P-01A-12D-A339-08	220	47
TCGA-KQ-A41Q-01A-11D-A339-08	61	74
TCGA-KQ-A41R-01A-21D-A34U-08	357	289
TCGA-KQ-A41S-01A-12D-A339-08	171	25
TCGA-LC-A66R-01A-41D-A30E-08	58	51
TCGA-LT-A5Z6-01A-11D-A289-08	413	23
TCGA-LT-A8JT-01A-11D-A364-08	23	39
TCGA-MV-A51V-01A-11D-A26M-08	1399	0
TCGA-PQ-A6FI-01A-11D-A31L-08	88	49
TCGA-PQ-A6FN-01A-11D-A31L-08	29	35
TCGA-R3-A69X-01A-22D-A30E-08	148	36
TCGA-S5-A6DX-01A-11D-A31L-08	447	100
TCGA-S5-AA26-01A-11D-A38G-08	148	40
TCGA-SY-A9G0-01A-12D-A38G-08	24	20
TCGA-SY-A9G5-01A-11D-A38G-08	848	16
TCGA-UY-A78K-01A-11D-A339-08	306	403
TCGA-UY-A78L-01A-12D-A339-08	149	42
TCGA-UY-A78M-01A-21D-A34U-08	60	49
TCGA-UY-A78N-01A-12D-A339-08	24	163
TCGA-UY-A78O-01A-12D-A339-08	80	81
TCGA-UY-A78P-01A-12D-A364-08	231	14
TCGA-UY-A8OB-01A-12D-A42E-08	113	179
TCGA-UY-A8OC-01A-11D-A364-08	42	35
TCGA-UY-A8OD-01A-11D-A364-08	33	50
TCGA-UY-A9PA-01A-11D-A38G-08	63	81
TCGA-UY-A9PB-01A-11D-A38G-08	350	159
