Samples	SBS96A	SBS96B	SBS96C
TCGA-A2-A3XU-01A-12D-A22X-09	21	0	1
TCGA-A2-A3XV-01A-21D-A23C-09	34	0	2
TCGA-A2-A3XW-01A-11D-A23C-09	5	2	4
TCGA-A2-A3XX-01A-21D-A23C-09	31	4	10
TCGA-A2-A3XZ-01A-42D-A23C-09	16	18	7
TCGA-A2-A3Y0-01A-11D-A23C-09	141	43	4
TCGA-A2-A4S1-01A-21D-A25Q-09	58	9	3
TCGA-A2-A4S2-01A-12D-A25Q-09	25	7	0
TCGA-A2-A4S3-01A-21D-A25Q-09	60	12	9
TCGA-A7-A0CD-01A-11W-A019-09	30	1	2
TCGA-A7-A0CE-01A-11W-A019-09	87	25	19
TCGA-A7-A0CG-01A-11W-A019-09	43	14	7
TCGA-A7-A0CJ-01A-21W-A019-09	59	8	5
TCGA-A7-A0D9-01A-31W-A071-09	15	6	1
TCGA-A7-A0DA-01A-31D-A10Y-09	100	27	15
TCGA-A7-A0DB-01A-11D-A272-09	21	19	3
TCGA-A7-A13D-01A-13D-A272-09	67	25	7
TCGA-A7-A13E-01A-11D-A272-09	28	2	2
TCGA-A7-A13F-01A-11D-A12Q-09	23	4	8
TCGA-A7-A13G-01A-11D-A13L-09	15	7	0
TCGA-A7-A26E-01A-11D-A272-09	27	14	8
TCGA-A7-A26F-01A-21D-A167-09	32	5	7
TCGA-A7-A26G-01A-21D-A167-09	34	21	4
TCGA-A7-A26H-01A-11D-A167-09	55	53	3
TCGA-A7-A26I-01A-11D-A167-09	23	9	4
TCGA-A7-A26J-01A-11D-A272-09	26	4	1
TCGA-A7-A2KD-01A-31D-A21Q-09	36	4	5
TCGA-A7-A3RF-01A-11D-A228-09	31	2	0
TCGA-A7-A425-01A-11D-A243-09	33	0	0
TCGA-A7-A4SC-01A-12D-A25Q-09	22	2	5
TCGA-A7-A4SD-01A-11D-A25Q-09	39	3	5
TCGA-A7-A4SE-01A-11D-A25Q-09	58	53	0
TCGA-A7-A56D-01A-11D-A27P-09	52	65	11
TCGA-A7-A5ZW-01A-12D-A29N-09	18	7	5
TCGA-A7-A5ZX-01A-12D-A29N-09	18	6	4
TCGA-A7-A6VV-01A-22D-A33E-09	43	6	3
TCGA-A7-A6VW-01A-21D-A33E-09	50	10	3
TCGA-A7-A6VX-01A-12D-A33E-09	86	53	7
TCGA-A7-A6VY-01A-12D-A33E-09	73	27	5
TCGA-A8-A06O-01A-11W-A019-09	70	3	4
TCGA-A8-A06P-01A-11W-A019-09	44	16	2
TCGA-A8-A06Q-01A-11W-A050-09	32	193	28
TCGA-A8-A06R-01A-11D-A015-09	44	10	1
TCGA-A8-A06T-01A-11W-A019-09	26	5	0
TCGA-A8-A06U-01A-11W-A019-09	63	9	3
TCGA-A8-A06X-01A-21W-A019-09	221	30	13
TCGA-A8-A06Y-01A-21W-A019-09	20	6	5
TCGA-A8-A06Z-01A-11W-A019-09	73	5	2
TCGA-A8-A075-01A-11D-A099-09	45	24	3
TCGA-A8-A076-01A-21W-A019-09	58	10	13
TCGA-A8-A079-01A-21W-A019-09	71	8	9
TCGA-A8-A07B-01A-11W-A019-09	39	24	4
TCGA-A8-A07F-01A-11W-A019-09	23	2	1
TCGA-A8-A07G-01A-11W-A050-09	58	11	5
TCGA-A8-A07I-01A-11W-A019-09	41	3	4
TCGA-A8-A07J-01A-11W-A019-09	42	21	8
TCGA-A8-A07L-01A-11W-A019-09	81	15	4
TCGA-A8-A07O-01A-11W-A019-09	28	12	7
TCGA-A8-A07P-01A-11W-A019-09	50	4	8
TCGA-A8-A07U-01A-11W-A050-09	64	23	7
TCGA-A8-A07W-01A-11W-A019-09	113	16	10
TCGA-A8-A07Z-01A-11W-A019-09	23	1	0
TCGA-A8-A081-01A-11W-A019-09	75	30	12
TCGA-A8-A082-01A-11W-A019-09	20	3	1
TCGA-A8-A083-01A-21W-A019-09	20	1	5
TCGA-A8-A085-01A-11W-A019-09	47	28	5
TCGA-A8-A08B-01A-11W-A019-09	23	20	9
TCGA-A8-A08C-01A-11W-A019-09	4	3	0
TCGA-A8-A08F-01A-11W-A019-09	115	14	2
TCGA-A8-A08G-01A-11W-A019-09	40	2	8
TCGA-A8-A08H-01A-21W-A019-09	73	118	3
TCGA-A8-A08J-01A-11W-A019-09	26	7	7
TCGA-A8-A08L-01A-11W-A019-09	87	137	5
TCGA-A8-A08O-01A-21W-A071-09	17	1	7
TCGA-A8-A08P-01A-11W-A019-09	51	16	7
TCGA-A8-A08R-01A-11W-A050-09	170	70	2
