Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3C-AAAU-01A-11D-A41F-09	5	24	10	5
TCGA-3C-AALI-01A-11D-A41F-09	566	15	78	77
TCGA-3C-AALJ-01A-31D-A41F-09	6	25	16	2
TCGA-3C-AALK-01A-11D-A41F-09	11	34	10	5
TCGA-4H-AAAK-01A-12D-A41F-09	0	16	10	6
TCGA-5L-AAT0-01A-12D-A41F-09	185	19	17	21
TCGA-5L-AAT1-01A-12D-A41F-09	1593	21	34	149
TCGA-5T-A9QA-01A-11D-A41F-09	2	27	29	0
TCGA-A1-A0SD-01A-11D-A10Y-09	3	26	4	2
TCGA-A1-A0SE-01A-11D-A099-09	5	10	14	4
TCGA-A1-A0SF-01A-11D-A142-09	33	13	0	3
TCGA-A1-A0SG-01A-11D-A142-09	3	15	4	7
TCGA-A1-A0SH-01A-11D-A099-09	74	13	29	5
TCGA-A1-A0SI-01A-11D-A142-09	213	2	18	9
TCGA-A1-A0SJ-01A-11D-A099-09	5	18	5	0
TCGA-A1-A0SK-01A-12D-A099-09	3	27	43	5
TCGA-A1-A0SM-01A-11D-A099-09	0	14	15	9
TCGA-A1-A0SN-01A-11D-A142-09	19	22	27	9
TCGA-A1-A0SO-01A-22D-A099-09	29	51	253	16
TCGA-A1-A0SP-01A-11D-A099-09	3	34	20	0
TCGA-A1-A0SQ-01A-21D-A142-09	3	25	0	2
TCGA-A2-A04N-01A-11D-A10Y-09	6	13	16	10
TCGA-A2-A04P-01A-31D-A128-09	16	25	109	2
TCGA-A2-A04Q-01A-21W-A050-09	7	18	33	3
TCGA-A2-A04R-01A-41D-A117-09	6	19	54	9
TCGA-A2-A04T-01A-21W-A050-09	10	20	78	0
TCGA-A2-A04U-01A-11D-A10Y-09	1	24	28	6
TCGA-A2-A04V-01A-21W-A050-09	5	16	19	4
TCGA-A2-A04W-01A-31D-A10Y-09	114	23	21	8
TCGA-A2-A04X-01A-21W-A050-09	24	10	13	0
TCGA-A2-A04Y-01A-21W-A050-09	9	7	30	8
TCGA-A2-A0CK-01A-11D-A228-09	4	18	5	1
TCGA-A2-A0CL-01A-11D-A10Y-09	122	25	7	8
TCGA-A2-A0CM-01A-31W-A050-09	33	11	34	0
TCGA-A2-A0CP-01A-11W-A050-09	3	18	117	6
TCGA-A2-A0CQ-01A-21W-A050-09	3	28	25	3
TCGA-A2-A0CR-01A-11D-A228-09	154	10	12	4
TCGA-A2-A0CS-01A-11D-A10Y-09	0	31	11	2
TCGA-A2-A0CT-01A-31W-A071-09	39	49	29	7
TCGA-A2-A0CU-01A-12W-A050-09	9	23	20	4
TCGA-A2-A0CV-01A-31D-A10Y-09	1	18	1	4
TCGA-A2-A0CW-01A-21D-A10Y-09	22	13	27	7
TCGA-A2-A0CX-01A-21W-A019-09	264	34	18	32
TCGA-A2-A0D0-01A-11W-A019-09	14	21	52	4
